ISO,Language,Dialect,Genetics,Speakers,Method,Quantity,vowel,f1,f2,f3,y,country_ids,latitude,longitude,eng.prim
aeb,Tunisian Arabic,Kairouan,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,2,Wordlist,Long,i,384.0,2276.0,NA,FALSE,DZ LY TN,33.7966,9.56156,FALSE
aeb,Tunisian Arabic,Kairouan,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,2,Wordlist,Long,u,454.0,840.0,NA,FALSE,DZ LY TN,33.7966,9.56156,FALSE
ajp,Palestinian Arabic,Jordan,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,8,Isolation,Long,i,315.0,2210.0,NA,FALSE,IL JO KW PS SA SY,31.5601,38.0837,FALSE
ajp,Palestinian Arabic,Jordan,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,8,Isolation,Long,u,375.0,885.0,NA,FALSE,IL JO KW PS SA SY,31.5601,38.0837,FALSE
aka,Akan,Kwawu,NigerCongo>AtlanticCongo>Kwa>Akan,1,Carrier sentence,Uniform,i,260.0,2141.0,2678,FALSE,GH TG,6.34756,-1.33254,FALSE
aka,Akan,Kwawu,NigerCongo>AtlanticCongo>Kwa>Akan,1,Carrier sentence,Uniform,u,306.0,780.0,2225,FALSE,GH TG,6.34756,-1.33254,FALSE
ale,Aleut,NA,EskimoAleut>AleutGroup,4,Wordlist,Long,u,375.0,920.0,NA,FALSE,RU US,52.1228,-174.29,TRUE
ale,Aleut,NA,EskimoAleut>AleutGroup,4,Wordlist,Long,i,340.0,2350.0,NA,FALSE,RU US,52.1228,-174.29,TRUE
aln,Gheg Albanian,NA,IndoEuropean>Albanian,1,Wordlist,Long,u,295.0,700.0,2335,TRUE,AL BG ME MK RO RS,42.317,21.3837,FALSE
aln,Gheg Albanian,NA,IndoEuropean>Albanian,1,Wordlist,Long,y,255.0,2e3,2400,TRUE,AL BG ME MK RO RS,42.317,21.3837,FALSE
aln,Gheg Albanian,NA,IndoEuropean>Albanian,1,Wordlist,Long,i,255.0,2200.0,3060,TRUE,AL BG ME MK RO RS,42.317,21.3837,FALSE
amh,Amharic,Standard,AfroAsiatic>Semitic>South>Ethiopian>South>Transversal>AmharicArgobba,6,Wordlist,Uniform,i,271.0,2145.0,NA,FALSE,DJ ET,11.708182,39.543456,FALSE
amh,Amharic,Standard,AfroAsiatic>Semitic>South>Ethiopian>South>Transversal>AmharicArgobba,6,Wordlist,Uniform,u,291.0,813.0,2242,FALSE,DJ ET,11.708182,39.543456,FALSE
ami,Amis,NA,Austronesian>Ami,2,Wordlist,Uniform,u,500.0,1010.0,NA,FALSE,TW,23.0917,121.348,FALSE
ami,Amis,NA,Austronesian>Ami,2,Wordlist,Uniform,i,355.0,2325.0,NA,FALSE,TW,23.0917,121.348,FALSE
amu,Amuzgo,Guerrero,OtoManguean>Amuzgo,3,Wordlist,Uniform,i,246.0,2221.0,3021,FALSE,MX,16.77226,-98.18953,FALSE
amu,Amuzgo,Guerrero,OtoManguean>Amuzgo,3,Wordlist,Uniform,u,311.0,850.0,2662,FALSE,MX,16.77226,-98.18953,FALSE
apw,Apache,Western,NaDene>Athabaskan>Southern>Southwestern,6,Wordlist,Long,i,339.0,2092.0,2449,FALSE,US,33.8574,-110.123,TRUE
arg,Aragonese,Chistabino,IndoEuropean>Italic>Romance>ItaloWestern>Western>PyreneanMozarabic>Pyrinean,1,Wordlist,Uniform,i,340.0,2150.0,NA,FALSE,ES FR,42.4669,-0.00919,FALSE
arg,Aragonese,Chistabino,IndoEuropean>Italic>Romance>ItaloWestern>Western>PyreneanMozarabic>Pyrinean,1,Wordlist,Uniform,u,385.0,775.0,NA,FALSE,ES FR,42.4669,-0.00919,FALSE
ary,Moroccan Arabic,NA,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,10,Isolation,Long,u,365.0,765.0,NA,FALSE,DZ EH MA,32.5,-7.5,FALSE
ary,Moroccan Arabic,NA,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,10,Isolation,Long,i,290.0,2215.0,NA,FALSE,DZ EH MA,32.5,-7.5,FALSE
arz,Egyptian Arabic,NA,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,3,Isolation,Long,u,350.0,670.0,2350,FALSE,EG IL LY,31.0,31.0,FALSE
arz,Egyptian Arabic,NA,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,3,Isolation,Long,i,240.0,2150.0,2900,FALSE,EG IL LY,31.0,31.0,FALSE
bar,Bavarian,NA,IndoEuropean>Germanic>WestGermanic>HighGerman,8,Carrier sentence,Long,i,251.0,2188.0,3244,TRUE,AT CZ DE IT,47.9232,13.246,FALSE
bar,Bavarian,NA,IndoEuropean>Germanic>WestGermanic>HighGerman,8,Carrier sentence,Long,u,267.0,710.0,2121,TRUE,AT CZ DE IT,47.9232,13.246,FALSE
bar,Bavarian,NA,IndoEuropean>Germanic>WestGermanic>HighGerman,8,Carrier sentence,Long,y,247.0,1875.0,2211,TRUE,AT CZ DE IT,47.9232,13.246,FALSE
bbc,Toba Batak,NA,Austronesian>MalayoPolynesian>NuclearMP>NorthwestSumatran>Batak>Southern,1,Carrier sentence,Uniform,i,300.0,2010.0,NA,FALSE,ID,2.35498,99.1761,FALSE
bbc,Toba Batak,NA,Austronesian>MalayoPolynesian>NuclearMP>NorthwestSumatran>Batak>Southern,1,Carrier sentence,Uniform,u,325.0,1020.0,NA,FALSE,ID,2.35498,99.1761,FALSE
bcr,Babine,Witsuwit'en,NaDene>Nuclear>AthapaskanEyak>Athapaskan>Canadian>CarrierChilcotin>BabineCarrier,4,Wordlist,Uniform,i,306.0,2087.0,2596,FALSE,CA,55.0997,-126.41,TRUE
bcr,Babine,Witsuwit'en,NaDene>Nuclear>AthapaskanEyak>Athapaskan>Canadian>CarrierChilcotin>BabineCarrier,4,Wordlist,Uniform,u,334.0,1196.0,2241,FALSE,CA,55.0997,-126.41,TRUE
bdu,Oroko,Londo,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>A>LunduBalong,3,Wordlist,Uniform,i,286.0,1843.0,XXX,FALSE,CM,4.89504,9.15209,FALSE
bdu,Oroko,Londo,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>A>LunduBalong,3,Wordlist,Uniform,u,323.0,1038.0,XXX,FALSE,CM,4.89504,9.15209,FALSE
