ISO,Language,Dialect,Genetics,Speakers,Method,Quantity,vowel,f1,f2,f3
???,Akuntsu,,Tupian>Tupari,1,Running speech,Uniform,i,332.0,1840.0,
???,Akuntsu,,Tupian>Tupari,1,Running speech,Uniform,e,516.0,1846.0,
???,Akuntsu,,Tupian>Tupari,1,Running speech,Uniform,a,625.0,1112.0,
???,Akuntsu,,Tupian>Tupari,1,Running speech,Uniform,u,435.0,943.0,
aeb,Tunisian Arabic,Kairouan,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,2,Wordlist,Long,i,384.0,2276.0,
aeb,Tunisian Arabic,Kairouan,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,2,Wordlist,Long,æ,557.0,1732.0,
aeb,Tunisian Arabic,Kairouan,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,2,Wordlist,Long,u,454.0,840.0,
ajp,Palestinian Arabic,Jordan,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,8,Isolation,Long,i,315.0,2210.0,
ajp,Palestinian Arabic,Jordan,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,8,Isolation,Long,e,395.0,1955.0,
ajp,Palestinian Arabic,Jordan,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,8,Isolation,Long,a,630.0,1280.0,
ajp,Palestinian Arabic,Jordan,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,8,Isolation,Long,o,430.0,980.0,
ajp,Palestinian Arabic,Jordan,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,8,Isolation,Long,u,375.0,885.0,
ajp,Palestinian Arabic,Jordan,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,8,Isolation,Short,i,360.0,2090.0,
ajp,Palestinian Arabic,Jordan,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,8,Isolation,Short,a,620.0,1325.0,
ajp,Palestinian Arabic,Jordan,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,8,Isolation,Short,u,420.0,1080.0,
aka,Akan,Kwawu,NigerCongo>AtlanticCongo>Kwa>Akan,1,Carrier sentence,Uniform,i,260.0,2141.0,2678
aka,Akan,Kwawu,NigerCongo>AtlanticCongo>Kwa>Akan,1,Carrier sentence,Uniform,ɪ,309.0,1785.0,2438
aka,Akan,Kwawu,NigerCongo>AtlanticCongo>Kwa>Akan,1,Carrier sentence,Uniform,e,311.0,1875.0,2498
aka,Akan,Kwawu,NigerCongo>AtlanticCongo>Kwa>Akan,1,Carrier sentence,Uniform,ɛ,458.0,1564.0,2430
aka,Akan,Kwawu,NigerCongo>AtlanticCongo>Kwa>Akan,1,Carrier sentence,Uniform,a,630.0,1319.0,2137
aka,Akan,Kwawu,NigerCongo>AtlanticCongo>Kwa>Akan,1,Carrier sentence,Uniform,ɔ,524.0,1108.0,2065
aka,Akan,Kwawu,NigerCongo>AtlanticCongo>Kwa>Akan,1,Carrier sentence,Uniform,o,423.0,1293.0,2455
aka,Akan,Kwawu,NigerCongo>AtlanticCongo>Kwa>Akan,1,Carrier sentence,Uniform,ʊ,410.0,1198.0,2195
aka,Akan,Kwawu,NigerCongo>AtlanticCongo>Kwa>Akan,1,Carrier sentence,Uniform,u,306.0,780.0,2225
ale,Aleut,,EskimoAleut>AleutGroup,4,Wordlist,Long,i,340.0,2350.0,
ale,Aleut,,EskimoAleut>AleutGroup,4,Wordlist,Long,a,770.0,1210.0,
ale,Aleut,,EskimoAleut>AleutGroup,4,Wordlist,Long,u,375.0,920.0,
ale,Aleut,,EskimoAleut>AleutGroup,4,Wordlist,Short,i,350.0,2290.0,
ale,Aleut,,EskimoAleut>AleutGroup,4,Wordlist,Short,a,630.0,1540.0,
ale,Aleut,,EskimoAleut>AleutGroup,4,Wordlist,Short,u,425.0,920.0,
aln,Gheg Albanian,,IndoEuropean>Albanian,1,Wordlist,Long,i,255.0,2200.0,3060
aln,Gheg Albanian,,IndoEuropean>Albanian,1,Wordlist,Long,e,360.0,2040.0,2585
aln,Gheg Albanian,,IndoEuropean>Albanian,1,Wordlist,Long,a,640.0,1235.0,2455
aln,Gheg Albanian,,IndoEuropean>Albanian,1,Wordlist,Long,o,490.0,950.0,2400
aln,Gheg Albanian,,IndoEuropean>Albanian,1,Wordlist,Long,u,295.0,700.0,2335
aln,Gheg Albanian,,IndoEuropean>Albanian,1,Wordlist,Long,y,255.0,2e3,2400
aln,Gheg Albanian,,IndoEuropean>Albanian,1,Wordlist,Short,ɪ,300.0,2215.0,2700
aln,Gheg Albanian,,IndoEuropean>Albanian,1,Wordlist,Short,ɛ,467.0,1875.0,2590
aln,Gheg Albanian,,IndoEuropean>Albanian,1,Wordlist,Short,a,640.0,1415.0,2525
aln,Gheg Albanian,,IndoEuropean>Albanian,1,Wordlist,Short,ɔ,490.0,1150.0,2350
aln,Gheg Albanian,,IndoEuropean>Albanian,1,Wordlist,Short,ʊ,340.0,1025.0,2365
aln,Gheg Albanian,,IndoEuropean>Albanian,1,Wordlist,Short,ʏ,307.0,1877.0,2392
amh,Amharic,Standard,AfroAsiatic>Semitic>South>Ethiopian>South>Transversal>AmharicArgobba,6,Wordlist,Uniform,i,271.0,2145.0,
amh,Amharic,Standard,AfroAsiatic>Semitic>South>Ethiopian>South>Transversal>AmharicArgobba,6,Wordlist,Uniform,e,423.0,1965.0,
amh,Amharic,Standard,AfroAsiatic>Semitic>South>Ethiopian>South>Transversal>AmharicArgobba,6,Wordlist,Uniform,a,696.0,1255.0,
amh,Amharic,Standard,AfroAsiatic>Semitic>South>Ethiopian>South>Transversal>AmharicArgobba,6,Wordlist,Uniform,o,378.0,1010.0,2391
amh,Amharic,Standard,AfroAsiatic>Semitic>South>Ethiopian>South>Transversal>AmharicArgobba,6,Wordlist,Uniform,u,291.0,813.0,2242
amh,Amharic,Standard,AfroAsiatic>Semitic>South>Ethiopian>South>Transversal>AmharicArgobba,6,Wordlist,Uniform,ɨ,312.0,1483.0,
amh,Amharic,Standard,AfroAsiatic>Semitic>South>Ethiopian>South>Transversal>AmharicArgobba,6,Wordlist,Uniform,ə,466.0,1502.0,
ami,Amis,,Austronesian>Ami,2,Wordlist,Uniform,i,355.0,2325.0,
ami,Amis,,Austronesian>Ami,2,Wordlist,Uniform,a,770.0,1335.0,
ami,Amis,,Austronesian>Ami,2,Wordlist,Uniform,u,500.0,1010.0,
amu,Amuzgo,Guerrero,OtoManguean>Amuzgo,3,Wordlist,Uniform,i,246.0,2221.0,3021
amu,Amuzgo,Guerrero,OtoManguean>Amuzgo,3,Wordlist,Uniform,e,410.0,1993.0,2689
amu,Amuzgo,Guerrero,OtoManguean>Amuzgo,3,Wordlist,Uniform,æ,620.0,1722.0,2516
amu,Amuzgo,Guerrero,OtoManguean>Amuzgo,3,Wordlist,Uniform,a,727.0,1299.0,2339
amu,Amuzgo,Guerrero,OtoManguean>Amuzgo,3,Wordlist,Uniform,ɔ,590.0,965.0,2302
amu,Amuzgo,Guerrero,OtoManguean>Amuzgo,3,Wordlist,Uniform,o,392.0,851.0,2745
amu,Amuzgo,Guerrero,OtoManguean>Amuzgo,3,Wordlist,Uniform,u,311.0,850.0,2662
apw,Apache,Western,NaDene>Athabaskan>Southern>Southwestern,6,Wordlist,Long,i,339.0,2092.0,2449
apw,Apache,Western,NaDene>Athabaskan>Southern>Southwestern,6,Wordlist,Long,e,510.0,1754.0,2338
apw,Apache,Western,NaDene>Athabaskan>Southern>Southwestern,6,Wordlist,Long,a,654.0,1197.0,2453
apw,Apache,Western,NaDene>Athabaskan>Southern>Southwestern,6,Wordlist,Long,o,438.0,924.0,2367
apw,Apache,Western,NaDene>Athabaskan>Southern>Southwestern,6,Wordlist,Short,i,438.0,1749.0,2420
apw,Apache,Western,NaDene>Athabaskan>Southern>Southwestern,6,Wordlist,Short,e,521.0,1758.0,2288
apw,Apache,Western,NaDene>Athabaskan>Southern>Southwestern,6,Wordlist,Short,a,616.0,1372.0,2430
apw,Apache,Western,NaDene>Athabaskan>Southern>Southwestern,6,Wordlist,Short,o,481.0,1077.0,2282
arg,Aragonese,Chistabino,IndoEuropean>Italic>Romance>ItaloWestern>Western>PyreneanMozarabic>Pyrinean,1,Wordlist,Uniform,i,340.0,2150.0,
arg,Aragonese,Chistabino,IndoEuropean>Italic>Romance>ItaloWestern>Western>PyreneanMozarabic>Pyrinean,1,Wordlist,Uniform,e,475.0,1900.0,
arg,Aragonese,Chistabino,IndoEuropean>Italic>Romance>ItaloWestern>Western>PyreneanMozarabic>Pyrinean,1,Wordlist,Uniform,a,740.0,1425.0,
arg,Aragonese,Chistabino,IndoEuropean>Italic>Romance>ItaloWestern>Western>PyreneanMozarabic>Pyrinean,1,Wordlist,Uniform,o,480.0,860.0,
arg,Aragonese,Chistabino,IndoEuropean>Italic>Romance>ItaloWestern>Western>PyreneanMozarabic>Pyrinean,1,Wordlist,Uniform,u,385.0,775.0,
ary,Moroccan Arabic,,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,10,Isolation,Long,i,290.0,2215.0,
ary,Moroccan Arabic,,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,10,Isolation,Long,a,645.0,1135.0,
ary,Moroccan Arabic,,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,10,Isolation,Long,u,365.0,765.0,
arz,Egyptian Arabic,,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,3,Isolation,Long,i,240.0,2150.0,2900
arz,Egyptian Arabic,,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,3,Isolation,Long,e,388.0,2209.0,2781
arz,Egyptian Arabic,,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,3,Isolation,Long,a,650.0,1930.0,2496
arz,Egyptian Arabic,,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,3,Isolation,Long,o,419.0,896.0,2473
arz,Egyptian Arabic,,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,3,Isolation,Long,u,350.0,670.0,2350
arz,Egyptian Arabic,,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,3,Isolation,Short,e,426.0,1894.0,2618
arz,Egyptian Arabic,,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,3,Isolation,Short,a,618.0,1568.0,2642
arz,Egyptian Arabic,,AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic,3,Isolation,Short,o,429.0,1163.0,2476
bar,Bavarian,,IndoEuropean>Germanic>WestGermanic>HighGerman,8,Carrier sentence,Long,i,251.0,2188.0,3244
bar,Bavarian,,IndoEuropean>Germanic>WestGermanic>HighGerman,8,Carrier sentence,Long,e,332.0,2084.0,2766
bar,Bavarian,,IndoEuropean>Germanic>WestGermanic>HighGerman,8,Carrier sentence,Long,ɛ,379.0,2081.0,2681
bar,Bavarian,,IndoEuropean>Germanic>WestGermanic>HighGerman,8,Carrier sentence,Long,æ,526.0,1853.0,2545
bar,Bavarian,,IndoEuropean>Germanic>WestGermanic>HighGerman,8,Carrier sentence,Long,a,711.0,1319.0,2234
bar,Bavarian,,IndoEuropean>Germanic>WestGermanic>HighGerman,8,Carrier sentence,Long,ɒ,566.0,997.0,2236
bar,Bavarian,,IndoEuropean>Germanic>WestGermanic>HighGerman,8,Carrier sentence,Long,ɔ,418.0,841.0,2302
bar,Bavarian,,IndoEuropean>Germanic>WestGermanic>HighGerman,8,Carrier sentence,Long,o,365.0,897.0,2318
bar,Bavarian,,IndoEuropean>Germanic>WestGermanic>HighGerman,8,Carrier sentence,Long,u,267.0,710.0,2121
bar,Bavarian,,IndoEuropean>Germanic>WestGermanic>HighGerman,8,Carrier sentence,Long,y,247.0,1875.0,2211
bar,Bavarian,,IndoEuropean>Germanic>WestGermanic>HighGerman,8,Carrier sentence,Long,ø,331.0,1709.0,2245
bar,Bavarian,,IndoEuropean>Germanic>WestGermanic>HighGerman,8,Carrier sentence,Long,œ,383.0,1681.0,2294
bar,Bavarian,,IndoEuropean>Germanic>WestGermanic>HighGerman,8,Carrier sentence,Long,ɶ,543.0,1551.0,2399
bbc,Toba Batak,,Austronesian>MalayoPolynesian>NuclearMP>NorthwestSumatran>Batak>Southern,1,Carrier sentence,Uniform,i,300.0,2010.0,
bbc,Toba Batak,,Austronesian>MalayoPolynesian>NuclearMP>NorthwestSumatran>Batak>Southern,1,Carrier sentence,Uniform,e,395.0,1915.0,
bbc,Toba Batak,,Austronesian>MalayoPolynesian>NuclearMP>NorthwestSumatran>Batak>Southern,1,Carrier sentence,Uniform,a,690.0,1360.0,
bbc,Toba Batak,,Austronesian>MalayoPolynesian>NuclearMP>NorthwestSumatran>Batak>Southern,1,Carrier sentence,Uniform,o,385.0,990.0,
bbc,Toba Batak,,Austronesian>MalayoPolynesian>NuclearMP>NorthwestSumatran>Batak>Southern,1,Carrier sentence,Uniform,u,325.0,1020.0,
bcr,Babine,Witsuwit'en,NaDene>Nuclear>AthapaskanEyak>Athapaskan>Canadian>CarrierChilcotin>BabineCarrier,4,Wordlist,Uniform,i,306.0,2087.0,2596
bcr,Babine,Witsuwit'en,NaDene>Nuclear>AthapaskanEyak>Athapaskan>Canadian>CarrierChilcotin>BabineCarrier,4,Wordlist,Uniform,e,410.0,1986.0,2460
bcr,Babine,Witsuwit'en,NaDene>Nuclear>AthapaskanEyak>Athapaskan>Canadian>CarrierChilcotin>BabineCarrier,4,Wordlist,Uniform,ɛ,619.0,1685.0,2291
bcr,Babine,Witsuwit'en,NaDene>Nuclear>AthapaskanEyak>Athapaskan>Canadian>CarrierChilcotin>BabineCarrier,4,Wordlist,Uniform,a,715.0,1488.0,2372
bcr,Babine,Witsuwit'en,NaDene>Nuclear>AthapaskanEyak>Athapaskan>Canadian>CarrierChilcotin>BabineCarrier,4,Wordlist,Uniform,o,484.0,1056.0,2292
bcr,Babine,Witsuwit'en,NaDene>Nuclear>AthapaskanEyak>Athapaskan>Canadian>CarrierChilcotin>BabineCarrier,4,Wordlist,Uniform,u,334.0,1196.0,2241
bcr,Babine,Witsuwit'en,NaDene>Nuclear>AthapaskanEyak>Athapaskan>Canadian>CarrierChilcotin>BabineCarrier,4,Wordlist,Uniform,ə,528.0,1572.0,2399
bdu,Oroko,Londo,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>A>LunduBalong,3,Wordlist,Uniform,i,286.0,1843.0,XXX
bdu,Oroko,Londo,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>A>LunduBalong,3,Wordlist,Uniform,e,344.0,1800.0,XXX
bdu,Oroko,Londo,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>A>LunduBalong,3,Wordlist,Uniform,ɛ,477.0,1613.0,XXX
bdu,Oroko,Londo,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>A>LunduBalong,3,Wordlist,Uniform,a,668.0,1393.0,XXX
bdu,Oroko,Londo,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>A>LunduBalong,3,Wordlist,Uniform,ɔ,530.0,1086.0,XXX
bdu,Oroko,Londo,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>A>LunduBalong,3,Wordlist,Uniform,o,360.0,936.0,XXX
bdu,Oroko,Londo,NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>A>LunduBalong,3,Wordlist,Uniform,u,323.0,1038.0,XXX
ben,Bengali,Bangladesh,IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese,3,Carrier sentence,Uniform,i,357.0,2059.0,2690
ben,Bengali,Bangladesh,IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese,3,Carrier sentence,Uniform,e,481.0,1807.0,2451
ben,Bengali,Bangladesh,IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese,3,Carrier sentence,Uniform,æ,599.0,1619.0,2364
ben,Bengali,Bangladesh,IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese,3,Carrier sentence,Uniform,a,694.0,1371.0,2288
ben,Bengali,Bangladesh,IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese,3,Carrier sentence,Uniform,ɔ,586.0,1109.0,2344
ben,Bengali,Bangladesh,IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese,3,Carrier sentence,Uniform,o,423.0,1034.0,2404
ben,Bengali,Bangladesh,IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese,3,Carrier sentence,Uniform,u,347.0,1001.0,2551
bjv,Bedjond,Beda,NiloSaharan>ChariNile>CentralSudanic>BongoBagirmi>Sara,1,Carrier sentence,Long,i,305.0,2091.0,
bjv,Bedjond,Beda,NiloSaharan>ChariNile>CentralSudanic>BongoBagirmi>Sara,1,Carrier sentence,Long,e,401.0,1565.0,
bjv,Bedjond,Beda,NiloSaharan>ChariNile>CentralSudanic>BongoBagirmi>Sara,1,Carrier sentence,Long,a,700.0,1340.0,
bjv,Bedjond,Beda,NiloSaharan>ChariNile>CentralSudanic>BongoBagirmi>Sara,1,Carrier sentence,Long,ɔ,558.0,1086.0,
bjv,Bedjond,Beda,NiloSaharan>ChariNile>CentralSudanic>BongoBagirmi>Sara,1,Carrier sentence,Long,o,386.0,853.0,
bjv,Bedjond,Beda,NiloSaharan>ChariNile>CentralSudanic>BongoBagirmi>Sara,1,Carrier sentence,Long,u,305.0,721.0,
bnh,Banawa,,Arawakan>Arauan,5,Wordlist,Uniform,i,311.0,2320.0,2822
bnh,Banawa,,Arawakan>Arauan,5,Wordlist,Uniform,e,591.0,1869.0,2741
bnh,Banawa,,Arawakan>Arauan,5,Wordlist,Uniform,a,758.0,1422.0,2593
bnh,Banawa,,Arawakan>Arauan,5,Wordlist,Uniform,u,396.0,883.0,2685
boa,Bora,,Witotoan>Boran,8,Isolation,Long,i,324.0,2257.0,3221
boa,Bora,,Witotoan>Boran,8,Isolation,Long,e,494.0,2138.0,2979
boa,Bora,,Witotoan>Boran,8,Isolation,Long,a,808.0,1431.0,2530
boa,Bora,,Witotoan>Boran,8,Isolation,Long,o,552.0,912.0,2334
boa,Bora,,Witotoan>Boran,8,Isolation,Long,ɨ,396.0,1781.0,2891
boa,Bora,,Witotoan>Boran,8,Isolation,Long,ɯ,385.0,1488.0,2601
bov,Tuwuli,,NigerCongo>AtlanticCongo>VoltaCongo>Kwa>LeftBank>KposoAhloBowili,3,Wordlist,Uniform,i,288.0,2145.0,XXX
bov,Tuwuli,,NigerCongo>AtlanticCongo>VoltaCongo>Kwa>LeftBank>KposoAhloBowili,3,Wordlist,Uniform,e,341.0,2084.0,XXX
bov,Tuwuli,,NigerCongo>AtlanticCongo>VoltaCongo>Kwa>LeftBank>KposoAhloBowili,3,Wordlist,Uniform,ɛ,493.0,1906.0,XXX
bov,Tuwuli,,NigerCongo>AtlanticCongo>VoltaCongo>Kwa>LeftBank>KposoAhloBowili,3,Wordlist,Uniform,a,784.0,1412.0,XXX
bov,Tuwuli,,NigerCongo>AtlanticCongo>VoltaCongo>Kwa>LeftBank>KposoAhloBowili,3,Wordlist,Uniform,ɔ,574.0,1044.0,XXX
bov,Tuwuli,,NigerCongo>AtlanticCongo>VoltaCongo>Kwa>LeftBank>KposoAhloBowili,3,Wordlist,Uniform,o,373.0,861.0,XXX
bov,Tuwuli,,NigerCongo>AtlanticCongo>VoltaCongo>Kwa>LeftBank>KposoAhloBowili,3,Wordlist,Uniform,u,315.0,985.0,XXX
bre,Breton,Argol,IndoEuropean>Celtic>Insular>Brythonic,1,Meaningful sentence,Uniform,i,275.0,2100.0,2800
bre,Breton,Argol,IndoEuropean>Celtic>Insular>Brythonic,1,Meaningful sentence,Uniform,e,350.0,2e3,2700
bre,Breton,Argol,IndoEuropean>Celtic>Insular>Brythonic,1,Meaningful sentence,Uniform,ɛ,650.0,1600.0,2650
bre,Breton,Argol,IndoEuropean>Celtic>Insular>Brythonic,1,Meaningful sentence,Uniform,a,725.0,1300.0,2600
bre,Breton,Argol,IndoEuropean>Celtic>Insular>Brythonic,1,Meaningful sentence,Uniform,o,550.0,950.0,2600
bre,Breton,Argol,IndoEuropean>Celtic>Insular>Brythonic,1,Meaningful sentence,Uniform,ọ,375.0,850.0,2700
bre,Breton,Argol,IndoEuropean>Celtic>Insular>Brythonic,1,Meaningful sentence,Uniform,u,325.0,900.0,2500
bre,Breton,Argol,IndoEuropean>Celtic>Insular>Brythonic,1,Meaningful sentence,Uniform,y,300.0,1750.0,2500
bre,Breton,Argol,IndoEuropean>Celtic>Insular>Brythonic,1,Meaningful sentence,Uniform,ø,525.0,1575.0,2500
bru,Brou,Eastern,AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo,1,Carrier sentence,Long,i,400.0,2560.0,3120
bru,Brou,Eastern,AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo,1,Carrier sentence,Long,e,600.0,2380.0,2960
bru,Brou,Eastern,AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo,1,Carrier sentence,Long,ɛ,800.0,2120.0,2720
bru,Brou,Eastern,AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo,1,Carrier sentence,Long,a,1120.0,1840.0,
bru,Brou,Eastern,AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo,1,Carrier sentence,Long,ɑ,920.0,1400.0,3160
bru,Brou,Eastern,AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo,1,Carrier sentence,Long,ɔ,760.0,1040.0,
