ISO	Language	Dialect	Genetics	Speakers	Method	Quantity	Harmony?	Vowels	Structure	Peripheral	Nonperipheral	V1OS	V1PS	V1F1	V1F2	V1F3	V1F4	V2OS	V2PS	V2F1	V2F2	V2F3	V2F4	V3OS	V3PS	V3F1	V3F2	V3F3	V3F4	V4OS	V4PS	V4F1	V4F2	V4F3	V4F4	V5OS	V5PS	V5F1	V5F2	V5F3	V5F4	V6OS	V6PS	V6F1	V6F2	V6F3	V6F4	V7OS	V7PS	V7F1	V7F2	V7F3	V7F4	V8OS	V8PS	V8F1	V8F2	V8F3	V8F4	V9OS	V9PS	V9F1	V9F2	V9F3	V9F4	V10OS	V10PS	V10F1	V10F2	V10F3	V10F4	V11OS	V11PS	V11F1	V11F2	V11F3	V11F4	V12OS	V12PS	V12F1	V12F2	V12F3	V12F4	V13OS	V13PS	V13F1	V13F2	V13F3	V13F4	V14OS	V14PS	V14F1	V14F2	V14F3	V14F4	F1Centroid	F1CentroidPosition	F1UCA	F2Centroid	F2CentroidPosition	F2UCA
aeb	Tunisian Arabic	Kairouan	AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic	2	Wordlist	long	No	3	3S0	3	0	i		384	2276			æ		557	1732			u		454	840																																																																					465	0.468208092	451.643	1616	0.540389972	1401.476
aeb	Tunisian Arabic	Tunis	AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic	8	Wordlist	Long	No	4	4L0	4	0	i		287	2250	2850		ɛ		608	1690	2652		a		720	1380	2000		u		350	823	2000																																																														483.5	0.453810624	456.303	1530.75	0.495970568	1380.957
aeb	Tunisian Arabic	Tunis	AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic	8	Wordlist	Short	No	4	4L0	4	0	i		308	2050	2600		ɛ		525	1850	2425		a		720	1380	2000		u		350	823	2000																																																														483.5	0.453810624	456.303	1530.75	0.495970568	1380.957
afn	Defaka		NigerCongo>Ijoid	12	Wordlist	Combined	No	7	7S0	7	0	i		363	2113	2912		e		418	1917	2634		ɛ		446	1866	2675		a		751	1446	2451		ɔ		542	1144	2417		o		423	1064	2137		u		344	1022	2338																																												469.5714286	0.308529309	503.137	1510.285714	0.447557942	1448.581
afr	Afrikaans		IndoEuropean>Germanic>WestGermanic>LowFranconian	1	Wordlist	Short	No	8	5S3	5	3	i		250	2200			ɛ		550	1850			ɑ		650	1250			ɔ		500	800			u		350	1000			y		250	1950			œ		500	1450			ə		500	1500																																							443.75	0.484375	406.4	1500	0.5	1347.4
afr	Afrikaans		IndoEuropean>Germanic>WestGermanic>LowFranconian	11	Isolation	Mixed	No	9	6L3b	6	3	i		270	2325			ɛ		355	2150			æ		595	1615			a		605	1130			ɔ		460	860			u		310	1110			y		250	2080			œ		455	1400			ə		510	1475																																	423.3333333	0.488262911	388.805	1571.666667	0.485779295	1432.815
aii	Assyrian Neo-Aramaic	Koine	AfroAsiatic>Semitic>Central>Aramaic>Eastern>Central>Northeastern	1	Carrier sentence	Combined	No	6	5S1	5	1	i		250	2200			e		500	1900			a		700	1400			o		500	1150			u		250	950			ɪ		350	1800																																																			425	0.388888889	425.95	1566.666667	0.493333333	1438.75
ajp	Palestinian Arabic	Jordan	AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic	8	Isolation	Short	No	3	3S0	3	0	i		360	2090			a		620	1325			u		420	1080																																																																					443.125	0.406746032	438.165	1475.625	0.445754717	1403.075
ajp	Palestinian Arabic	Jordan	AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic	8	Wordlist	Short	No	3	3S0	3	0	i		340	2110			a		585	1495			u		435	1185																																																																					435	0.4	432.3	1537.5	0.454724409	1456.57
ajp	Palestinian Arabic	Jordan	AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic	8	Isolation	Long	No	5	5S0	5	0	i		315	2210			e		395	1955			a		630	1280			o		430	980			u		375	885																																																									443.125	0.406746032	438.165	1475.625	0.445754717	1403.075
