ISO,Language ,Dialect,genetics,Speakers,method,quantity,vowel,F1,F2,F3, ,Source,miscellaneous ,
nez,Nez Perce,,plateau penutian > sahaptian,2,wordlist,short,i,393,1767,, ,https://asa-scitation-org.ezproxy.library.ubc.ca/doi/pdf/10.1121/1.4800241?class=pdf,"language in Idaho, USA",CSV
nez,Nez Perce,,plateau penutian > sahaptian,2,wordlist,short,a,569,1175,, ,https://asa-scitation-org.ezproxy.library.ubc.ca/doi/pdf/10.1121/1.4800241?class=pdf,"language in Idaho, USA",
nez,Nez Perce,,plateau penutian > sahaptian,2,wordlist,short,o,420,1000,, ,https://asa-scitation-org.ezproxy.library.ubc.ca/doi/pdf/10.1121/1.4800241?class=pdf,"language in Idaho, USA",
nez,Nez Perce,,plateau penutian > sahaptian,2,wordlist,short,u,375,1250,, ,https://asa-scitation-org.ezproxy.library.ubc.ca/doi/pdf/10.1121/1.4800241?class=pdf,"language in Idaho, USA",
nez,Nez Perce,,plateau penutian > sahaptian,2,wordlist,short,æ,580,1406,, ,https://asa-scitation-org.ezproxy.library.ubc.ca/doi/pdf/10.1121/1.4800241?class=pdf,"language in Idaho, USA",
nez,Nez Perce,,plateau penutian > sahaptian,2,wordlist,long,iː,356,1867,, ,https://asa-scitation-org.ezproxy.library.ubc.ca/doi/pdf/10.1121/1.4800241?class=pdf,"language in Idaho, USA",
nez,Nez Perce,,plateau penutian > sahaptian,2,wordlist,long,aː,593,1167,, ,https://asa-scitation-org.ezproxy.library.ubc.ca/doi/pdf/10.1121/1.4800241?class=pdf,"language in Idaho, USA",
nez,Nez Perce,,plateau penutian > sahaptian,2,wordlist,long,oː,430,877,, ,https://asa-scitation-org.ezproxy.library.ubc.ca/doi/pdf/10.1121/1.4800241?class=pdf,"language in Idaho, USA",
nez,Nez Perce,,plateau penutian > sahaptian,2,wordlist,long,uː,350,1328,, ,https://asa-scitation-org.ezproxy.library.ubc.ca/doi/pdf/10.1121/1.4800241?class=pdf,"language in Idaho, USA",
nez,Nez Perce,,plateau penutian > sahaptian,2,wordlist,long,æː,590,1530,, ,https://asa-scitation-org.ezproxy.library.ubc.ca/doi/pdf/10.1121/1.4800241?class=pdf,"language in Idaho, USA",
xaw,Kawaiisu,,Uto-Aztecan > numic > southern,1,wordlist/sentence elicitation,short,i,408,1660,, ,file:///C:/Users/samue/Downloads/A_Phonetic_Description_of_the_%20(1).pdf,"Language in California, USA",
xaw,Kawaiisu,,Uto-Aztecan > numic > southern,1,wordlist/sentence elicitation,short,e,468,1527,, ,file:///C:/Users/samue/Downloads/A_Phonetic_Description_of_the_%20(1).pdf,"Language in California, USA",
xaw,Kawaiisu,,Uto-Aztecan > numic > southern,1,wordlist/sentence elicitation,short,a,586,1188,, ,file:///C:/Users/samue/Downloads/A_Phonetic_Description_of_the_%20(1).pdf,"Language in California, USA",
