confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Phonemic,,,1-100-205-1,{},,'botə,92210,66962,84680
,Phonemic,,,1-100-205-3,{},,ðe,92211,66962,85573
,Phonemic,,,1-100-205-5,{},,r̃okulʸi a'lʸem,92212,66962,85308
,Phonemic,,,1-100-205-7,{},,dü'ɲa,92213,66962,85335
,Phonemic,,,1-210-205-1,{},,'tokə,92214,66963,85719
,Phonemic,,,1-210-205-3,{},,ðe,92215,66963,85573
,Phonemic,,,1-212-205-1,{},,'tokə,92216,66964,85719
,Phonemic,,,1-212-205-3,{},,'trualʸ,92217,66964,84457
,Phonemic,,,1-213-205-1,{},,'pluhur,92218,66965,86033
,Phonemic,,,1-214-205-1,{},,'balʸtə,92219,66966,85538
,Phonemic,,,1-215-205-1,{},,'rərə,92220,66967,85976
,Phonemic,,,1-220-205-1,{},,malʸ,92221,66968,85385
,Phonemic,,,1-222-205-1,{},,hum'nerə,92222,66969,85452
,Phonemic,,,1-222-205-3,{},,gre'minə,92223,66969,85200
,Phonemic,,,1-230-205-1,{},,'fušə,92224,66970,84516
,Phonemic,,,1-240-205-1,{},,lʸu'ginə,92225,66971,85735
,Phonemic,,,1-250-205-1,{},,'išul,92226,66972,84280
,Phonemic,,,1-260-205-1,{},,[kontinent],92227,66973,84348
,Phonemic,,,1-270-205-1,{},,plaž,92228,66974,85502
,Phonemic,,,1-270-205-3,{},,breg'det,92229,66974,84820
,Phonemic,,,1-270-205-5,{},,breg,92230,66974,85843
,Phonemic,,,1-280-205-1,{},,'špelə,92231,66975,85450
,Phonemic,,,1-280-205-3,{},,'guvə,92232,66975,85127
,Phonemic,,,1-280-205-5,{},,'uǰə,92233,66975,84387
,Phonemic,,,1-310-205-1,{},,'uyə,92234,66976,85633
,Phonemic,,,1-320-205-1,{},,det,92235,66977,85263
,Phonemic,,,1-322-205-1,{},,bu'nac̷ə,92236,66978,84542
,Phonemic,,,1-324-205-1,{},,'škumə,92237,66979,85881
,Phonemic,,,1-329-205-1,{},,[okʸean],92238,66980,85631
,Phonemic,,,1-330-205-1,{},,lʸi'kʸen,92239,66981,85369
,Phonemic,,,1-340-205-1,{},,gʸi,92240,66982,85344
,Phonemic,,,1-340-205-3,{},,lʸi'man,92241,66982,84540
,Phonemic,,,1-341-205-1,{},,pelg,92242,66983,85574
,Phonemic,,,1-341-205-3,{},,pi'šinə,92243,66983,84440
,Phonemic,,,1-342-205-1,{},,'gumə,92244,66984,85310
,Phonemic,,,1-343-205-1,{},,'hundə 'toke,92245,66985,85516
,Phonemic,,,1-350-205-1,{},,'dalgə,92246,66986,85842
,Phonemic,,,1-352-205-1,{},,zba'tic̷ə,92247,66987,85612
,Phonemic,,,1-352-205-3,{},,'r̃ümə,92248,66987,85460
,Phonemic,,,1-354-205-1,{},,ba'tic̷a,92249,66988,85812
,Phonemic,,,1-360-205-1,{},,lʸumə,92250,66989,85731
,Phonemic,,,1-362-205-1,{},,'vorbul,92251,66990,84374
,Phonemic,,,1-362-205-3,{},,gʸir,92252,66990,84757
,Phonemic,,,1-362-205-5,{},,r̃uful,92253,66990,84615
,Phonemic,,,1-370-205-1,{},,pus,92254,66991,85347
,Phonemic,,,1-370-205-3,{},,'gufə,92255,66991,84895
,Phonemic,,,1-370-205-5,{},,'krua,92256,66991,85316
,Phonemic,,,1-370-205-7,{},,bu'rim,92257,66991,85677
,Phonemic,,,1-370-205-9,{},,bu'romə,92258,66991,85903
,Phonemic,,,1-380-205-1,{},,kə'netə,92259,66992,85030
,Phonemic,,,1-380-205-3,{},,mo'čalʸ,92260,66992,84865
,Phonemic,,,1-390-205-1,{},,uyə'varə,92261,66993,85753
,Phonemic,,,1-410-205-1,{},,pül,92262,66994,84992
,Phonemic,,,1-420-205-1,{},,'pemə,92263,66995,85348
,Phonemic,,,1-430-205-1,{},,dru,92264,66996,84313
,Phonemic,,,1-440-205-1,{},,gur,92265,66997,84750
,Phonemic,,,1-440-205-3,{},,škəmb,92266,66997,86044
,Phonemic,,,1-450-205-1,{},,tər'met,92267,66998,85185
,Phonemic,,,1-510-205-1,{},,kʸel,92268,66999,85750
,Phonemic,,,1-510-205-3,{},,ha'va,92269,66999,84455
,Phonemic,,,1-520-205-1,{},,diel,92270,67000,84711
,Phonemic,,,1-530-205-1,{},,'hənə,92271,67001,85442
