confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,LatinTrans,,,1-100-167-1,{},,'kosmos,26646,22584,24474
,LatinTrans,,,1-100-167-3,{},,oikū'menē,26647,22584,24648
,LatinTrans,,,1-210-167-1,{},,gē,26648,22585,24946
,LatinTrans,,,1-210-167-3,{},,kʰtʰōn,26649,22585,25358
,LatinTrans,,,1-212-167-1,{},,gē,26650,22586,24946
,LatinTrans,,,1-212-167-3,{},,'edapʰos,26651,22586,24718
,LatinTrans,,,1-212-167-5,{},,'kʰōma,26652,22586,25880
,LatinTrans,,,1-212-167-7,{},,'pedon,26653,22586,24702
,LatinTrans,,,1-213-167-1,{},,'konis,26654,22587,24478
,LatinTrans,,,1-214-167-1,{},,pē'los,26655,22588,25212
,LatinTrans,,,1-215-167-1,{},,'psammos,26656,22589,25149
,LatinTrans,,,1-215-167-3,{},,'ammos,26657,22589,25261
,LatinTrans,,,1-220-167-1,{},,'oros,26658,22590,25479
,LatinTrans,,,1-220-167-3,{},,'lopʰos,26659,22590,24313
,LatinTrans,,,1-220-167-5,{},,kolō'nos,26660,22590,24448
,LatinTrans,,,1-220-167-7,{},,bū'nos,26661,22590,25463
,LatinTrans,,,1-222-167-1,{},,krē'mnos,26662,22591,24530
,LatinTrans,,,1-230-167-1,{},,pe'dion,26663,22592,25186
,LatinTrans,,,1-240-167-1,{},,'napē,26664,22593,24047
,LatinTrans,,,1-240-167-3,{},,koi'las,26665,22593,24052
,LatinTrans,,,1-250-167-1,{},,'nēsos,26666,22594,25785
,LatinTrans,,,1-260-167-1,{},,'ēpeiros,26667,22595,24340
,LatinTrans,,,1-270-167-1,{},,aigia'los,26668,22596,25049
,LatinTrans,,,1-270-167-3,{},,a'ktē,26669,22596,24783
,LatinTrans,,,1-280-167-1,{},,'antron,26670,22597,25734
,LatinTrans,,,1-280-167-3,{},,'spēlaion,26671,22597,25292
,LatinTrans,,,1-310-167-1,{},,'hudōr,26672,22598,25638
,LatinTrans,,,1-320-167-1,{},,'tʰalassa,26673,22599,24036
,LatinTrans,,,1-320-167-3,{},,hals,26674,22599,24642
,LatinTrans,,,1-320-167-5,{},,'pontos,26675,22599,24975
,LatinTrans,,,1-322-167-1,{},,ga'lēnē,26676,22600,24172
,LatinTrans,,,1-323-167-1,{},,kū'mainōn,26677,22601,25633
,LatinTrans,,,1-323-167-3,{},,kūma'tias,26678,22601,24612
,LatinTrans,,,1-324-167-1,{},,a'pʰros,26679,22602,24284
,LatinTrans,,,1-329-167-1,{},,ōkea'nos,26680,22603,24309
,LatinTrans,,,1-330-167-1,{},,'limnē,26681,22604,25964
,LatinTrans,,,1-340-167-1,{},,'kolpos,26682,22605,25573
,LatinTrans,,,1-341-167-1,{},,'tenagos,26683,22606,24570
,LatinTrans,,,1-342-167-1,{},,kʰoi'ras,26684,22607,24750
,LatinTrans,,,1-342-167-3,{},,'murmēks,26685,22607,25030
,LatinTrans,,,1-342-167-5,{},,'hupʰalos,26686,22607,24464
,LatinTrans,,,1-342-167-7,{},,'herma,26687,22607,25507
,LatinTrans,,,1-343-167-1,{},,akrō'tērion,26688,22608,25113
,LatinTrans,,,1-343-167-3,{},,'akra,26689,22608,25851
,LatinTrans,,,1-343-167-5,{},,'skopelos,26690,22608,24290
,LatinTrans,,,1-350-167-1,{},,'kūma,26691,22609,24828
,LatinTrans,,,1-352-167-1,{},,'ampōtis,26692,22610,25788
,LatinTrans,,,1-352-167-3,{},,aukso'meiōsis,26693,22610,24646
,LatinTrans,,,1-353-167-1,{},,'ampōtis,26694,22611,25788
,LatinTrans,,,1-353-167-3,{},,a'narroia,26695,22611,24234
,LatinTrans,,,1-354-167-1,{},,plēmmū'ris,26696,22612,24932
,LatinTrans,,,1-354-167-3,{},,'plēmmūrā,26697,22612,24238
,LatinTrans,,,1-360-167-1,{},,pota'mos,26698,22613,24638
,LatinTrans,,,1-360-167-3,{},,'hreuma,26699,22613,24307
,LatinTrans,,,1-360-167-5,{},,'kʰeimarros,26700,22613,24954
,LatinTrans,,,1-362-167-1,{},,'dinē,26701,22614,25523
,LatinTrans,,,1-370-167-1,{},,'krēnē,26702,22615,24467
,LatinTrans,,,1-370-167-3,{},,pē'gē,26703,22615,25738
,LatinTrans,,,1-370-167-5,{},,'pʰrear,26704,22615,25978
,LatinTrans,,,1-380-167-1,{},,'helos,26705,22616,25721
,LatinTrans,,,1-390-167-1,{},,katar'raktēs,26706,22617,24264
,LatinTrans,,,1-410-167-1,{},,'hūlē,26707,22618,24624
,LatinTrans,,,1-420-167-1,{},,'dendron,26708,22619,24112
,LatinTrans,,,1-430-167-1,{},,'ksulon,26709,22620,25591
,LatinTrans,,,1-440-167-1,{},,'litʰos,26710,22621,24394
,LatinTrans,,,1-440-167-3,{},,'petrā,26711,22621,24621
,LatinTrans,,,1-450-167-1,{},,(gēs) sei'smos,26712,22622,25031
,LatinTrans,,,1-510-167-1,{},,ūra'nos,26713,22623,24487
,LatinTrans,,,1-520-167-1,{},,'hēlios,26714,22624,24175
,LatinTrans,,,1-530-167-1,{},,se'lēnē,26715,22625,25576
,LatinTrans,,,1-540-167-1,{},,a'stēr,26716,22626,24212
,LatinTrans,,,1-540-167-3,{},,'astron,26717,22626,24449
