confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,CyrillTrans,,,1-100-71-1,{},,дүнја,393960,309869,354268
,CyrillTrans,,,1-210-71-1,{},,өлкә,393959,309868,353947
,CyrillTrans,,,1-212-71-1,{},,торпаг,393958,309867,353131
,CyrillTrans,,,1-213-71-1,{},,тоз,393956,309865,354503
,CyrillTrans,,,1-214-71-1,{},,палчыг,393957,309866,354011
,CyrillTrans,,,1-215-71-1,{},,гум,393955,309864,353873
,CyrillTrans,,,1-220-71-1,{},,даг,393953,309863,353760
,CyrillTrans,,,1-220-71-3,{},,тәпә,393954,309863,353549
,CyrillTrans,,,1-222-71-1,{},,гаја,393951,309862,353983
,CyrillTrans,,,1-222-71-3,{},,сылдырим,393952,309862,353444
,CyrillTrans,,,1-230-71-1,{},,дүзәнлик,393949,309861,353109
,CyrillTrans,,,1-230-71-3,{},,чөл,393950,309861,354153
,CyrillTrans,,,1-240-71-1,{},,вади,393948,309860,353908
,CyrillTrans,,,1-250-71-1,{},,ада,393947,309859,353604
,CyrillTrans,,,1-260-71-1,{},,гитә,393946,309858,354296
,CyrillTrans,,,1-270-71-1,{},,ғырағи саһил,393945,309857,354233
,CyrillTrans,,,1-280-71-1,{},,мағара,393942,309856,353535
,CyrillTrans,,,1-280-71-3,{},,капа,393943,309856,354207
,CyrillTrans,,,1-280-71-5,{},,заға,393944,309856,353110
,CyrillTrans,,,1-310-71-1,{},,су,393941,309855,353447
,CyrillTrans,,,1-320-71-1,{},,дәниз,393940,309854,353860
,CyrillTrans,,,1-322-71-1,{},,сакит (дәниз),393939,309853,353285
,CyrillTrans,,,1-323-71-1,{},,ҹошгун,393938,309852,354027
,CyrillTrans,,,1-324-71-1,{},,көпүк,393937,309851,354588
,CyrillTrans,,,1-329-71-1,{},,океан,393936,309850,354573
,CyrillTrans,,,1-330-71-1,{},,ҝөл,393935,309849,354575
,CyrillTrans,,,1-340-71-1,{},,көрфәз,393933,309848,354455
,CyrillTrans,,,1-340-71-3,{},,бухта (кичик көрфәз),393934,309848,354203
,CyrillTrans,,,1-341-71-1,{},,лагун,393932,309847,354232
,CyrillTrans,,,1-342-71-1,{},,риф,393931,309846,354466
,CyrillTrans,,,1-343-71-1,{},,бурун,393930,309845,353597
,CyrillTrans,,,1-350-71-1,{},,ләпә,393928,309844,354075
,CyrillTrans,,,1-350-71-3,{},,далға,393929,309844,353582
,CyrillTrans,,,1-352-71-1,{},,дәниз ахымы,393926,309843,353916
,CyrillTrans,,,1-352-71-3,{},,јығымы вә чәкилмә,393927,309843,353152
,CyrillTrans,,,1-353-71-1,{},,чәкилмә,393925,309842,353648
,CyrillTrans,,,1-354-71-1,{},,ахым,393924,309841,354210
,CyrillTrans,,,1-360-71-1,{},,чай,393922,309840,353824
,CyrillTrans,,,1-360-71-3,{},,сел,393923,309840,354090
,CyrillTrans,,,1-362-71-1,{},,ҝирдаб,393920,309839,353259
,CyrillTrans,,,1-362-71-3,{},,бурулған,393921,309839,354333
,CyrillTrans,,,1-370-71-1,{},,гајнаг,393918,309838,354278
,CyrillTrans,,,1-370-71-3,{},,гују,393919,309838,353081
,CyrillTrans,,,1-380-71-1,{},,батаглыг,393917,309837,353049
,CyrillTrans,,,1-390-71-1,{},,шәлалә,393916,309836,354401
,CyrillTrans,,,1-410-71-1,{},,мешә,393915,309835,354283
,CyrillTrans,,,1-420-71-1,{},,ағаҹ,393914,309834,353104
,CyrillTrans,,,1-430-71-1,{},,ағаҹ,393912,309833,353104
,CyrillTrans,,,1-430-71-3,{},,одун,393913,309833,353383
,CyrillTrans,,,1-440-71-1,{},,даш,393910,309832,353765
,CyrillTrans,,,1-440-71-3,{},,гаја,393911,309832,353983
,CyrillTrans,,,1-450-71-1,{},,зәлзәлә,393909,309831,354364
,CyrillTrans,,,1-510-71-1,{},,ҝөј,393908,309830,354567
,CyrillTrans,,,1-520-71-1,{},,ҝүнәш,393906,309829,353735
,CyrillTrans,,,1-520-71-3,{},,күн,393907,309829,354626
,CyrillTrans,,,1-530-71-1,{},,ај,393905,309828,354106
,CyrillTrans,,,1-540-71-1,{},,улдуз,393904,309827,354120
,CyrillTrans,,,1-550-71-1,{},,илдырым,393903,309826,354615
,CyrillTrans,,,1-560-71-1,{},,ҝөј ҝурултусу,393902,309825,354068
,CyrillTrans,,,1-570-71-1,{},,шимшәк,393901,309824,353096
,CyrillTrans,,,1-580-71-1,{},,фыртына,393900,309823,354395
,CyrillTrans,,,1-590-71-1,{},,ҝөј гуршағы,393899,309822,353289
,CyrillTrans,,,1-610-71-1,{},,ишыг,393897,309821,353225
,CyrillTrans,,,1-610-71-3,{},,нур,393898,309821,354531
,CyrillTrans,,,1-620-71-1,{},,гаранлыг,393895,309820,354517
,CyrillTrans,,,1-620-71-3,{},,зүлмәт,393896,309820,354560
,CyrillTrans,,,1-630-71-1,{},,көлҝә,393894,309819,354020
,CyrillTrans,,,1-640-71-1,{},,шеһ,393892,309818,354198
,CyrillTrans,,,1-640-71-3,{},,шәбнәм,393893,309818,353304
,CyrillTrans,,,1-710-71-1,{},,һава,393891,309817,354478
,CyrillTrans,,,1-720-71-1,{},,күләк,393889,309816,354535
,CyrillTrans,,,1-720-71-3,{},,јел,393890,309816,354204
,CyrillTrans,,,1-730-71-1,{},,булуд,393887,309815,353419
,CyrillTrans,,,1-730-71-3,{},,гара булуд,393888,309815,354613
,CyrillTrans,,,1-740-71-1,{},,думан,393885,309814,353316
,CyrillTrans,,,1-740-71-3,{},,сис,393886,309814,354616
,CyrillTrans,,,1-750-71-1,{},,јағыш,393884,309813,353311
,CyrillTrans,,,1-760-71-1,{},,гар,393883,309812,353168
,CyrillTrans,,,1-770-71-1,{},,буз,393881,309811,354299
,CyrillTrans,,,1-770-71-3,{},,буз бағлама,393882,309811,353520
,CyrillTrans,,,1-780-71-1,{},,һава,393880,309810,354478
,CyrillTrans,,,1-810-71-1,{},,од,393879,309809,354006
,CyrillTrans,,,1-820-71-1,{},,алов,393878,309808,353584
,CyrillTrans,,,1-830-71-1,{},,түстү,393877,309807,353720
,CyrillTrans,,,1-840-71-1,{},,күл,393876,309806,353846
,CyrillTrans,,,1-841-71-1,{},,гызғын көмүр,393875,309805,353706
,CyrillTrans,,,1-851-71-1,{},,јандырмаг,393873,309804,353886
,CyrillTrans,,,1-851-71-3,{},,одламаг,393874,309804,354043
,CyrillTrans,,,1-852-71-1,{},,јанмаг,393872,309803,354286
,CyrillTrans,,,1-860-71-1,{},,алышдырмаг,393871,309802,354524
,CyrillTrans,,,1-861-71-1,{},,сөндүрмәк,393870,309801,354351
,CyrillTrans,,,1-870-71-1,{},,кибрит,393869,309800,354223
,CyrillTrans,,,1-880-71-1,{},,одун,393868,309799,353383
,CyrillTrans,,,1-890-71-1,{},,ағаҹ көмүрү,393867,309798,354132
,CyrillTrans,,,2-100-71-1,{},,адам,393865,309797,353340
,CyrillTrans,,,2-100-71-3,{},,шәхс,393866,309797,353955
,CyrillTrans,,,2-210-71-1,{},,киши,393864,309796,353618
,CyrillTrans,,,2-220-71-1,{},,гадын,393863,309795,353264
,CyrillTrans,,,2-230-71-1,{},,еркәк,393862,309794,353960
,CyrillTrans,,,2-240-71-1,{},,диши,393861,309793,353838
,CyrillTrans,,,2-250-71-1,{},,оғлан,393860,309792,353437
,CyrillTrans,,,2-251-71-1,{},,ҹаван оғлан,393859,309791,353474
,CyrillTrans,,,2-260-71-1,{},,кичик гыз,393858,309790,354607
,CyrillTrans,,,2-261-71-1,{},,ҹаван гыз,393857,309789,353623
,CyrillTrans,,,2-270-71-1,{},,бала,393856,309788,353056
,CyrillTrans,,,2-280-71-1,{},,ушаг,393854,309787,354317
,CyrillTrans,,,2-280-71-3,{},,көрпә,393855,309787,353791
,CyrillTrans,,,2-310-71-1,{},,әр,393853,309786,353462
,CyrillTrans,,,2-320-71-1,{},,арвад,393852,309785,353449
,CyrillTrans,,,2-330-71-1,{},,евләнмәк,393850,309784,353809
,CyrillTrans,,,2-330-71-3,{},,әрә кетмәк,393851,309784,354219
,CyrillTrans,,,2-340-71-1,{},,тој,393848,309783,354492
,CyrillTrans,,,2-340-71-3,{},,кәбин,393849,309783,353783
,CyrillTrans,,,2-341-71-1,{},,ајрылма,393847,309782,353676
,CyrillTrans,,,2-350-71-1,{},,ата,393846,309781,353887
,CyrillTrans,,,2-360-71-1,{},,ана,393845,309780,353425
,CyrillTrans,,,2-370-71-1,{},,валидејнләр,393843,309779,353505
,CyrillTrans,,,2-370-71-3,{},,ата-ана,393844,309779,353571
,CyrillTrans,,,2-380-71-1,{},,евли,393842,309778,353076
,CyrillTrans,,,2-390-71-1,{},,әрли,393841,309777,353711
,CyrillTrans,,,2-410-71-1,{},,оғул,393840,309776,353670
,CyrillTrans,,,2-420-71-1,{},,гыз,393839,309775,353337
,CyrillTrans,,,2-430-71-1,{},,өвладлар,393837,309774,353471
,CyrillTrans,,,2-430-71-3,{},,ушаглар,393838,309774,353184
,CyrillTrans,,,2-440-71-1,{},,гардаш,393836,309773,353379
,CyrillTrans,,,2-444-71-1,{},,бөјүк гардаш,393835,309772,354538
,CyrillTrans,,,2-445-71-1,{},,кичик гардаш,393834,309771,353057
,CyrillTrans,,,2-450-71-1,{},,баҹы,393833,309770,353686
,CyrillTrans,,,2-454-71-1,{},,бөјүк баҹы,393832,309769,353157
,CyrillTrans,,,2-455-71-1,{},,кичик баҹы,393831,309768,353867
,CyrillTrans,,,2-456-71-1,{},,баҹы-гардаш,393830,309767,354181
,CyrillTrans,,,2-458-71-1,{},,әкиз,393829,309766,354629
,CyrillTrans,,,2-460-71-1,{},,бабаҹан,393828,309765,353135
,CyrillTrans,,,2-461-71-1,{},,гоҹа киши,393827,309764,353756
,CyrillTrans,,,2-470-71-1,{},,нәнә,393826,309763,354439
,CyrillTrans,,,2-471-71-1,{},,гоҹа арвад,393825,309762,353879
,CyrillTrans,,,2-480-71-1,{},,нәвә,393824,309761,354630
,CyrillTrans,,,2-490-71-1,{},,нәвә (гыз),393823,309760,353087
,CyrillTrans,,,2-510-71-1,{},,әми,393821,309759,353080
,CyrillTrans,,,2-510-71-3,{},,дајы,393822,309759,354558
,CyrillTrans,,,2-511-71-1,{},,әми,393819,309758,353080
,CyrillTrans,,,2-511-71-3,{},,дајы,393820,309758,354558
,CyrillTrans,,,2-512-71-1,{},,әми,393817,309757,353080
,CyrillTrans,,,2-512-71-3,{},,дајы,393818,309757,354558
,CyrillTrans,,,2-520-71-1,{},,хала,393815,309756,354212
,CyrillTrans,,,2-520-71-3,{},,биби,393816,309756,354521
,CyrillTrans,,,2-521-71-1,{},,хала,393814,309755,354212
,CyrillTrans,,,2-522-71-1,{},,биби,393813,309754,354521
,CyrillTrans,,,2-530-71-1,{},,гардаш оғлу,393811,309753,353855
,CyrillTrans,,,2-530-71-3,{},,баҹы оғлу,393812,309753,354368
,CyrillTrans,,,2-540-71-1,{},,гардаш гызы,393809,309752,353136
,CyrillTrans,,,2-540-71-3,{},,баҹы гызы,393810,309752,354140
,CyrillTrans,,,2-550-71-1,{},,дајы оғлу,393803,309751,353222
,CyrillTrans,,,2-550-71-3,{},,әми оғлу,393804,309751,353876
,CyrillTrans,,,2-550-71-5,{},,гызы,393805,309751,353852
,CyrillTrans,,,2-550-71-7,{},,әми гызы,393806,309751,353116
,CyrillTrans,,,2-550-71-9,{},,дајы,393807,309751,354558
,CyrillTrans,,,2-550-71-11,{},,хала,393808,309751,354212
,CyrillTrans,,,2-560-71-1,{},,ата-баба,393802,309750,353120
,CyrillTrans,,,2-570-71-1,{},,нәвә-нәтиҹә,393801,309749,353537
,CyrillTrans,,,2-610-71-1,{},,гајыната,393800,309748,353392
,CyrillTrans,,,2-611-71-1,{},,гајыната,393798,309747,353392
,CyrillTrans,,,2-611-71-3,{},,арвадын атасы,393799,309747,354577
,CyrillTrans,,,2-620-71-1,{},,гајнана,393797,309746,353353
,CyrillTrans,,,2-621-71-1,{},,гајнана,393795,309745,353353
,CyrillTrans,,,2-621-71-3,{},,арвадын анасы,393796,309745,353536
,CyrillTrans,,,2-630-71-1,{},,күрәкән,393794,309744,354547
,CyrillTrans,,,2-631-71-1,{},,језнә,393793,309743,353769
,CyrillTrans,,,2-640-71-1,{},,ҝәлин,393792,309742,353842
,CyrillTrans,,,2-641-71-1,{},,гардаш арвады,393790,309741,353563
,CyrillTrans,,,2-641-71-3,{},,гајын арвады ҝәлин,393791,309741,354260
,CyrillTrans,,,2-710-71-1,{},,өкеј ата,393789,309740,354625
,CyrillTrans,,,2-720-71-1,{},,өкеј ана,393788,309739,353420
,CyrillTrans,,,2-730-71-1,{},,өкеј огул,393787,309738,353581
,CyrillTrans,,,2-740-71-1,{},,өкеј гыз,393786,309737,353280
,CyrillTrans,,,2-750-71-1,{},,јетим,393785,309736,353117
,CyrillTrans,,,2-760-71-1,{},,дул гадын,393784,309735,353524
,CyrillTrans,,,2-770-71-1,{},,дул киши,393783,309734,353360
,CyrillTrans,,,2-810-71-1,{},,гоһумлар,393782,309733,354322
,CyrillTrans,,,2-820-71-1,{},,күлфәт,393780,309732,353632
,CyrillTrans,,,2-820-71-3,{},,аилә,393781,309732,354205
,CyrillTrans,,,2-910-71-1,{},,мән,393779,309731,353111
,CyrillTrans,,,2-920-71-1,{},,сән,393777,309730,353273
,CyrillTrans,,,2-920-71-3,{},,сиз,393778,309730,354618
,CyrillTrans,,,2-930-71-1,{},,о,393776,309729,354308
,CyrillTrans,,,2-940-71-1,{},,биз,393775,309728,353807
,CyrillTrans,,,2-950-71-1,{},,сиз,393774,309725,354618
,CyrillTrans,,,2-960-71-1,{},,онлар,393773,309724,353322
,CyrillTrans,,,3-110-71-1,{},,һејван,393772,309723,353240
,CyrillTrans,,,3-120-71-1,{},,киши үчүн,393771,309722,353865
,CyrillTrans,,,3-130-71-1,{},,гадын үчүн,393770,309721,354228
,CyrillTrans,,,3-150-71-1,{},,мал-гара,393769,309720,353102
,CyrillTrans,,,3-160-71-1,{},,отлаг,393768,309719,353183
,CyrillTrans,,,3-180-71-1,{},,чобан,393766,309718,353704
,CyrillTrans,,,3-180-71-3,{},,нахырчы,393767,309718,354627
,CyrillTrans,,,3-190-71-1,{},,төвлә,393764,309717,353441
,CyrillTrans,,,3-190-71-3,{},,бурдаг,393765,309717,353099
,CyrillTrans,,,3-200-71-1,{},,гарамал,393763,309716,354459
,CyrillTrans,,,3-210-71-1,{},,өкүз,393762,309715,354499
,CyrillTrans,,,3-220-71-1,{},,өкүз,393761,309714,354499
,CyrillTrans,,,3-230-71-1,{},,инәк,393760,309713,354244
,CyrillTrans,,,3-240-71-1,{},,бузов,393759,309712,353548
,CyrillTrans,,,3-250-71-1,{},,гојун,393757,309711,353443
,CyrillTrans,,,3-250-71-3,{},,гоч,393758,309711,353351
,CyrillTrans,,,3-260-71-1,{},,гоч,393756,309710,353351
,CyrillTrans,,,3-280-71-1,{},,гојун,393755,309709,353443
,CyrillTrans,,,3-290-71-1,{},,гузу,393754,309708,353334
,CyrillTrans,,,3-320-71-1,{},,габан,393753,309707,354448
,CyrillTrans,,,3-340-71-1,{},,донуз,393751,309706,353461
,CyrillTrans,,,3-340-71-3,{},,аначе донуз,393752,309706,353635
,CyrillTrans,,,3-350-71-1,{},,донуз,393750,309705,353461
,CyrillTrans,,,3-360-71-1,{},,кечи,393749,309704,353112
,CyrillTrans,,,3-370-71-1,{},,еркәк кечи,393748,309703,353788
,CyrillTrans,,,3-380-71-1,{},,кечи баласы,393747,309702,354356
,CyrillTrans,,,3-410-71-1,{},,ат,393746,309701,354107
,CyrillTrans,,,3-420-71-1,{},,ајғыр,393745,309700,353699
,CyrillTrans,,,3-440-71-1,{},,мадјан,393744,309699,353616
,CyrillTrans,,,3-450-71-1,{},,гулан,393743,309698,354426
,CyrillTrans,,,3-460-71-1,{},,ешшәк,393742,309697,353968
,CyrillTrans,,,3-470-71-1,{},,гатыр,393741,309696,353467
,CyrillTrans,,,3-500-71-1,{},,ев гушлары,393740,309695,354093
,CyrillTrans,,,3-520-71-1,{},,хоруз,393739,309694,354092
,CyrillTrans,,,3-540-71-1,{},,тојуг,393738,309693,354164
,CyrillTrans,,,3-550-71-1,{},,ҹүҹә,393736,309692,353967
,CyrillTrans,,,3-550-71-3,{},,чолпа,393737,309692,353369
,CyrillTrans,,,3-560-71-1,{},,газ,393735,309691,353177
,CyrillTrans,,,3-570-71-1,{},,өрдәк,393734,309690,353714
,CyrillTrans,,,3-580-71-1,{},,јува,393733,309689,353573
,CyrillTrans,,,3-581-71-1,{},,гуш,393732,309688,353850
,CyrillTrans,,,3-582-71-1,{},,гағајы,393731,309687,353630
,CyrillTrans,,,3-583-71-1,{},,гуш,393730,309686,353850
,CyrillTrans,,,3-584-71-1,{},,гартал,393729,309685,353174
,CyrillTrans,,,3-585-71-1,{},,гырғы,393727,309684,353234
,CyrillTrans,,,3-585-71-3,{},,шаһин,393728,309684,353797
,CyrillTrans,,,3-586-71-1,{},,ганадлы әждаһа,393726,309683,354073
,CyrillTrans,,,3-591-71-1,{},,јараса,393725,309682,354114
,CyrillTrans,,,3-592-71-1,{},,тутугушу,393724,309681,353748
,CyrillTrans,,,3-593-71-1,{},,алагарға,393723,309680,353936
,CyrillTrans,,,3-594-71-1,{},,ҝөјәрчин,393721,309679,354416
,CyrillTrans,,,3-594-71-3,{},,диши ҝөјәрчин,393722,309679,354094
,CyrillTrans,,,3-596-71-1,{},,бајгуш,393719,309678,353987
,CyrillTrans,,,3-596-71-3,{},,јапалаг,393720,309678,353483
,CyrillTrans,,,3-610-71-1,{},,ит,393718,309677,353606
,CyrillTrans,,,3-614-71-1,{},,(евдовшаны) кролик,393717,309676,353252
,CyrillTrans,,,3-620-71-1,{},,(еркәк) пишик,393716,309675,354066
,CyrillTrans,,,3-630-71-1,{},,сичан,393714,309673,354339
,CyrillTrans,,,3-630-71-3,{},,сичовул,393715,309673,354240
,CyrillTrans,,,3-650-71-1,{},,балыг,393713,309672,353715
,CyrillTrans,,,3-652-71-1,{},,үзҝәҹ,393712,309671,353961
,CyrillTrans,,,3-653-71-1,{},,пул,393709,309670,354454
,CyrillTrans,,,3-653-71-3,{},,ахча,393710,309670,354596
,CyrillTrans,,,3-653-71-5,{},,хал,393711,309670,353952
,CyrillTrans,,,3-654-71-1,{},,гәлсәмә,393708,309669,354214
,CyrillTrans,,,3-655-71-1,{},,балыггулағы,393706,309668,353376
,CyrillTrans,,,3-655-71-3,{},,мәрҹангулу,393707,309668,353734
,CyrillTrans,,,3-661-71-1,{},,акула,393705,309667,353480
,CyrillTrans,,,3-662-71-1,{},,дәниз донузу,393703,309666,354433
,CyrillTrans,,,3-662-71-3,{},,делфин,393704,309666,354421
,CyrillTrans,,,3-663-71-1,{},,кит,393701,309664,354511
,CyrillTrans,,,3-664-71-1,{},,јыртыҹы балыг,393702,309665,353103
,CyrillTrans,,,3-665-71-1,{},,анҝвил,393699,309663,354236
,CyrillTrans,,,3-665-71-3,{},,мозалан суфрәси,393700,309663,354377
,CyrillTrans,,,3-710-71-1,{},,гурд,393697,309662,353634
,CyrillTrans,,,3-710-71-3,{},,ҹанавар,393698,309662,353407
,CyrillTrans,,,3-720-71-1,{},,шир,393696,309661,353902
,CyrillTrans,,,3-730-71-1,{},,ајы,393695,309660,353245
,CyrillTrans,,,3-740-71-1,{},,түлкү,393694,309659,354497
,CyrillTrans,,,3-750-71-1,{},,марал,393693,309658,354327
,CyrillTrans,,,3-760-71-1,{},,мејмун,393692,309657,353570
,CyrillTrans,,,3-770-71-1,{},,фил,393691,309656,354477
,CyrillTrans,,,3-780-71-1,{},,дәвә,393690,309655,354436
,CyrillTrans,,,3-810-71-1,{},,һәшәрат,393689,309654,354110
,CyrillTrans,,,3-811-71-1,{},,бит,393688,309653,353810
,CyrillTrans,,,3-812-71-1,{},,сиркә,393687,309652,353681
,CyrillTrans,,,3-813-71-1,{},,бирә,393686,309651,353288
,CyrillTrans,,,3-814-71-1,{},,чохајаглы,393684,309650,354193
,CyrillTrans,,,3-814-71-3,{},,гырхајаг,393685,309650,354605
,CyrillTrans,,,3-815-71-1,{},,әгрәб,393683,309649,353299
,CyrillTrans,,,3-816-71-1,{},,таракан,393681,309648,354352
,CyrillTrans,,,3-816-71-3,{},,мәтбәхбөчәји,393682,309648,353481
,CyrillTrans,,,3-817-71-1,{},,гарышга,393680,309647,354353
,CyrillTrans,,,3-818-71-1,{},,һөрүмчәк,393679,309646,353798
,CyrillTrans,,,3-819-71-1,{},,һөрүмчәк тору,393678,309645,353119
,CyrillTrans,,,3-820-71-1,{},,ары,393677,309644,354171
,CyrillTrans,,,3-821-71-1,{},,мум,393676,309643,354321
,CyrillTrans,,,3-822-71-1,{},,ары тәкнәси,393675,309642,354555
,CyrillTrans,,,3-823-71-1,{},,ары,393674,309641,354171
,CyrillTrans,,,3-830-71-1,{},,милчәк,393673,309640,354139
,CyrillTrans,,,3-831-71-1,{},,ағҹаганад,393671,309639,353262
,CyrillTrans,,,3-831-71-3,{},,мығмыға,393672,309639,353881
,CyrillTrans,,,3-832-71-1,{},,ағҹаганад,393670,309638,353262
,CyrillTrans,,,3-840-71-1,{},,гурд (сохулҹан),393669,309637,354261
,CyrillTrans,,,3-850-71-1,{},,илан,393668,309636,353671
,CyrillTrans,,,3-910-71-1,{},,ишылдагуш,393667,309635,354415
,CyrillTrans,,,3-920-71-1,{},,кәпнәк,393666,309634,354453
,CyrillTrans,,,3-930-71-1,{},,шала ҹырҹырама,393665,309633,353878
,CyrillTrans,,,3-940-71-1,{},,илбиз,393664,309632,354185
,CyrillTrans,,,3-950-71-1,{},,гурбаға,393663,309631,354489
,CyrillTrans,,,3-960-71-1,{},,кәртәнкәлә,393662,309630,353271
,CyrillTrans,,,3-970-71-1,{},,тимсаһ,393661,309629,353845
,CyrillTrans,,,3-980-71-1,{},,тысбаға,393660,309628,353974
,CyrillTrans,,,4-110-71-1,{},,бәдән,393659,309627,353401
,CyrillTrans,,,4-120-71-1,{},,дәри,393658,309626,353318
,CyrillTrans,,,4-130-71-1,{},,бәдән,393656,309625,353401
,CyrillTrans,,,4-130-71-3,{},,ҹисм,393657,309625,353309
,CyrillTrans,,,4-140-71-1,{},,сач,393655,309624,353730
,CyrillTrans,,,4-142-71-1,{},,саггал,393654,309623,353458
,CyrillTrans,,,4-144-71-1,{},,түк,393653,309622,354470
,CyrillTrans,,,4-145-71-1,{},,алын түкү,393652,309621,353754
,CyrillTrans,,,4-146-71-1,{},,кәпәк,393651,309620,354044
,CyrillTrans,,,4-150-71-1,{},,ган,393650,309619,353173
,CyrillTrans,,,4-151-71-1,{},,вена,393647,309618,354430
,CyrillTrans,,,4-151-71-3,{},,артерија,393648,309618,353773
,CyrillTrans,,,4-151-71-5,{},,дамар,393649,309618,354610
,CyrillTrans,,,4-160-71-1,{},,сүмүк,393646,309617,353312
,CyrillTrans,,,4-162-71-1,{},,габырга,393645,309616,353516
,CyrillTrans,,,4-170-71-1,{},,бујнуз,393644,309615,353752
,CyrillTrans,,,4-180-71-1,{},,гујруг,393643,309614,353620
,CyrillTrans,,,4-190-71-1,{},,арха,393641,309613,354534
,CyrillTrans,,,4-190-71-3,{},,бел,393642,309613,354402
,CyrillTrans,,,4-191-71-1,{},,онурға,393639,309612,354553
,CyrillTrans,,,4-191-71-3,{},,бел сүмүјү,393640,309612,353423
,CyrillTrans,,,4-200-71-1,{},,баш,393638,309611,353645
,CyrillTrans,,,4-201-71-1,{},,ҝиҹҝаһ,393637,309610,353931
,CyrillTrans,,,4-202-71-1,{},,кәллә,393635,309609,354469
,CyrillTrans,,,4-202-71-3,{},,гафа тасы,393636,309609,353190
