confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Phonemic,,,1-100-219-1,{},,['mü̃dü],112386,80706,103661
,Phonemic,,,1-210-219-1,{},,lür,112387,80707,102858
,Phonemic,,,1-212-219-1,{},,lür,112388,80708,102858
,Phonemic,,,1-213-219-1,{},,er'hawc̷̣,112389,80709,103258
,Phonemic,,,1-214-219-1,{},,'lohi,112390,80710,103350
,Phonemic,,,1-215-219-1,{},,['hariɲa],112391,80711,102642
,Phonemic,,,1-220-219-1,{},,['mɛ̃di],112392,80712,102720
,Phonemic,,,1-220-219-3,{},,['bortü],112393,80712,102854
,Phonemic,,,1-222-219-1,{},,es'pũda,112394,80713,103228
,Phonemic,,,1-222-219-3,{},,a'rolʸa,112395,80713,103407
,Phonemic,,,1-230-219-1,{},,ürü'pʰea,112396,80714,103273
,Phonemic,,,1-240-219-1,{},,'ibar ~ 'naba,112397,80715,103287
,Phonemic,,,1-250-219-1,{},,['iṣla],112398,80716,102504
,Phonemic,,,1-270-219-1,{},,'ic̷̣aṣ 'baster,112399,80717,103493
,Phonemic,,,1-280-219-1,{},,'harpe,112400,80718,102901
,Phonemic,,,1-310-219-1,{},,hur,112401,80719,102819
,Phonemic,,,1-320-219-1,{},,i'c̷̣aṣo,112402,80720,102470
,Phonemic,,,1-322-219-1,{},,['ãple],112403,80721,102469
,Phonemic,,,1-323-219-1,{},,gaic̷,112404,80722,102932
,Phonemic,,,1-324-219-1,{},,'gahün,112405,80723,103641
,Phonemic,,,1-360-219-1,{},,ü'heic̷,112406,80724,103329
,Phonemic,,,1-360-219-3,{},,e'reka,112407,80724,103133
,Phonemic,,,1-370-219-1,{},,ṣor'gia,112408,80725,103678
,Phonemic,,,1-370-219-3,{},,ü'türi,112409,80725,103498
,Phonemic,,,1-370-219-5,{},,['ṣurṣa],112410,80725,102692
,Phonemic,,,1-370-219-7,{},,[pʰüc̷ü],112411,80725,102676
,Phonemic,,,1-380-219-1,{},,'loṣko,112412,80726,103406
,Phonemic,,,1-380-219-3,{},,'mala,112413,80726,102545
,Phonemic,,,1-390-219-1,{},,tʰu'ruṣta,112414,80727,103584
,Phonemic,,,1-410-219-1,{},,'oihan,112415,80728,103075
,Phonemic,,,1-420-219-1,{},,sü'haɲ ~ sü'haɲc̷e,112416,80729,103703
,Phonemic,,,1-430-219-1,{},,sur,112417,80730,103042
,Phonemic,,,1-440-219-1,{},,'hari,112418,80731,102978
,Phonemic,,,1-440-219-3,{},,'bočü,112419,80731,102644
,Phonemic,,,1-450-219-1,{},,lür i'kʰara,112420,80732,102946
,Phonemic,,,1-510-219-1,{},,['selü],112421,80733,103647
,Phonemic,,,1-520-219-1,{},,'ekʰi,112422,80734,102350
,Phonemic,,,1-530-219-1,{},,argi'sagi,112423,80735,102645
,Phonemic,,,1-540-219-1,{},,'isar,112424,80736,102391
,Phonemic,,,1-550-219-1,{},,iɲ'hasi,112425,80737,103530
,Phonemic,,,1-550-219-3,{},,či'mišta,112426,80737,102879
,Phonemic,,,1-560-219-1,{},,ü̃h'ülgü ~ ül'hü̃gü,112427,80738,102723
,Phonemic,,,1-560-219-3,{},,'dü̃da,112428,80738,103206
,Phonemic,,,1-570-219-1,{},,ü̃h'ülgü,112429,80739,102947
,Phonemic,,,1-580-219-1,{},,[tɛ̃'peṣta],112430,80740,103414
,Phonemic,,,1-590-219-1,{},,o'sadar,112431,80741,103392
,Phonemic,,,1-610-219-1,{},,'argi,112432,80742,102370
,Phonemic,,,1-620-219-1,{},,ül'hü̃pe,112433,80743,103697
,Phonemic,,,1-630-219-1,{},,'ic̷al,112434,80744,103602
,Phonemic,,,1-640-219-1,{},,'ĩhĩc̷,112435,80745,102458
,Phonemic,,,1-710-219-1,{},,['aide],112436,80746,103314
,Phonemic,,,1-720-219-1,{},,'aise,112437,80747,103540
,Phonemic,,,1-730-219-1,{},,o'dei,112438,80748,102789
,Phonemic,,,1-740-219-1,{},,lan'hu,112439,80749,103016
,Phonemic,,,1-740-219-3,{},,lanha'raide,112440,80749,102466
,Phonemic,,,1-750-219-1,{},,'ebi,112441,80750,102760
