confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Phonemic,,,1-100-701-1,{},,biśba,377854,298570,340329
,Phonemic,,,1-210-701-1,{},,jami,377855,298571,339385
,Phonemic,,,1-212-701-1,{},,māṭi,377856,298572,339513
,Phonemic,,,1-213-701-1,{},,dhulo,377857,298573,339680
,Phonemic,,,1-214-701-1,{},,mr̖ttikā,377858,298574,340048
,Phonemic,,,1-214-701-3,{},,kādā,377859,298574,339488
,Phonemic,,,1-215-701-1,{},,bāli,377860,298575,339981
,Phonemic,,,1-220-701-1,{},,parbata,377861,298576,340127
,Phonemic,,,1-220-701-3,{},,pāhār̖ā,377862,298576,340302
,Phonemic,,,1-222-701-1,{},,parbata,377863,298577,340127
,Phonemic,,,1-222-701-3,{},,parbatagātra,377864,298577,340340
,Phonemic,,,1-230-701-1,{},,samatala,377865,298578,340486
,Phonemic,,,1-240-701-1,{},,upatyakā,377866,298579,339850
,Phonemic,,,1-250-701-1,{},,dbīpa,377867,298580,339637
,Phonemic,,,1-260-701-1,{},,mūl bhūkhanḍa,377868,298581,339991
,Phonemic,,,1-270-701-1,{},,tīra,377869,298582,339976
,Phonemic,,,1-280-701-1,{},,guhā,377870,298583,339591
,Phonemic,,,1-310-701-1,{},,pāni,377871,298584,339756
,Phonemic,,,1-310-701-3,{},,jala,377872,298584,339673
,Phonemic,,,1-320-701-1,{},,samudra,377873,298585,339283
,Phonemic,,,1-320-701-3,{},,sāgara,377874,298585,339461
,Phonemic,,,1-322-701-1,{},,śānta,377875,298586,339938
,Phonemic,,,1-323-701-1,{},,aśānta,377876,298587,339767
,Phonemic,,,1-324-701-1,{},,phenā,377877,298588,339481
,Phonemic,,,1-329-701-1,{},,sāgara,377878,298589,339461
,Phonemic,,,1-329-701-3,{},,mahāsāgara,377879,298589,339778
,Phonemic,,,1-330-701-1,{},,dīghi,377880,298590,339564
,Phonemic,,,1-340-701-1,{},,upasāgara,377881,298591,340419
,Phonemic,,,1-341-701-1,{},,upahrada,377882,298592,339581
,Phonemic,,,1-342-701-1,{},,prabāla,377883,298593,339486
,Phonemic,,,1-343-701-1,{},,antarīpa,377884,298594,339563
,Phonemic,,,1-350-701-1,{},,taraṅga,377885,298595,339754
,Phonemic,,,1-352-701-1,{},,ḍheu,377886,298596,339634
,Phonemic,,,1-353-701-1,{},,marākaṭāla,377887,298597,339943
,Phonemic,,,1-354-701-1,{},,joyāra,377888,298598,340364
,Phonemic,,,1-360-701-1,{},,nadī,377889,298599,339719
,Phonemic,,,1-362-701-1,{},,ghūrṇi,377890,298600,339922
,Phonemic,,,1-370-701-1,{},,kuyā,377891,298601,339892
,Phonemic,,,1-380-701-1,{},,jalābhūmi,377892,298602,339926
,Phonemic,,,1-390-701-1,{},,jharṇā,377893,298603,339555
,Phonemic,,,1-410-701-1,{},,bana,377894,298604,339610
,Phonemic,,,1-430-701-1,{},,kāṭha,377895,298605,339934
,Phonemic,,,1-440-701-1,{},,pāṣāṇa,377896,298606,339321
,Phonemic,,,1-440-701-3,{},,śilā,377897,298606,340228
,Phonemic,,,1-450-701-1,{},,bhūkampana,377898,298607,340218
,Phonemic,,,1-510-701-1,{},,ākāśa,377899,298608,340214
,Phonemic,,,1-520-701-1,{},,sūrya,377900,298609,340056
,Phonemic,,,1-520-701-3,{},,aruṇa,377901,298609,340397
,Phonemic,,,1-530-701-1,{},,cānda,377902,298610,340090
,Phonemic,,,1-530-701-3,{},,candra,377903,298610,339768
,Phonemic,,,1-540-701-1,{},,tārakā,377904,298611,339503
,Phonemic,,,1-550-701-1,{},,bajrapāta,377905,298612,339400
,Phonemic,,,1-560-701-1,{},,bāja,377906,298613,339587
,Phonemic,,,1-570-701-1,{},,bajrapāta,377907,298614,339400
,Phonemic,,,1-580-701-1,{},,jhaŗa,377908,298615,340372
,Phonemic,,,1-590-701-1,{},,ramdhaṇu,377909,298616,340215
,Phonemic,,,1-610-701-1,{},,ālo,377910,298617,339977
