confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Phonemic,,,1-100-183-1,{},,bed,51305,40658,48118
,Phonemic,,,1-210-183-1,{},,douar,51306,40659,47858
,Phonemic,,,1-212-183-1,{},,douar,51307,40660,47858
,Phonemic,,,1-213-183-1,{},,poultr,51308,40661,47386
,Phonemic,,,1-213-183-3,{},,poucher,51309,40661,47350
,Phonemic,,,1-214-183-1,{},,fank,51310,40662,47773
,Phonemic,,,1-215-183-1,{},,traez,51311,40663,47542
,Phonemic,,,1-215-183-3,{},,sabl,51312,40663,48004
,Phonemic,,,1-220-183-1,{},,menez,51313,40664,47812
,Phonemic,,,1-220-183-3,{},,krec’h,51314,40664,47259
,Phonemic,,,1-222-183-1,{},,tornaot,51315,40665,46969
,Phonemic,,,1-222-183-3,{},,torraot,51316,40665,47805
,Phonemic,,,1-222-183-5,{},,bri,51317,40665,46763
,Phonemic,,,1-230-183-1,{},,plenenn,51318,40666,48298
,Phonemic,,,1-230-183-3,{},,park,51319,40666,47701
,Phonemic,,,1-240-183-1,{},,traonienn,51320,40667,48158
,Phonemic,,,1-240-183-3,{},,saonenn,51321,40667,47689
,Phonemic,,,1-250-183-1,{},,enezenn,51322,40668,47966
,Phonemic,,,1-260-183-1,{},,douar braz,51323,40669,47205
,Phonemic,,,1-270-183-1,{},,aot,51324,40670,48093
,Phonemic,,,1-280-183-1,{},,grotenn,51325,40671,48000
,Phonemic,,,1-310-183-1,{},,dour,51326,40672,46840
,Phonemic,,,1-320-183-1,{},,mor,51327,40673,47454
,Phonemic,,,1-322-183-1,{},,kalm,51328,40674,47013
,Phonemic,,,1-323-183-1,{},,garo + rust,51329,40675,47856
,Phonemic,,,1-324-183-1,{},,eon,51330,40676,47263
,Phonemic,,,1-329-183-1,{},,mor,51331,40677,47454
,Phonemic,,,1-329-183-3,{},,mor braz,51332,40677,48053
,Phonemic,,,1-330-183-1,{},,lenn,51333,40678,47925
,Phonemic,,,1-330-183-3,{},,loc’h,51334,40678,47310
,Phonemic,,,1-330-183-5,{},,stank,51335,40678,48033
,Phonemic,,,1-340-183-1,{},,pleg-mor,51336,40679,46931
,Phonemic,,,1-342-183-1,{},,karreg,51337,40680,47914
,Phonemic,,,1-343-183-1,{},,beg-douar,51338,40681,46856
,Phonemic,,,1-350-183-1,{},,gwagenn,51339,40682,48220
,Phonemic,,,1-350-183-3,{},,gwachenn,51340,40682,47500
,Phonemic,,,1-350-183-5,{},,koumm,51341,40682,47998
,Phonemic,,,1-350-183-7,{},,houlenn,51342,40682,47886
,Phonemic,,,1-352-183-1,{},,mare,51343,40683,47392
,Phonemic,,,1-353-183-1,{},,tre,51344,40684,47954
,Phonemic,,,1-354-183-1,{},,lano,51345,40685,47933
,Phonemic,,,1-360-183-1,{},,ster,51346,40686,47171
,Phonemic,,,1-360-183-3,{},,richer,51347,40686,48117
,Phonemic,,,1-360-183-5,{},,riɲvier,51348,40686,47069
,Phonemic,,,1-362-183-1,{},,troenn-vor,51349,40687,46871
,Phonemic,,,1-370-183-1,{},,eienenn,51350,40688,47249
,Phonemic,,,1-370-183-3,{},,mammenn,51351,40688,47273
,Phonemic,,,1-370-183-5,{},,puɲs,51352,40688,47823
,Phonemic,,,1-380-183-1,{},,lagenn,51353,40689,47752
,Phonemic,,,1-380-183-3,{},,yun,51354,40689,47272
,Phonemic,,,1-390-183-1,{},,lamm dour,51355,40690,46737
,Phonemic,,,1-410-183-1,{},,koad,51356,40691,48043
,Phonemic,,,1-420-183-1,{},,gwezenn,51357,40692,47002
,Phonemic,,,1-430-183-1,{},,koad,51358,40693,48043
,Phonemic,,,1-430-183-3,{},,prenn,51359,40693,47703
,Phonemic,,,1-440-183-1,{},,maen,51360,40694,46771
,Phonemic,,,1-440-183-3,{},,roh,51361,40694,47122
,Phonemic,,,1-440-183-5,{},,rohell,51362,40694,47136
,Phonemic,,,1-450-183-1,{},,kren-douar,51363,40695,46804
,Phonemic,,,1-510-183-1,{},,oabl,51364,40696,47965
,Phonemic,,,1-510-183-3,{},,neɲv,51365,40696,47814
,Phonemic,,,1-520-183-1,{},,heol,51366,40697,47309
,Phonemic,,,1-530-183-1,{},,loar,51367,40698,47787
,Phonemic,,,1-530-183-3,{},,loer,51368,40698,48237
,Phonemic,,,1-540-183-1,{},,steredenn,51369,40699,48208
,Phonemic,,,1-550-183-1,{},,luhedenn,51370,40700,47595
,Phonemic,,,1-550-183-3,{},,daredenn,51371,40700,47095
,Phonemic,,,1-560-183-1,{},,kurun,51372,40701,48143
,Phonemic,,,1-560-183-3,{},,kudurun,51373,40701,47141
,Phonemic,,,1-560-183-5,{},,taran,51374,40701,47478
,Phonemic,,,1-570-183-1,{},,tan-foeltr,51375,40702,46980
,Phonemic,,,1-570-183-3,{},,tan-kurun,51376,40702,47502
,Phonemic,,,1-580-183-1,{},,arne,51377,40703,48297
,Phonemic,,,1-580-183-3,{},,oraj,51378,40703,47529
,Phonemic,,,1-580-183-5,{},,tourmant,51379,40703,47816
,Phonemic,,,1-580-183-7,{},,tempest,51380,40703,47718
,Phonemic,,,1-590-183-1,{},,gwareg-ar-glao,51381,40704,47174
,Phonemic,,,1-590-183-3,{},,kanevedenn,51382,40704,46915
,Phonemic,,,1-610-183-1,{},,goulou,51383,40705,46919
,Phonemic,,,1-620-183-1,{},,teɲvalijenn,51384,40706,47204
,Phonemic,,,1-630-183-1,{},,disheol,51385,40707,48063
,Phonemic,,,1-630-183-3,{},,skeud,51386,40707,47267
,Phonemic,,,1-640-183-1,{},,gliz,51387,40708,48292
,Phonemic,,,1-640-183-3,{},,gwliz,51388,40708,46901
,Phonemic,,,1-710-183-1,{},,aer,51389,40709,48161
,Phonemic,,,1-720-183-1,{},,avel,51390,40710,47692
,Phonemic,,,1-730-183-1,{},,koabrenn,51391,40711,47258
,Phonemic,,,1-730-183-3,{},,koumoulenn,51392,40711,48109
,Phonemic,,,1-740-183-1,{},,latar,51393,40712,46864
,Phonemic,,,1-740-183-3,{},,lusenn,51394,40712,47798
,Phonemic,,,1-740-183-5,{},,brum,51395,40712,47281
,Phonemic,,,1-750-183-1,{},,glao,51396,40713,47608
,Phonemic,,,1-760-183-1,{},,erh,51397,40714,46790
,Phonemic,,,1-770-183-1,{},,skorn,51398,40715,47138
,Phonemic,,,1-780-183-1,{},,amzer,51399,40716,47244
,Phonemic,,,1-810-183-1,{},,tan,51400,40717,48017
,Phonemic,,,1-820-183-1,{},,flammenn,51401,40718,47114
,Phonemic,,,1-830-183-1,{},,moged,51402,40719,46721
,Phonemic,,,1-840-183-1,{},,ludu,51403,40720,47620
,Phonemic,,,1-841-183-1,{},,glaou-beo,51404,40721,47521
,Phonemic,,,1-851-183-1,{},,en em deviɲ,51405,40722,47908
,Phonemic,,,1-852-183-1,{},,deviɲ,51406,40723,47295
,Phonemic,,,1-860-183-1,{},,enaoui,51407,40724,47545
,Phonemic,,,1-860-183-3,{},,alumiɲ,51408,40724,47359
,Phonemic,,,1-861-183-1,{},,laza,51409,40725,48192
,Phonemic,,,1-861-183-3,{},,lahaɲ,51410,40725,47893
,Phonemic,,,1-870-183-1,{},,alumetezenn,51411,40726,46767
,Phonemic,,,1-870-183-3,{},,chimikenn,51412,40726,47943
,Phonemic,,,1-880-183-1,{},,keuneud,51413,40727,48193
,Phonemic,,,1-890-183-1,{},,glaou-douar,51414,40728,47135
,Phonemic,,,2-100-183-1,{},,den,51415,40729,47613
,Phonemic,,,2-210-183-1,{},,gwaz,51416,40730,47442
,Phonemic,,,2-210-183-3,{},,paotr,51417,40730,46738
,Phonemic,,,2-220-183-1,{},,maouez,51418,40731,47472
,Phonemic,,,2-220-183-3,{},,plah,51419,40731,47727
,Phonemic,,,2-230-183-1,{},,gwaz,51420,40732,47442
,Phonemic,,,2-230-183-3,{},,paotr,51421,40732,46738
,Phonemic,,,2-240-183-1,{},,maouez,51422,40733,47472
,Phonemic,,,2-240-183-3,{},,plah,51423,40733,47727
,Phonemic,,,2-250-183-1,{},,paotr bihan,51424,40734,46787
,Phonemic,,,2-251-183-1,{},,paotr yaouank,51425,40735,46850
,Phonemic,,,2-260-183-1,{},,plah vihan,51426,40736,47960
,Phonemic,,,2-261-183-1,{},,plah yaouank,51427,40737,47927
,Phonemic,,,2-270-183-1,{},,bugel,51428,40738,47728
,Phonemic,,,2-280-183-1,{},,krouadur,51429,40739,46775
,Phonemic,,,2-280-183-3,{},,poupig,51430,40739,47996
,Phonemic,,,2-310-183-1,{},,den,51431,40740,47613
,Phonemic,,,2-310-183-3,{},,gwaz,51432,40740,47442
,Phonemic,,,2-310-183-5,{},,pried,51433,40740,48251
,Phonemic,,,2-320-183-1,{},,gwreg,51434,40741,46870
,Phonemic,,,2-320-183-3,{},,pried,51435,40741,48251
,Phonemic,,,2-330-183-1,{},,dimezi,51436,40742,47346
,Phonemic,,,2-330-183-3,{},,eureuji,51437,40742,47334
,Phonemic,,,2-340-183-1,{},,eured,51438,40743,47928
,Phonemic,,,2-340-183-3,{},,friko,51439,40743,47891
,Phonemic,,,2-341-183-1,{},,[divors],51440,40744,46966
,Phonemic,,,2-350-183-1,{},,tad,51441,40745,48014
,Phonemic,,,2-360-183-1,{},,mamm,51442,40746,47696
,Phonemic,,,2-370-183-1,{},,tud,51443,40747,47369
,Phonemic,,,2-370-183-3,{},,tad ha mamm,51444,40747,48233
,Phonemic,,,2-380-183-1,{},,den dimezet,51445,40748,47953
,Phonemic,,,2-390-183-1,{},,gwreg,51446,40749,46870
,Phonemic,,,2-390-183-3,{},,maouez,51447,40749,47472
,Phonemic,,,2-410-183-1,{},,mab,51448,40750,47214
,Phonemic,,,2-420-183-1,{},,merh,51449,40751,48276
,Phonemic,,,2-430-183-1,{},,bugel,51450,40752,47728
,Phonemic,,,2-440-183-1,{},,breur,51451,40753,47486
,Phonemic,,,2-444-183-1,{},,breur henaɲ,51452,40754,47803
,Phonemic,,,2-445-183-1,{},,breur bihan,51453,40755,47614
,Phonemic,,,2-450-183-1,{},,c’hoar,51454,40756,47840
,Phonemic,,,2-454-183-1,{},,c’hoar henaɲ,51455,40757,47143
,Phonemic,,,2-455-183-1,{},,c’hoar vihan,51456,40758,48168
,Phonemic,,,2-458-183-1,{},,koublad,51457,40759,47697
,Phonemic,,,2-458-183-3,{},,gevell,51458,40759,48049
,Phonemic,,,2-460-183-1,{},,tad-koz,51459,40760,46825
,Phonemic,,,2-460-183-3,{},,pepe,51460,40760,47426
,Phonemic,,,2-461-183-1,{},,paotr koz,51461,40761,47671
,Phonemic,,,2-470-183-1,{},,mamm-goz,51462,40762,47363
,Phonemic,,,2-471-183-1,{},,plah koz,51463,40763,46896
,Phonemic,,,2-471-183-3,{},,maouez koz,51464,40763,47572
,Phonemic,,,2-480-183-1,{},,mab bihan,51465,40764,46830
,Phonemic,,,2-490-183-1,{},,merh vihan,51466,40765,46732
,Phonemic,,,2-510-183-1,{},,eontr,51467,40766,47606
,Phonemic,,,2-510-183-3,{},,tonton,51468,40766,48241
,Phonemic,,,2-511-183-1,{},,tonton,51469,40767,48241
,Phonemic,,,2-512-183-1,{},,tonton,51470,40768,48241
,Phonemic,,,2-520-183-1,{},,moereb,51471,40769,48221
,Phonemic,,,2-520-183-3,{},,tantin,51472,40769,47092
,Phonemic,,,2-520-183-5,{},,tintin,51473,40769,46990
,Phonemic,,,2-521-183-1,{},,moereb,51474,40770,48221
,Phonemic,,,2-521-183-3,{},,tantin,51475,40770,47092
,Phonemic,,,2-521-183-5,{},,tintin,51476,40770,46990
,Phonemic,,,2-522-183-1,{},,moereb,51477,40771,48221
,Phonemic,,,2-522-183-3,{},,tantin,51478,40771,47092
,Phonemic,,,2-522-183-5,{},,tintin,51479,40771,46990
,Phonemic,,,2-530-183-1,{},,niz,51480,40772,47003
,Phonemic,,,2-530-183-3,{},,ni,51481,40772,47094
,Phonemic,,,2-540-183-1,{},,nizez,51482,40773,48068
,Phonemic,,,2-540-183-3,{},,niez,51483,40773,48152
,Phonemic,,,2-550-183-1,{},,kenderv,51484,40774,46939
,Phonemic,,,2-550-183-3,{},,keniterv,51485,40774,47271
,Phonemic,,,2-560-183-1,{},,gourdadou,51486,40775,48155
,Phonemic,,,2-560-183-3,{},,tud koz,51487,40775,47166
,Phonemic,,,2-570-183-1,{},,diskennidi,51488,40776,47463
,Phonemic,,,2-610-183-1,{},,tad-kaer,51489,40777,46862
,Phonemic,,,2-611-183-1,{},,tad-kaer,51490,40778,46862
,Phonemic,,,2-620-183-1,{},,mamm-gaer,51491,40779,47226
,Phonemic,,,2-621-183-1,{},,mamm-gaer,51492,40780,47226
,Phonemic,,,2-630-183-1,{},,mab-kaer,51493,40781,47855
,Phonemic,,,2-630-183-3,{},,deun,51494,40781,46999
,Phonemic,,,2-631-183-1,{},,mab-kaer,51495,40782,47855
,Phonemic,,,2-631-183-3,{},,deun,51496,40782,46999
,Phonemic,,,2-640-183-1,{},,merh-kaer,51497,40783,48160
,Phonemic,,,2-641-183-1,{},,merh-kaer,51498,40784,48160
,Phonemic,,,2-710-183-1,{},,lez-tad,51499,40785,48106
,Phonemic,,,2-720-183-1,{},,lez-vamm,51500,40786,48255
,Phonemic,,,2-730-183-1,{},,lez-vab,51501,40787,46713
,Phonemic,,,2-740-183-1,{},,lez-verh,51502,40788,47241
,Phonemic,,,2-750-183-1,{},,emzivad,51503,40789,47504
,Phonemic,,,2-750-183-3,{},,minor,51504,40789,47602
,Phonemic,,,2-750-183-5,{},,minorez,51505,40789,47796
,Phonemic,,,2-760-183-1,{},,intaɲvez,51506,40790,47429
,Phonemic,,,2-770-183-1,{},,intaɲv,51507,40791,47862
,Phonemic,,,2-810-183-1,{},,kerent,51508,40792,47676
,Phonemic,,,2-810-183-3,{},,tud-kar,51509,40792,47333
,Phonemic,,,2-820-183-1,{},,famill,51510,40793,47590
,Phonemic,,,2-910-183-1,{},,me,51511,40794,46783
,Phonemic,,,2-920-183-1,{},,te,51512,40795,47538
,Phonemic,,,2-930-183-1,{},,heɲ/ hi,51513,40796,47831
,Phonemic,,,2-930-183-3,{},,eɲ/ hi,51514,40796,47958
,Phonemic,,,2-940-183-1,{},,ni,51515,40797,47094
,Phonemic,,,2-950-183-1,{},,c’hwi,51516,40798,47022
,Phonemic,,,2-960-183-1,{},,i,51517,40799,48225
,Phonemic,,,2-960-183-3,{},,int,51518,40799,48300
,Phonemic,,,3-110-183-1,{},,loen,51519,40800,48229
,Phonemic,,,3-110-183-3,{},,aneval,51520,40800,46955
,Phonemic,,,3-120-183-1,{},,par,51521,40801,47425
,Phonemic,,,3-120-183-3,{},,taro-,51522,40801,47473
