confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Phonemic,,,1-100-200-1,{},,svját,82668,60443,76869
,Phonemic,,,1-210-200-1,{},,zemjá,82669,60444,76376
,Phonemic,,,1-212-200-1,{},,zemjá,82670,60445,76376
,Phonemic,,,1-212-200-3,{},,póčva,82671,60445,75417
,Phonemic,,,1-213-200-1,{},,prax,82672,60446,76336
,Phonemic,,,1-214-200-1,{},,kal,82673,60447,76435
,Phonemic,,,1-215-200-1,{},,pjásək,82674,60448,77101
,Phonemic,,,1-220-200-1,{},,planiná,82675,60449,76976
,Phonemic,,,1-220-200-3,{},,xəlm,82676,60449,75887
,Phonemic,,,1-222-200-1,{},,strə́mna skalá,82677,60450,75334
,Phonemic,,,1-222-200-3,{},,úrva,82678,60450,75824
,Phonemic,,,1-222-200-5,{},,própast,82679,60450,76764
,Phonemic,,,1-222-200-7,{},,[kanará],82680,60450,76680
,Phonemic,,,1-230-200-1,{},,ravniná,82681,60451,76540
,Phonemic,,,1-230-200-3,{},,polé,82682,60451,76908
,Phonemic,,,1-240-200-1,{},,doliná,82683,60452,76891
,Phonemic,,,1-250-200-1,{},,óstrov,82684,60453,75416
,Phonemic,,,1-260-200-1,{},,zemjá,82685,60454,76376
,Phonemic,,,1-260-200-3,{},,súša,82686,60454,76714
,Phonemic,,,1-260-200-5,{},,[kontinént],82687,60454,76981
,Phonemic,,,1-270-200-1,{},,brjag,82688,60455,76013
,Phonemic,,,1-280-200-1,{},,pešterá,82689,60456,76565
,Phonemic,,,1-310-200-1,{},,vodá,82690,60457,76055
,Phonemic,,,1-320-200-1,{},,moré,82691,60458,76889
,Phonemic,,,1-322-200-1,{},,spokójstvie,82692,60459,76578
,Phonemic,,,1-322-200-3,{},,zatíšie,82693,60459,75492
,Phonemic,,,1-323-200-1,{},,razvəlnúvan,82694,60460,75404
,Phonemic,,,1-324-200-1,{},,pjána,82695,60461,76320
,Phonemic,,,1-329-200-1,{},,[okeán],82696,60462,75614
,Phonemic,,,1-330-200-1,{},,ézero,82697,60463,76174
,Phonemic,,,1-340-200-1,{},,záliv,82698,60464,75270
,Phonemic,,,1-341-200-1,{},,[lagúna],82699,60465,75456
,Phonemic,,,1-342-200-1,{},,[rif],82700,60466,75918
,Phonemic,,,1-343-200-1,{},,nos,82701,60467,77047
,Phonemic,,,1-350-200-1,{},,vəlná,82702,60468,75561
,Phonemic,,,1-352-200-1,{},,príliv,82703,60469,75570
,Phonemic,,,1-352-200-3,{},,ótliv,82704,60469,77005
,Phonemic,,,1-353-200-1,{},,náj-nískata tóčka na ótliva,82705,60470,75297
,Phonemic,,,1-354-200-1,{},,náj-visókata tóčka na príliva,82706,60471,76165
,Phonemic,,,1-360-200-1,{},,reká,82707,60472,76063
,Phonemic,,,1-360-200-3,{},,potók,82708,60472,76131
,Phonemic,,,1-360-200-5,{},,rúčej,82709,60472,76310
,Phonemic,,,1-362-200-1,{},,vodo-vərtéž,82710,60473,76350
,Phonemic,,,1-362-200-3,{},,vərtóp,82711,60473,77089
,Phonemic,,,1-370-200-1,{},,ízvor,82712,60474,76546
,Phonemic,,,1-370-200-3,{},,kládenec̷,82713,60474,75738
,Phonemic,,,1-380-200-1,{},,bláto,82714,60475,75905
,Phonemic,,,1-380-200-3,{},,tresávište,82715,60475,76346
,Phonemic,,,1-390-200-1,{},,vodopád,82716,60476,76003
,Phonemic,,,1-410-200-1,{},,gorá,82717,60477,76101
,Phonemic,,,1-420-200-1,{},,dərvó,82718,60478,76195
,Phonemic,,,1-430-200-1,{},,dərvó,82719,60479,76195
,Phonemic,,,1-440-200-1,{},,kámək,82720,60480,75582
,Phonemic,,,1-440-200-3,{},,skalá,82721,60480,75569
,Phonemic,,,1-440-200-5,{},,[kanará],82722,60480,76680
,Phonemic,,,1-450-200-1,{},,zeme-tresénie,82723,60481,76825
,Phonemic,,,1-510-200-1,{},,nebé,82724,60482,77149
,Phonemic,,,1-520-200-1,{},,slə́nc̷e,82725,60483,76732
