confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,StandardOrth,,,1-100-177-1,{},,món,40982,33693,37724
,StandardOrth,,,1-210-177-1,{},,terra,40983,33694,37872
,StandardOrth,,,1-212-177-1,{},,sòl,40984,33695,37571
,StandardOrth,,,1-212-177-3,{},,terra,40985,33695,37872
,StandardOrth,,,1-213-177-1,{},,pols,40986,33696,37723
,StandardOrth,,,1-214-177-1,{},,llot,40987,33697,37694
,StandardOrth,,,1-214-177-3,{},,fang,40988,33697,38078
,StandardOrth,,,1-215-177-1,{},,sorra,40989,33698,37124
,StandardOrth,,,1-220-177-1,{},,muntanya,40990,33699,38184
,StandardOrth,,,1-220-177-3,{},,puig,40991,33699,38130
,StandardOrth,,,1-220-177-5,{},,turó,40992,33699,37425
,StandardOrth,,,1-220-177-7,{},,pujol,40993,33699,38037
,StandardOrth,,,1-222-177-1,{},,precipici,40994,33700,38372
,StandardOrth,,,1-222-177-3,{},,penya-segat,40995,33700,38493
,StandardOrth,,,1-230-177-1,{},,pla,40996,33701,37424
,StandardOrth,,,1-230-177-3,{},,plana,40997,33701,37959
,StandardOrth,,,1-230-177-5,{},,camp,40998,33701,37291
,StandardOrth,,,1-240-177-1,{},,vall,40999,33702,37908
,StandardOrth,,,1-250-177-1,{},,illa,41000,33703,38332
,StandardOrth,,,1-260-177-1,{},,continent,41001,33704,38151
,StandardOrth,,,1-270-177-1,{},,litoral,41002,33705,38316
,StandardOrth,,,1-270-177-3,{},,riba,41003,33705,37431
,StandardOrth,,,1-270-177-5,{},,costa,41004,33705,37777
,StandardOrth,,,1-280-177-1,{},,cova,41005,33706,37869
,StandardOrth,,,1-310-177-1,{},,aigua,41006,33707,38171
,StandardOrth,,,1-320-177-1,{},,mar,41007,33708,37568
,StandardOrth,,,1-322-177-1,{},,calma,41008,33709,37950
,StandardOrth,,,1-323-177-1,{},,agitat (mar),41009,33710,38455
,StandardOrth,,,1-324-177-1,{},,escuma,41010,33711,37949
,StandardOrth,,,1-329-177-1,{},,oceà,41011,33712,37413
,StandardOrth,,,1-330-177-1,{},,llac,41012,33713,37916
,StandardOrth,,,1-340-177-1,{},,golf,41013,33714,38045
,StandardOrth,,,1-340-177-3,{},,badia,41014,33714,38145
,StandardOrth,,,1-341-177-1,{},,llacuna,41015,33715,37876
,StandardOrth,,,1-342-177-1,{},,escull,41016,33716,37877
,StandardOrth,,,1-343-177-1,{},,punta,41017,33717,37713
,StandardOrth,,,1-343-177-3,{},,promontori,41018,33717,38509
,StandardOrth,,,1-350-177-1,{},,onada,41019,33718,37923
,StandardOrth,,,1-352-177-1,{},,marea,41020,33719,38342
,StandardOrth,,,1-353-177-1,{},,marea baixa,41021,33720,37243
,StandardOrth,,,1-354-177-1,{},,marea altariu,41022,33721,38161
,StandardOrth,,,1-360-177-1,{},,riu,41023,33722,37166
,StandardOrth,,,1-360-177-3,{},,corrent,41024,33722,37315
,StandardOrth,,,1-360-177-5,{},,riarol,41025,33722,38480
,StandardOrth,,,1-362-177-1,{},,remolí,41026,33723,37690
,StandardOrth,,,1-370-177-1,{},,manantial,41027,33724,37182
,StandardOrth,,,1-370-177-3,{},,pou,41028,33724,37728
,StandardOrth,,,1-380-177-1,{},,pantà,41029,33725,37781
,StandardOrth,,,1-390-177-1,{},,salt d'aigua,41030,33726,37762
,StandardOrth,,,1-390-177-3,{},,cascada,41031,33726,37580
,StandardOrth,,,1-410-177-1,{},,selva,41032,33727,37426
,StandardOrth,,,1-410-177-3,{},,bosc,41033,33727,37335
,StandardOrth,,,1-420-177-1,{},,arbre,41034,33728,37705
,StandardOrth,,,1-430-177-1,{},,fusta,41035,33729,37811
,StandardOrth,,,1-440-177-1,{},,pedra,41036,33730,37125
