confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,phonetic,,,1-100-834-1,{},,lo:k.A,443163,350950,399125
,phonetic,,,1-210-834-1,{},,phɛn.A din.A,443164,350951,398473
,phonetic,,,1-212-834-1,{},,theʔ.A,443165,350952,398680
,phonetic,,,1-213-834-1,{},,phɔŋ.A,443166,350953,398449
,phonetic,,,1-214-834-1,{},,plɔ:k.B,443167,350954,398684
,phonetic,,,1-215-834-1,{},,kəla:ŋ.D,443168,350955,398363
,phonetic,,,1-220-834-1,{},,nɔ:ŋ.C,443169,350956,398902
,phonetic,,,1-222-834-1,{},,na:.C pha:.A nɔ:ŋ.C,443170,350957,398453
,phonetic,,,1-230-834-1,{},,wa:j.C,443171,350958,398883
,phonetic,,,1-240-834-1,{},,sɔ:k.C nɔ:ŋ.C,443172,350959,398801
,phonetic,,,1-250-834-1,{},,kɔʔ.A,443173,350960,398937
,phonetic,,,1-260-834-1,{},,phɛn.A din.A,443174,350961,398473
,phonetic,,,1-270-834-1,{},,co:ŋ.C,443175,350962,398435
,phonetic,,,1-280-834-1,{},,tham.C,443176,350963,399123
,phonetic,,,1-310-834-1,{},,tha:k.C,443177,350964,399156
,phonetic,,,1-320-834-1,{},,thale:.A,443178,350965,398581
,phonetic,,,1-322-834-1,{},,khlɨ:n.A jut.A,443179,350966,398587
,phonetic,,,1-323-834-1,{},,ʔi:n.A khlɨ:n.A,443180,350967,398442
,phonetic,,,1-324-834-1,{},,fɔ:ŋ.A tha:k.C,443181,350968,398746
,phonetic,,,1-329-834-1,{},,mahasamut.A,443182,350969,399094
,phonetic,,,1-330-834-1,{},,thale:.A sa:p.A,443183,350970,398686
,phonetic,,,1-340-834-1,{},,waŋ.C,443184,350971,398754
,phonetic,,,1-341-834-1,{},,labɨŋ.A,443185,350972,399398
,phonetic,,,1-342-834-1,{},,khəle:t.A tha:k.C,443186,350973,399356
,phonetic,,,1-343-834-1,{},,luj.A,443187,350974,399210
,phonetic,,,1-352-834-1,{},,sa:j.A tha:k.C,443188,350975,399194
,phonetic,,,1-353-834-1,{},,tha:k.C loŋ.C,443189,350976,399113
,phonetic,,,1-354-834-1,{},,tha:k.C khɨn.C,443190,350977,398535
,phonetic,,,1-360-834-1,{},,kəthe:ŋ.B,443191,350978,398888
,phonetic,,,1-362-834-1,{},,tha:k.C wuj.A,443192,350979,399250
,phonetic,,,1-370-834-1,{},,tha:k.C chɨp.C,443193,350980,398392
