confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,StandardOrth,,,1-100-186-1,{},,verden,55511,43560,51664
,StandardOrth,,,1-210-186-1,{},,jord,55512,43561,50978
,StandardOrth,,,1-210-186-3,{},,land,55513,43561,51291
,StandardOrth,,,1-212-186-1,{},,grund,55514,43562,51103
,StandardOrth,,,1-213-186-1,{},,støv,55515,43563,51757
,StandardOrth,,,1-214-186-1,{},,mudder,55516,43564,51042
,StandardOrth,,,1-214-186-3,{},,smuds,55517,43564,50686
,StandardOrth,,,1-215-186-1,{},,sand,55518,43565,51331
,StandardOrth,,,1-220-186-1,{},,bjerg,55519,43566,51836
,StandardOrth,,,1-220-186-3,{},,fjeld,55520,43566,51191
,StandardOrth,,,1-220-186-5,{},,bakke,55521,43566,51907
,StandardOrth,,,1-222-186-1,{},,skær,55522,43567,50954
,StandardOrth,,,1-222-186-3,{},,klippe,55523,43567,50821
,StandardOrth,,,1-230-186-1,{},,slette,55524,43568,50996
,StandardOrth,,,1-230-186-3,{},,mark,55525,43568,51185
,StandardOrth,,,1-240-186-1,{},,dal,55526,43569,51775
,StandardOrth,,,1-250-186-1,{},,ø,55527,43570,51521
,StandardOrth,,,1-260-186-1,{},,fastland,55528,43571,51750
,StandardOrth,,,1-270-186-1,{},,strand,55529,43572,51329
,StandardOrth,,,1-270-186-3,{},,bred,55530,43572,51850
,StandardOrth,,,1-270-186-5,{},,kyst,55531,43572,51761
,StandardOrth,,,1-280-186-1,{},,hule,55532,43573,51076
,StandardOrth,,,1-310-186-1,{},,vand,55533,43574,51540
,StandardOrth,,,1-320-186-1,{},,hav,55534,43575,50858
,StandardOrth,,,1-320-186-3,{},,sø,55535,43575,51002
,StandardOrth,,,1-322-186-1,{},,stilhed,55536,43576,51069
,StandardOrth,,,1-323-186-1,{},,ru,55537,43577,50683
,StandardOrth,,,1-324-186-1,{},,skum,55538,43578,50995
,StandardOrth,,,1-329-186-1,{},,ocean,55539,43579,50840
,StandardOrth,,,1-330-186-1,{},,sø,55540,43580,51002
,StandardOrth,,,1-330-186-3,{},,indsø,55541,43580,51344
,StandardOrth,,,1-340-186-1,{},,bugt,55542,43581,51401
,StandardOrth,,,1-341-186-1,{},,lagune,55543,43582,51038
,StandardOrth,,,1-342-186-1,{},,rev,55544,43583,51785
,StandardOrth,,,1-343-186-1,{},,kap,55545,43584,51481
,StandardOrth,,,1-350-186-1,{},,bølge,55546,43585,51978
,StandardOrth,,,1-352-186-1,{},,tidevande,55547,43586,51488
,StandardOrth,,,1-353-186-1,{},,lavvande,55548,43587,50897
,StandardOrth,,,1-354-186-1,{},,højvande,55549,43588,51192
,StandardOrth,,,1-360-186-1,{},,flod,55550,43589,50749
,StandardOrth,,,1-360-186-3,{},,strøm,55551,43589,51116
,StandardOrth,,,1-360-186-5,{},,bæk,55552,43589,51434
,StandardOrth,,,1-362-186-1,{},,hvirvel,55553,43590,51522
,StandardOrth,,,1-370-186-1,{},,kilde,55554,43591,50571
,StandardOrth,,,1-370-186-3,{},,brønd,55555,43591,50861
,StandardOrth,,,1-380-186-1,{},,svamp,55556,43592,51256
,StandardOrth,,,1-390-186-1,{},,vandfald,55557,43593,51764
,StandardOrth,,,1-410-186-1,{},,skov,55558,43594,51783
,StandardOrth,,,1-420-186-1,{},,træ,55559,43595,51713
,StandardOrth,,,1-430-186-1,{},,træ,55560,43596,51713
,StandardOrth,,,1-440-186-1,{},,sten,55561,43597,51607
,StandardOrth,,,1-440-186-3,{},,klippe,55562,43597,50821
,StandardOrth,,,1-450-186-1,{},,jordskælv,55563,43598,50774
,StandardOrth,,,1-510-186-1,{},,himmel,55564,43599,51140
,StandardOrth,,,1-520-186-1,{},,sol,55565,43600,50890
