confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,orth,name,pk,valueset_pk,word_pk
,StandardOrth,,,1-100-190-1,{},,world,wɜrld ,63642,48660,58748
,StandardOrth,,,1-210-190-1,{},,earth,ɜrθ ,63643,48661,59194
,StandardOrth,,,1-210-190-3,{},,land,lænd ,63644,48661,59161
,StandardOrth,,,1-212-190-1,{},,ground,graʊnd ,63645,48662,58643
,StandardOrth,,,1-212-190-3,{},,soil,sɔɪl ,63646,48662,58704
,StandardOrth,,,1-213-190-1,{},,dust,dʌst ,63647,48663,59431
,StandardOrth,,,1-214-190-1,{},,mud,mʌd ,63648,48664,58272
,StandardOrth,,,1-215-190-1,{},,sand,sænd ,63649,48665,58840
,StandardOrth,,,1-220-190-1,{},,mountain,ˈmaʊntən ,63650,48666,58990
,StandardOrth,,,1-220-190-3,{},,hill,hɪl ,63651,48666,58949
,StandardOrth,,,1-222-190-1,{},,cliff,klɪf ,63652,48667,59526
,StandardOrth,,,1-222-190-3,{},,precipice,ˈprɛsəpəs ,63653,48667,59344
,StandardOrth,,,1-230-190-1,{},,plain,pleɪn ,63654,48668,59416
,StandardOrth,,,1-230-190-3,{},,field,fild ,63655,48668,58814
,StandardOrth,,,1-240-190-1,{},,valley,ˈvæli ,63656,48669,58794
,StandardOrth,,,1-250-190-1,{},,island,ˈaɪlənd ,63657,48670,58779
,StandardOrth,,,1-260-190-1,{},,mainland,ˈmeɪnˌlænd ,63658,48671,58109
,StandardOrth,,,1-270-190-1,{},,shore,ʃɔr ,63659,48672,58913
,StandardOrth,,,1-280-190-1,{},,cave,keɪv ,63660,48673,58991
,StandardOrth,,,1-310-190-1,{},,water,ˈwɔtər ,63661,48674,58470
,StandardOrth,,,1-320-190-1,{},,sea,si ,63662,48675,59035
,StandardOrth,,,1-322-190-1,{},,calm,kɑm ,63663,48676,58098
,StandardOrth,,,1-323-190-1,{},,rough,rʌf ,63664,48677,58434
,StandardOrth,,,1-324-190-1,{},,foam,foʊm ,63665,48678,58722
,StandardOrth,,,1-329-190-1,{},,ocean,ˈoʊʃən ,63666,48679,58328
,StandardOrth,,,1-330-190-1,{},,lake,leɪk ,63667,48680,59450
,StandardOrth,,,1-340-190-1,{},,gulf,gʌlf ,63668,48681,58647
,StandardOrth,,,1-340-190-3,{},,bay,beɪ ,63669,48681,58258
,StandardOrth,,,1-341-190-1,{},,lagoon,ləˈgun ,63670,48682,58524
,StandardOrth,,,1-342-190-1,{},,reef,rif ,63671,48683,59139
,StandardOrth,,,1-343-190-1,{},,head land,hɛd lænd ,63672,48684,58219
,StandardOrth,,,1-343-190-3,{},,point,pɔɪnt ,63673,48684,59044
,StandardOrth,,,1-350-190-1,{},,wave,weɪv ,63674,48685,59178
,StandardOrth,,,1-352-190-1,{},,tide,taɪd ,63675,48686,59341
,StandardOrth,,,1-353-190-1,{},,low tide,loʊ taɪd ,63676,48687,58705
,StandardOrth,,,1-354-190-1,{},,high tide,haɪ taɪd ,63677,48688,58765
,StandardOrth,,,1-360-190-1,{},,river,ˈrɪvər ,63678,48689,59030
,StandardOrth,,,1-360-190-3,{},,stream,strim ,63679,48689,58501
,StandardOrth,,,1-360-190-5,{},,brook,brʊk ,63680,48689,59280
,StandardOrth,,,1-362-190-1,{},,whirlpool,ˈwɜrlˌpul ,63681,48690,58540
,StandardOrth,,,1-370-190-1,{},,spring,sprɪŋ ,63682,48691,59114
,StandardOrth,,,1-370-190-3,{},,well,wɛl ,63683,48691,59437
,StandardOrth,,,1-380-190-1,{},,swamp,swɑmp ,63684,48692,58238
,StandardOrth,,,1-390-190-1,{},,waterfall,ˈwɔtərˌfɔl ,63685,48693,58322
,StandardOrth,,,1-410-190-1,{},,woods,wʊdz ,63686,48694,58040
,StandardOrth,,,1-410-190-3,{},,forest,ˈfɔrəst ,63687,48694,59257
,StandardOrth,,,1-420-190-1,{},,tree,tri ,63688,48695,58209
,StandardOrth,,,1-430-190-1,{},,wood,wʊd ,63689,48696,58651
,StandardOrth,,,1-440-190-1,{},,stone,stoʊn ,63690,48697,58777
,StandardOrth,,,1-440-190-3,{},,rock,rɑk ,63691,48697,58552
,StandardOrth,,,1-450-190-1,{},,earthquake,ˈɜrθˌkweɪk ,63692,48698,58474
,StandardOrth,,,1-510-190-1,{},,sky,skaɪ ,63693,48699,58483
,StandardOrth,,,1-520-190-1,{},,sun,sʌn ,63694,48700,58848
,StandardOrth,,,1-530-190-1,{},,moon,mun ,63695,48701,58770
,StandardOrth,,,1-540-190-1,{},,star,stɑr ,63696,48702,59521
,StandardOrth,,,1-550-190-1,{},,lightning,ˈlaɪtnɪŋ ,63697,48703,58757
,StandardOrth,,,1-560-190-1,{},,thunder,ˈθʌndər ,63698,48704,58070
,StandardOrth,,,1-570-190-1,{},,lightning,ˈlaɪtnɪŋ ,63699,48705,58757
,StandardOrth,,,1-580-190-1,{},,storm,stɔrm ,63700,48706,58973
,StandardOrth,,,1-590-190-1,{},,rainbow,ˈreɪnˌboʊ ,63701,48707,59153
,StandardOrth,,,1-610-190-1,{},,light,laɪt ,63702,48708,59267
,StandardOrth,,,1-620-190-1,{},,darkness,ˈdɑrknəs ,63703,48709,58846
,StandardOrth,,,1-630-190-1,{},,shade,ʃeɪd ,63704,48710,58914
,StandardOrth,,,1-630-190-3,{},,shadow,ˈʃæˌdoʊ ,63705,48710,58349
,StandardOrth,,,1-640-190-1,{},,dew,du ,63706,48711,58882
,StandardOrth,,,1-710-190-1,{},,air,ɛr ,63707,48712,58300
,StandardOrth,,,1-720-190-1,{},,wind,wɪnd ,63708,48713,58147
,StandardOrth,,,1-730-190-1,{},,cloud,klaʊd ,63709,48714,59218
,StandardOrth,,,1-740-190-1,{},,fog,fɑg ,63710,48715,58375
,StandardOrth,,,1-750-190-1,{},,rain,reɪn ,63711,48716,58320
,StandardOrth,,,1-760-190-1,{},,snow,snoʊ ,63712,48717,58228
,StandardOrth,,,1-770-190-1,{},,ice,aɪs ,63713,48718,58374
,StandardOrth,,,1-780-190-1,{},,weather,ˈwɛðər ,63714,48719,59490
,StandardOrth,,,1-810-190-1,{},,fire,ˈfaɪər ,63715,48720,59060
,StandardOrth,,,1-820-190-1,{},,flame,fleɪm ,63716,48721,58210
,StandardOrth,,,1-830-190-1,{},,smoke,smoʊk ,63717,48722,58085
,StandardOrth,,,1-840-190-1,{},,ashes,ˈæʃəz ,63718,48723,58934
,StandardOrth,,,1-841-190-1,{},,embers,ˈɛmbərz ,63719,48724,59277
,StandardOrth,,,1-851-190-1,{},,burn,bɜrn ,63720,48725,58381
,StandardOrth,,,1-852-190-1,{},,burn,bɜrn ,63721,48726,58381
,StandardOrth,,,1-860-190-1,{},,light,laɪt ,63722,48727,59267
,StandardOrth,,,1-860-190-3,{},,kindle,ˈkɪndəl ,63723,48727,58984
,StandardOrth,,,1-860-190-5,{},,ignite,ɪgˈnaɪt ,63724,48727,59272
,StandardOrth,,,1-861-190-1,{},,extinguish,ɪkˈstɪŋgwɪʃ ,63725,48728,58605
,StandardOrth,,,1-870-190-1,{},,match,mæʧ ,63726,48729,59072
,StandardOrth,,,1-880-190-1,{},,firewood,ˈfaɪərˌwʊd ,63727,48730,59016
,StandardOrth,,,1-890-190-1,{},,charcoal,ˈʧɑrˌkoʊl ,63728,48731,59225
,StandardOrth,,,2-100-190-1,{},,person,ˈpɜrsən ,63729,48732,59093
,StandardOrth,,,2-100-190-3,{},,human being,ˈhjumən ˈbiɪŋ ,63730,48732,59260
,StandardOrth,,,2-210-190-1,{},,man,mən ,63731,48733,58519
,StandardOrth,,,2-220-190-1,{},,woman,ˈwʊmən ,63732,48734,58832
,StandardOrth,,,2-230-190-1,{},,male,meɪl ,63733,48735,58888
,StandardOrth,,,2-240-190-1,{},,female,ˈfiˌmeɪl ,63734,48736,59493
,StandardOrth,,,2-250-190-1,{},,boy,bɔɪ ,63735,48737,58476
,StandardOrth,,,2-251-190-1,{},,young man,jʌŋ mən ,63736,48738,58078
,StandardOrth,,,2-260-190-1,{},,girl,gɜrl ,63737,48739,58562
,StandardOrth,,,2-261-190-1,{},,young woman,jʌŋ ˈwʊmən ,63738,48740,58597
,StandardOrth,,,2-270-190-1,{},,child,ʧaɪld ,63739,48741,58296
,StandardOrth,,,2-280-190-1,{},,infant,ˈɪnfənt ,63740,48742,58916
,StandardOrth,,,2-280-190-3,{},,baby,ˈbeɪbi ,63741,48742,59166
,StandardOrth,,,2-310-190-1,{},,husband,ˈhʌzbənd ,63742,48743,58668
,StandardOrth,,,2-320-190-1,{},,wife,waɪf ,63743,48744,58820
,StandardOrth,,,2-330-190-1,{},,marry,ˈmɛri ,63744,48745,59186
