confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Phonemic,,,1-100-127-1,{},,maailm,4024,3512,3683
,Phonemic,,,1-210-127-1,{},,maa,4023,3511,3153
,Phonemic,,,1-212-127-1,{},,maapind,4022,3510,3848
,Phonemic,,,1-213-127-1,{},,tolm,4021,3509,2648
,Phonemic,,,1-214-127-1,{},,muda,4020,3508,4163
,Phonemic,,,1-215-127-1,{},,liiw,4019,3507,2757
,Phonemic,,,1-220-127-1,{},,mægi,4018,3506,3048
,Phonemic,,,1-222-127-1,{},,kalyu,4017,3505,3649
,Phonemic,,,1-230-127-1,{},,tasandik,4015,3504,4106
,Phonemic,,,1-230-127-3,{},,pəld,4016,3504,3002
,Phonemic,,,1-240-127-1,{},,or̃g,4014,3503,3098
,Phonemic,,,1-250-127-1,{},,saar̃,4013,3502,2772
,Phonemic,,,1-260-127-1,{},,manner̃ ~ mander̃,4012,3501,2664
,Phonemic,,,1-270-127-1,{},,kallas,4010,3500,4122
,Phonemic,,,1-270-127-3,{},,r̃and,4011,3500,3270
,Phonemic,,,1-280-127-1,{},,koobas,4009,3499,3859
,Phonemic,,,1-310-127-1,{},,wesi,4008,3498,3313
,Phonemic,,,1-320-127-1,{},,mer̃i,4007,3497,3997
,Phonemic,,,1-322-127-1,{},,r̃ahulik,4005,3496,3275
,Phonemic,,,1-322-127-3,{},,waikne,4006,3496,2909
,Phonemic,,,1-323-127-1,{},,tor̃mine (mer̃i),4004,3495,3948
,Phonemic,,,1-324-127-1,{},,waht,4003,3494,2947
,Phonemic,,,1-329-127-1,{},,ookean,4002,3493,3068
,Phonemic,,,1-330-127-1,{},,yær̃w,4001,3492,2718
,Phonemic,,,1-340-127-1,{},,laht,4000,3491,2899
,Phonemic,,,1-341-127-1,{},,laguun,3999,3490,2933
,Phonemic,,,1-342-127-1,{},,kar̃i,3998,3489,3946
,Phonemic,,,1-343-127-1,{},,neem,3997,3488,2900
,Phonemic,,,1-350-127-1,{},,laine,3996,3487,3416
,Phonemic,,,1-352-127-1,{},,təus ja məən,3995,3486,3530
,Phonemic,,,1-353-127-1,{},,məən,3994,3485,3759
,Phonemic,,,1-354-127-1,{},,təus,3993,3484,2963
,Phonemic,,,1-360-127-1,{},,yəgi,3991,3483,2773
,Phonemic,,,1-360-127-3,{},,oya,3992,3483,3542
,Phonemic,,,1-362-127-1,{},,weekeer̃is,3990,3482,2663
,Phonemic,,,1-370-127-1,{},,allikas,3987,3481,3797
,Phonemic,,,1-370-127-3,{},,læte,3988,3481,4074
,Phonemic,,,1-370-127-5,{},,kaew,3989,3481,3793
,Phonemic,,,1-380-127-1,{},,soo,3986,3480,3005
,Phonemic,,,1-390-127-1,{},,kosk,3984,3479,3897
,Phonemic,,,1-390-127-3,{},,yuga,3985,3479,3937
,Phonemic,,,1-410-127-1,{},,mets,3983,3478,3950
,Phonemic,,,1-420-127-1,{},,puu,3982,3477,3599
,Phonemic,,,1-430-127-1,{},,puit,3981,3476,3729
,Phonemic,,,1-440-127-1,{},,kiwi,3979,3475,2774
,Phonemic,,,1-440-127-3,{},,kalyu,3980,3475,3649
,Phonemic,,,1-450-127-1,{},,maawær̃in,3978,3474,3433
,Phonemic,,,1-510-127-1,{},,taewas,3977,3473,3646
,Phonemic,,,1-520-127-1,{},,pæike,3976,3472,3566
,Phonemic,,,1-530-127-1,{},,kuu,3975,3471,2646
,Phonemic,,,1-540-127-1,{},,tæht,3974,3470,2919
,Phonemic,,,1-550-127-1,{},,wælk,3973,3469,3385
,Phonemic,,,1-560-127-1,{},,kəu,3970,3468,4026
,Phonemic,,,1-560-127-3,{},,pikne,3971,3468,3658
,Phonemic,,,1-560-127-5,{},,mür̃istamine,3972,3468,3201
,Phonemic,,,1-570-127-1,{},,pikne,3969,3467,3658
,Phonemic,,,1-580-127-1,{},,tor̃m,3968,3466,3461
,Phonemic,,,1-590-127-1,{},,wiker̃kaar̃,3967,3465,3299
,Phonemic,,,1-610-127-1,{},,walgus,3966,3464,4003
,Phonemic,,,1-620-127-1,{},,pimedus,3965,3463,4062
,Phonemic,,,1-630-127-1,{},,war̃i,3964,3462,2975
,Phonemic,,,1-640-127-1,{},,kaste,3963,3461,3470
,Phonemic,,,1-710-127-1,{},,əhk,3962,3460,3339
,Phonemic,,,1-720-127-1,{},,tuul,3961,3459,3721
,Phonemic,,,1-730-127-1,{},,pilw,3960,3458,3360
,Phonemic,,,1-740-127-1,{},,udu,3959,3457,3981
,Phonemic,,,1-750-127-1,{},,wihm,3958,3456,2960
,Phonemic,,,1-760-127-1,{},,lumi,3957,3455,2698
,Phonemic,,,1-770-127-1,{},,yææ,3956,3454,2892
,Phonemic,,,1-780-127-1,{},,ilm,3955,3453,2872
,Phonemic,,,1-810-127-1,{},,tuli,3954,3452,3174
,Phonemic,,,1-820-127-1,{},,leek,3953,3451,3381
,Phonemic,,,1-830-127-1,{},,suits,3952,3450,3841
,Phonemic,,,1-840-127-1,{},,tuhk,3951,3449,2672
,Phonemic,,,1-841-127-1,{},,həəguwad söed,3950,3448,3979
,Phonemic,,,1-851-127-1,{},,pəletama,3949,3447,2827
,Phonemic,,,1-852-127-1,{},,pəlema,3948,3446,2775
,Phonemic,,,1-860-127-1,{},,süütama,3947,3445,3961
,Phonemic,,,1-861-127-1,{},,kustutama,3946,3444,2807
,Phonemic,,,1-870-127-1,{},,tuletikk,3945,3443,3679
,Phonemic,,,1-880-127-1,{},,küttepuud,3944,3442,3329
,Phonemic,,,1-890-127-1,{},,puusüsi,3943,3441,3132
,Phonemic,,,2-100-127-1,{},,inimene,3942,3440,3143
,Phonemic,,,2-210-127-1,{},,mees,3941,3439,3896
,Phonemic,,,2-220-127-1,{},,naine,3940,3438,3610
,Phonemic,,,2-230-127-1,{},,meessoost,3939,3437,3928
,Phonemic,,,2-240-127-1,{},,naissoost,3938,3436,3159
,Phonemic,,,2-250-127-1,{},,poiss,3937,3435,3400
,Phonemic,,,2-251-127-1,{},,noor̃mees,3936,3434,4022
,Phonemic,,,2-260-127-1,{},,tüdr̃uk,3935,3433,3387
,Phonemic,,,2-261-127-1,{},,neiu,3934,3432,3582
,Phonemic,,,2-270-127-1,{},,laps,3933,3431,3975
,Phonemic,,,2-280-127-1,{},,laps,3931,3430,3975
,Phonemic,,,2-280-127-3,{},,imik,3932,3430,3014
,Phonemic,,,2-310-127-1,{},,mees,3929,3429,3896
,Phonemic,,,2-310-127-3,{},,abikaasa,3930,3429,3852
,Phonemic,,,2-320-127-1,{},,naine,3927,3428,3610
,Phonemic,,,2-320-127-3,{},,abikaasa,3928,3428,3852
,Phonemic,,,2-330-127-1,{},,abielluma,3926,3427,3800
,Phonemic,,,2-340-127-1,{},,abielu,3923,3426,2694
,Phonemic,,,2-340-127-3,{},,pulmad,3924,3426,3980
,Phonemic,,,2-340-127-5,{},,laulatus,3925,3426,3641
,Phonemic,,,2-341-127-1,{},,abielulahutus,3922,3425,4134
,Phonemic,,,2-350-127-1,{},,isa,3921,3424,2758
,Phonemic,,,2-360-127-1,{},,ema,3920,3423,2839
,Phonemic,,,2-370-127-1,{},,wanemad,3919,3422,3605
,Phonemic,,,2-380-127-1,{},,abielumees,3918,3421,2645
,Phonemic,,,2-390-127-1,{},,abielunaine,3917,3420,3015
,Phonemic,,,2-410-127-1,{},,poeg,3916,3419,4095
,Phonemic,,,2-420-127-1,{},,tütar̃,3915,3418,3875
,Phonemic,,,2-430-127-1,{},,yær̃eltuliya,3914,3417,2770
,Phonemic,,,2-440-127-1,{},,wend,3913,3416,2730
,Phonemic,,,2-444-127-1,{},,wanem wend,3912,3415,3018
,Phonemic,,,2-445-127-1,{},,noor̃em wend,3911,3414,2688
,Phonemic,,,2-450-127-1,{},,əde,3910,3413,3088
,Phonemic,,,2-454-127-1,{},,wanem əde,3909,3412,2978
,Phonemic,,,2-455-127-1,{},,noor̃em əde,3908,3411,3884
,Phonemic,,,2-456-127-1,{},,əed-wennad,3907,3410,3990
,Phonemic,,,2-458-127-1,{},,kaksikud,3906,3409,3505
,Phonemic,,,2-460-127-1,{},,wanaisa,3905,3408,3235
,Phonemic,,,2-461-127-1,{},,wanamees,3904,3407,3338
,Phonemic,,,2-470-127-1,{},,wanaema,3903,3406,3667
,Phonemic,,,2-471-127-1,{},,wana naine,3902,3405,2659
,Phonemic,,,2-480-127-1,{},,poyapoeg,3900,3404,4149
,Phonemic,,,2-480-127-3,{},,tütr̃epoeg,3901,3404,3414
,Phonemic,,,2-490-127-1,{},,poyatütar̃,3898,3403,3004
,Phonemic,,,2-490-127-3,{},,tütr̃etütar̃,3899,3403,3277
,Phonemic,,,2-510-127-1,{},,onu,3897,3402,3224
,Phonemic,,,2-511-127-1,{},,onu,3896,3401,3224
,Phonemic,,,2-512-127-1,{},,lell,3895,3400,4043
,Phonemic,,,2-520-127-1,{},,tædi,3894,3399,2860
,Phonemic,,,2-521-127-1,{},,tædi,3893,3398,2860
