confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Phonemic,,,1-100-128-1,{},,maailma,5703,4811,5720
,Phonemic,,,1-210-128-1,{},,maa,5702,4810,4691
,Phonemic,,,1-212-128-1,{},,maa,5700,4809,4691
,Phonemic,,,1-212-128-3,{},,maaper̃æ,5701,4809,5569
,Phonemic,,,1-213-128-1,{},,pölü,5698,4808,4489
,Phonemic,,,1-213-128-3,{},,tomu,5699,4808,5764
,Phonemic,,,1-214-128-1,{},,muta,5697,4807,5598
,Phonemic,,,1-215-128-1,{},,hiekka,5696,4806,5709
,Phonemic,,,1-220-128-1,{},,wuor̃i,5694,4805,5330
,Phonemic,,,1-220-128-3,{},,mæki,5695,4805,5049
,Phonemic,,,1-222-128-1,{},,kallio,5693,4804,4810
,Phonemic,,,1-230-128-1,{},,tasanko,5691,4803,5518
,Phonemic,,,1-230-128-3,{},,pelto,5692,4803,4658
,Phonemic,,,1-240-128-1,{},,laakso,5690,4802,4790
,Phonemic,,,1-250-128-1,{},,saar̃i,5689,4801,4593
,Phonemic,,,1-260-128-1,{},,manner̃ ~ manner̃maa,5688,4800,5022
,Phonemic,,,1-270-128-1,{},,r̃anta,5686,4799,5725
,Phonemic,,,1-270-128-3,{},,æür̃æs,5687,4799,5723
,Phonemic,,,1-280-128-1,{},,luola,5685,4798,5738
,Phonemic,,,1-310-128-1,{},,wesi,5684,4797,4873
,Phonemic,,,1-320-128-1,{},,mer̃i,5683,4796,5168
,Phonemic,,,1-322-128-1,{},,tüüni,5681,4795,4353
,Phonemic,,,1-322-128-3,{},,r̃auhallinen,5682,4795,4412
,Phonemic,,,1-323-128-1,{},,mür̃sküinen,5680,4794,5698
,Phonemic,,,1-324-128-1,{},,waahto,5679,4793,4861
,Phonemic,,,1-329-128-1,{},,waltamer̃i,5678,4792,5680
,Phonemic,,,1-330-128-1,{},,yær̃wi,5677,4791,5714
,Phonemic,,,1-340-128-1,{},,lahti,5676,4790,4703
,Phonemic,,,1-341-128-1,{},,laguuni,5675,4789,5025
,Phonemic,,,1-342-128-1,{},,kar̃i,5674,4788,5525
,Phonemic,,,1-343-128-1,{},,niemi,5673,4787,4614
,Phonemic,,,1-350-128-1,{},,aalto,5672,4786,4397
,Phonemic,,,1-352-128-1,{},,wuor̃owesi ~ wuoksi ya luode,5671,4785,4546
,Phonemic,,,1-353-128-1,{},,luode,5670,4784,4795
,Phonemic,,,1-354-128-1,{},,wuoksi (aalto),5669,4783,4335
,Phonemic,,,1-360-128-1,{},,yoki,5666,4782,4534
,Phonemic,,,1-360-128-3,{},,wir̃ta,5667,4782,4295
,Phonemic,,,1-360-128-5,{},,pur̃o,5668,4782,4942
,Phonemic,,,1-362-128-1,{},,wesipüör̃r̃e,5665,4781,5096
,Phonemic,,,1-370-128-1,{},,læhde,5663,4780,5784
,Phonemic,,,1-370-128-3,{},,kaiwo,5664,4780,5138
