confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,StandardOrth,,,1-100-171-1,{},,monde,34071,27745,31399
,StandardOrth,,,1-210-171-1,{},,terre,34072,27746,31566
,StandardOrth,,,1-212-171-1,{},,terre,34073,27747,31566
,StandardOrth,,,1-212-171-3,{},,sol,34074,27747,31146
,StandardOrth,,,1-213-171-1,{},,poussière,34075,27748,30891
,StandardOrth,,,1-214-171-1,{},,boue,34076,27749,31687
,StandardOrth,,,1-215-171-1,{},,sable,34077,27750,31412
,StandardOrth,,,1-220-171-1,{},,montagne,34078,27751,31042
,StandardOrth,,,1-220-171-3,{},,colline,34079,27751,32004
,StandardOrth,,,1-222-171-1,{},,falaise,34080,27752,31024
,StandardOrth,,,1-222-171-3,{},,escarpement,34081,27752,31320
,StandardOrth,,,1-230-171-1,{},,plaine,34082,27753,31340
,StandardOrth,,,1-230-171-3,{},,campagne,34083,27753,31911
,StandardOrth,,,1-240-171-1,{},,vallée,34084,27754,30839
,StandardOrth,,,1-250-171-1,{},,île,34085,27755,31577
,StandardOrth,,,1-260-171-1,{},,continent,34086,27756,31893
,StandardOrth,,,1-270-171-1,{},,rivage,34087,27757,31270
,StandardOrth,,,1-270-171-3,{},,côte,34088,27757,31251
,StandardOrth,,,1-270-171-5,{},,littoral,34089,27757,31134
,StandardOrth,,,1-280-171-1,{},,grotte,34090,27758,31362
,StandardOrth,,,1-310-171-1,{},,eau,34091,27759,32329
,StandardOrth,,,1-320-171-1,{},,mer,34092,27760,30859
,StandardOrth,,,1-322-171-1,{},,étale,34093,27761,31837
,StandardOrth,,,1-323-171-1,{},,trouble,34094,27762,31215
,StandardOrth,,,1-323-171-3,{},,agité,34095,27762,32013
,StandardOrth,,,1-324-171-1,{},,écume,34096,27763,31941
,StandardOrth,,,1-324-171-3,{},,mousse,34097,27763,31681
,StandardOrth,,,1-329-171-1,{},,océan,34098,27764,31315
,StandardOrth,,,1-330-171-1,{},,lac,34099,27765,30905
,StandardOrth,,,1-340-171-1,{},,golfe,34100,27766,31307
,StandardOrth,,,1-340-171-3,{},,baie,34101,27766,31012
,StandardOrth,,,1-341-171-1,{},,lagune,34102,27767,31400
,StandardOrth,,,1-342-171-1,{},,récif,34103,27768,31622
,StandardOrth,,,1-343-171-1,{},,promontoire,34104,27769,31644
,StandardOrth,,,1-343-171-3,{},,pointe,34105,27769,31000
,StandardOrth,,,1-350-171-1,{},,vague,34106,27770,31499
,StandardOrth,,,1-352-171-1,{},,marée,34107,27771,31829
,StandardOrth,,,1-353-171-1,{},,marée basse,34108,27772,31887
,StandardOrth,,,1-354-171-1,{},,marée haute,34109,27773,31761
,StandardOrth,,,1-360-171-1,{},,fleuve,34110,27774,32064
,StandardOrth,,,1-360-171-3,{},,rivière,34111,27774,31519
,StandardOrth,,,1-360-171-5,{},,ruisseau,34112,27774,32154
,StandardOrth,,,1-362-171-1,{},,tourbillon,34113,27775,31949
,StandardOrth,,,1-370-171-1,{},,source,34114,27776,31895
,StandardOrth,,,1-370-171-3,{},,puits,34115,27776,31890
,StandardOrth,,,1-380-171-1,{},,marais,34116,27777,32153
,StandardOrth,,,1-380-171-3,{},,marécage,34117,27777,31323
,StandardOrth,,,1-390-171-1,{},,chute d'eau,34118,27778,31907
,StandardOrth,,,1-390-171-3,{},,cascade,34119,27778,31289
,StandardOrth,,,1-410-171-1,{},,bois,34120,27779,30949
,StandardOrth,,,1-410-171-3,{},,forêt,34121,27779,31452
,StandardOrth,,,1-420-171-1,{},,arbre,34122,27780,31408
,StandardOrth,,,1-430-171-1,{},,bois,34123,27781,30949
,StandardOrth,,,1-440-171-1,{},,pierre,34124,27782,31913
,StandardOrth,,,1-440-171-3,{},,roc,34125,27782,31193
,StandardOrth,,,1-440-171-5,{},,rocher,34126,27782,31232
,StandardOrth,,,1-450-171-1,{},,tremblement de terre,34127,27783,31584
,StandardOrth,,,1-450-171-3,{},,séisme,34128,27783,31254
,StandardOrth,,,1-510-171-1,{},,ciel,34129,27784,31244
,StandardOrth,,,1-520-171-1,{},,soleil,34130,27785,31274
,StandardOrth,,,1-530-171-1,{},,lune,34131,27786,32312
,StandardOrth,,,1-540-171-1,{},,étoile,34132,27787,31250
,StandardOrth,,,1-550-171-1,{},,éclair,34133,27788,31443
,StandardOrth,,,1-560-171-1,{},,tonnerre,34134,27789,30982
,StandardOrth,,,1-570-171-1,{},,foudre,34135,27790,31772
,StandardOrth,,,1-580-171-1,{},,orage,34136,27791,31728
,StandardOrth,,,1-580-171-3,{},,tempête,34137,27791,32208
,StandardOrth,,,1-590-171-1,{},,arc-en-ciel,34138,27792,31715
,StandardOrth,,,1-610-171-1,{},,lumière,34139,27793,30916
,StandardOrth,,,1-620-171-1,{},,obscurité,34140,27794,31899
,StandardOrth,,,1-620-171-3,{},,ténèbres,34141,27794,31052
,StandardOrth,,,1-630-171-1,{},,ombre,34142,27795,32254
,StandardOrth,,,1-640-171-1,{},,rosée,34143,27796,30992
,StandardOrth,,,1-710-171-1,{},,air,34144,27797,31069
,StandardOrth,,,1-720-171-1,{},,vent,34145,27798,32233
,StandardOrth,,,1-730-171-1,{},,nuage,34146,27799,32009
,StandardOrth,,,1-740-171-1,{},,brume,34147,27800,32324
