confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,StandardOrth,,,1-100-194-1,{},,Welt,73597,53797,68475
,StandardOrth,,,1-210-194-1,{},,Erde,73598,53798,67710
,StandardOrth,,,1-210-194-3,{},,Land,73599,53798,68131
,StandardOrth,,,1-212-194-1,{},,Erde,73600,53799,67710
,StandardOrth,,,1-212-194-3,{},,Boden,73601,53799,67448
,StandardOrth,,,1-213-194-1,{},,Staub,73602,53800,68239
,StandardOrth,,,1-214-194-1,{},,Schlamm,73603,53801,66772
,StandardOrth,,,1-214-194-3,{},,Dreck,73604,53801,67739
,StandardOrth,,,1-215-194-1,{},,Sand,73605,53802,67888
,StandardOrth,,,1-220-194-1,{},,Berg,73606,53803,67219
,StandardOrth,,,1-220-194-3,{},,Hügel,73607,53803,68435
,StandardOrth,,,1-222-194-1,{},,Klippe,73608,53804,67649
,StandardOrth,,,1-230-194-1,{},,Ebene,73609,53805,68129
,StandardOrth,,,1-230-194-3,{},,Fläche,73610,53805,68271
,StandardOrth,,,1-230-194-5,{},,Feld,73611,53805,67254
,StandardOrth,,,1-240-194-1,{},,Tal,73612,53806,67207
,StandardOrth,,,1-250-194-1,{},,Insel,73613,53807,68502
,StandardOrth,,,1-260-194-1,{},,Festland,73614,53808,67155
,StandardOrth,,,1-270-194-1,{},,Ufer,73615,53809,67960
,StandardOrth,,,1-270-194-3,{},,Strand,73616,53809,68442
,StandardOrth,,,1-270-194-5,{},,Gestade,73617,53809,67618
,StandardOrth,,,1-280-194-1,{},,Höhle,73618,53810,67187
,StandardOrth,,,1-310-194-1,{},,Wasser,73619,53811,66947
,StandardOrth,,,1-320-194-1,{},,Meer,73620,53812,68219
,StandardOrth,,,1-320-194-3,{},,See,73621,53812,66899
,StandardOrth,,,1-322-194-1,{},,Meeresstille,73622,53813,67991
,StandardOrth,,,1-322-194-3,{},,Flaute,73623,53813,67587
,StandardOrth,,,1-323-194-1,{},,das bewegte Meer,73624,53814,66810
,StandardOrth,,,1-323-194-3,{},,die rauhe See,73625,53814,67267
,StandardOrth,,,1-324-194-1,{},,Schaum,73626,53815,67613
,StandardOrth,,,1-329-194-1,{},,Ozean,73627,53816,67879
,StandardOrth,,,1-329-194-3,{},,Weltmeer,73628,53816,68387
,StandardOrth,,,1-330-194-1,{},,See,73629,53817,66899
,StandardOrth,,,1-340-194-1,{},,Meerbusen,73630,53818,66995
,StandardOrth,,,1-340-194-3,{},,Golf,73631,53818,68481
,StandardOrth,,,1-340-194-5,{},,Bai,73632,53818,67742
,StandardOrth,,,1-340-194-7,{},,Bucht,73633,53818,68287
,StandardOrth,,,1-341-194-1,{},,Lagune,73634,53819,68040
,StandardOrth,,,1-342-194-1,{},,Riff,73635,53820,66852
,StandardOrth,,,1-343-194-1,{},,Landzunge,73636,53821,67895
,StandardOrth,,,1-343-194-3,{},,Kap,73637,53821,66812
,StandardOrth,,,1-350-194-1,{},,Welle,73638,53822,68498
,StandardOrth,,,1-350-194-3,{},,Woge,73639,53822,66747
,StandardOrth,,,1-352-194-1,{},,Gezeiten,73640,53823,67567
,StandardOrth,,,1-353-194-1,{},,Ebbe,73641,53824,67513
,StandardOrth,,,1-354-194-1,{},,Flut,73642,53825,68046
,StandardOrth,,,1-360-194-1,{},,Fluss,73643,53826,68244
,StandardOrth,,,1-360-194-3,{},,Strom,73644,53826,68381
