confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,LatinTrans,,,1-100-168-1,{},,'kosmos ['kozmos],28887,23842,26223
,LatinTrans,,,1-210-168-1,{},,'ɣi,28888,23843,26964
,LatinTrans,,,1-212-168-1,{},,'ɣi,28889,23844,26964
,LatinTrans,,,1-212-168-3,{},,'eðafos,28890,23844,27491
,LatinTrans,,,1-212-168-5,{},,'xoma,28891,23844,26392
,LatinTrans,,,1-213-168-1,{},,'skoni,28892,23845,26347
,LatinTrans,,,1-214-168-1,{},,'laspi,28893,23846,26828
,LatinTrans,,,1-215-168-1,{},,'amos,28894,23847,26265
,LatinTrans,,,1-220-168-1,{},,vu'no,28895,23848,26428
,LatinTrans,,,1-220-168-3,{},,'oros,28896,23848,27165
,LatinTrans,,,1-220-168-5,{},,'lofos,28897,23848,26751
,LatinTrans,,,1-222-168-1,{},,'vraxos,28898,23849,27401
,LatinTrans,,,1-222-168-3,{},,gre'mos,28899,23849,26034
,LatinTrans,,,1-230-168-1,{},,peði'aða,28900,23850,26630
,LatinTrans,,,1-230-168-3,{},,ekso'xi,28901,23850,26273
,LatinTrans,,,1-230-168-5,{},,'ipeθros,28902,23850,27502
,LatinTrans,,,1-240-168-1,{},,ki'laða [k̯i'laða],28903,23851,27343
,LatinTrans,,,1-250-168-1,{},,ni'si,28904,23852,27253
,LatinTrans,,,1-250-168-3,{},,'nisos,28905,23852,26958
,LatinTrans,,,1-260-168-1,{},,'ipiros,28906,23853,27170
,LatinTrans,,,1-260-168-3,{},,ste'ria,28907,23853,26030
,LatinTrans,,,1-260-168-5,{},,ipiroti'ki 'xora,28908,23853,26904
,LatinTrans,,,1-270-168-1,{},,a'kti,28909,23854,26187
,LatinTrans,,,1-270-168-3,{},,para'lia,28910,23854,27349
,LatinTrans,,,1-270-168-5,{},,ɣia'los,28911,23854,26856
,LatinTrans,,,1-280-168-1,{},,spi'lia,28912,23855,27060
,LatinTrans,,,1-310-168-1,{},,ne'ro,28913,23856,27541
,LatinTrans,,,1-320-168-1,{},,'θalasa,28914,23857,26041
,LatinTrans,,,1-322-168-1,{},,nine'mia,28915,23858,27368
