confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Phonemic,,,1-100-220-1,{},,[duniya],113883,81921,103783
,Phonemic,,,1-210-220-1,{},,doron kˀasa,113884,81922,104497
,Phonemic,,,1-212-220-1,{},,kˀasa,113885,81923,104399
,Phonemic,,,1-213-220-1,{},,kˀura,113886,81924,104898
,Phonemic,,,1-213-220-3,{},,ura,113887,81924,105002
,Phonemic,,,1-214-220-1,{},,taɓo,113888,81925,103889
,Phonemic,,,1-214-220-3,{},,laka,113889,81925,104670
,Phonemic,,,1-215-220-1,{},,yashi,113890,81926,105180
,Phonemic,,,1-220-220-1,{},,dutse,113891,81927,104034
,Phonemic,,,1-220-220-3,{},,duc̣i,113892,81927,104993
,Phonemic,,,1-220-220-5,{},,jigawa,113893,81927,104866
,Phonemic,,,1-220-220-7,{},,tsauni,113894,81927,104751
,Phonemic,,,1-230-220-1,{},,sarari,113895,81928,104441
,Phonemic,,,1-240-220-1,{},,kwari,113896,81929,103981
,Phonemic,,,1-240-220-3,{},,kware,113897,81929,103978
,Phonemic,,,1-250-220-1,{},,tsibiri,113898,81930,105071
,Phonemic,,,1-260-220-1,{},,nahiya,113899,81931,104064
,Phonemic,,,1-270-220-1,{},,gaɓa,113900,81932,103735
,Phonemic,,,1-280-220-1,{},,kogo,113901,81933,105147
,Phonemic,,,1-280-220-3,{},,kwarga,113902,81933,103827
,Phonemic,,,1-310-220-1,{},,ruwa,113903,81934,104836
,Phonemic,,,1-320-220-1,{},,teku,113904,81935,104557
,Phonemic,,,1-324-220-1,{},,kumfa,113905,81936,104378
,Phonemic,,,1-329-220-1,{},,teku,113906,81937,104557
,Phonemic,,,1-330-220-1,{},,tafki,113907,81938,104348
,Phonemic,,,1-350-220-1,{},,igiyar ruwa,113908,81939,104952
,Phonemic,,,1-360-220-1,{},,kogi,113909,81940,105145
,Phonemic,,,1-370-220-1,{},,idon ruwa,113910,81941,104735
,Phonemic,,,1-380-220-1,{},,fadama,113911,81942,104596
,Phonemic,,,1-390-220-1,{},,zubowan ruwa,113912,81943,104070
,Phonemic,,,1-410-220-1,{},,daji,113913,81944,104169
,Phonemic,,,1-410-220-3,{},,jeji,113914,81944,105116
,Phonemic,,,1-420-220-1,{},,bishiya,113915,81945,103736
,Phonemic,,,1-430-220-1,{},,itace,113916,81946,104635
,Phonemic,,,1-440-220-1,{},,dutse,113917,81947,104034
,Phonemic,,,1-450-220-1,{},,girgizar kˀasa,113918,81948,104242
