confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Standard,,,1-100-131-1,{},,világ,7888,6505,7318
,Standard,,,1-210-131-1,{},,föld,6747,5582,6470
,Standard,,,1-212-131-1,{},,föld,7886,6504,6470
,Standard,,,1-212-131-3,{},,talay,7887,6504,7052
,Standard,,,1-213-131-1,{},,por,6748,5583,6450
,Standard,,,1-214-131-1,{},,sár,7885,6503,7176
,Standard,,,1-215-131-1,{},,homok,6749,5584,6593
,Standard,,,1-220-131-1,{},,hegy,6419,5320,7059
,Standard,,,1-222-131-1,{},,szikla,6750,5585,5867
,Standard,,,1-222-131-3,{},,szirt,6751,5585,7225
,Standard,,,1-230-131-1,{},,sikság,6420,5321,6834
,Standard,,,1-230-131-3,{},,mező,6421,5321,6038
,Standard,,,1-240-131-1,{},,völgy,6752,5586,6877
,Standard,,,1-250-131-1,{},,sziget,6753,5587,6674
,Standard,,,1-260-131-1,{},,szárazföld,7883,6502,7317
,Standard,,,1-260-131-3,{},,[kontinens],7884,6502,7095
,Standard,,,1-270-131-1,{},,part,7882,6501,6741
,Standard,,,1-280-131-1,{},,barlang,6754,5588,6275
,Standard,,,1-310-131-1,{},,víz,6755,5589,6999
,Standard,,,1-320-131-1,{},,tenger,7881,6500,6621
,Standard,,,1-322-131-1,{},,nyugodt,6756,5590,6509
,Standard,,,1-322-131-3,{},,czendes,6757,5590,6758
,Standard,,,1-323-131-1,{},,viharos,6758,5591,7252
,Standard,,,1-324-131-1,{},,hab,6422,5322,6123
,Standard,,,1-324-131-3,{},,tayték,6423,5322,6422
,Standard,,,1-329-131-1,{},,óceán,7880,6499,6721
,Standard,,,1-330-131-1,{},,tó,6759,5592,6634
,Standard,,,1-340-131-1,{},,öböl,6760,5593,5956
,Standard,,,1-341-131-1,{},,lagúna,7879,6498,7127
,Standard,,,1-342-131-1,{},,szirt,6761,5594,7225
,Standard,,,1-342-131-3,{},,zátony,6762,5594,6977
,Standard,,,1-343-131-1,{},,hegyfok,6763,5595,7021
,Standard,,,1-343-131-3,{},,földnelv,6764,5595,6425
,Standard,,,1-350-131-1,{},,hullám,7878,6497,6072
,Standard,,,1-352-131-1,{},,árapály,6765,5596,6578
,Standard,,,1-353-131-1,{},,apály,6424,5323,6996
,Standard,,,1-354-131-1,{},,dagály,6766,5597,5838
,Standard,,,1-360-131-1,{},,folyo ~ folyam,6767,5598,7186
,Standard,,,1-360-131-3,{},,ár,6768,5598,6490
,Standard,,,1-360-131-5,{},,patak,6769,5598,7294
,Standard,,,1-362-131-1,{},,forgatag,6425,5324,6276
,Standard,,,1-370-131-1,{},,forrás,6770,5599,6641
,Standard,,,1-370-131-3,{},,kút,6771,5599,6554
,Standard,,,1-380-131-1,{},,moczár,7875,6496,7195
,Standard,,,1-380-131-3,{},,láp,7876,6496,6155
,Standard,,,1-380-131-5,{},,ingovány,7877,6496,5945
,Standard,,,1-390-131-1,{},,vízesés,7874,6495,6109
,Standard,,,1-410-131-1,{},,erdő,7873,6494,6097
,Standard,,,1-420-131-1,{},,fa,7872,6493,6677
,Standard,,,1-430-131-1,{},,fányag,7870,6492,6162
,Standard,,,1-430-131-3,{},,tűzifa,7871,6492,7208
,Standard,,,1-440-131-1,{},,kő,6772,5600,6713
,Standard,,,1-440-131-3,{},,szikla,6773,5600,5867
,Standard,,,1-440-131-5,{},,szirt,6774,5600,7225
,Standard,,,1-450-131-1,{},,földrengés,7869,6491,5874
,Standard,,,1-510-131-1,{},,ég,7868,6490,6014
,Standard,,,1-520-131-1,{},,nap,7867,6489,6953
,Standard,,,1-530-131-1,{},,hold,6426,5325,5890
,Standard,,,1-540-131-1,{},,czillag,7866,6488,6909
,Standard,,,1-550-131-1,{},,villám,6775,5601,6988
,Standard,,,1-560-131-1,{},,mennydörgés,6776,5602,6989
,Standard,,,1-570-131-1,{},,zivatar,7865,6487,6703
,Standard,,,1-580-131-1,{},,vihar,7864,6486,6981
,Standard,,,1-590-131-1,{},,szivárvány,6777,5603,7048
,Standard,,,1-610-131-1,{},,fény,6778,5604,6570
,Standard,,,1-610-131-3,{},,világosság,6779,5604,6718
,Standard,,,1-620-131-1,{},,sötégség,7863,6485,6622
,Standard,,,1-630-131-1,{},,árnyék ~ árny,7862,6484,5964
,Standard,,,1-640-131-1,{},,harmat,7861,6483,6748
,Standard,,,1-710-131-1,{},,levegő,6427,5326,6019
,Standard,,,1-720-131-1,{},,szél,7860,6482,6871
,Standard,,,1-730-131-1,{},,felhő,7859,6481,6749
,Standard,,,1-740-131-1,{},,köd,7858,6480,6126
,Standard,,,1-750-131-1,{},,eső,6428,5327,7323
,Standard,,,1-760-131-1,{},,hó,7857,6479,7335
,Standard,,,1-770-131-1,{},,yég,6429,5328,6430
