confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,StandardOrth,,,1-100-170-1,{},,mondo,32532,26435,29916
,StandardOrth,,,1-210-170-1,{},,terra,32533,26436,30083
,StandardOrth,,,1-212-170-1,{},,terreno,32534,26437,29595
,StandardOrth,,,1-212-170-3,{},,suolo,32535,26437,30712
,StandardOrth,,,1-213-170-1,{},,polvere,32536,26438,30519
,StandardOrth,,,1-214-170-1,{},,fango,32537,26439,29819
,StandardOrth,,,1-215-170-1,{},,sabbia,32538,26440,29861
,StandardOrth,,,1-215-170-3,{},,rena,32539,26440,29880
,StandardOrth,,,1-220-170-1,{},,montagna,32540,26441,29591
,StandardOrth,,,1-220-170-3,{},,collina,32541,26441,30515
,StandardOrth,,,1-222-170-1,{},,scogliera,32542,26442,30120
,StandardOrth,,,1-222-170-3,{},,rupe,32543,26442,29928
,StandardOrth,,,1-230-170-1,{},,pianura,32544,26443,29751
,StandardOrth,,,1-230-170-3,{},,campo,32545,26443,29530
,StandardOrth,,,1-240-170-1,{},,valle,32546,26444,29777
,StandardOrth,,,1-250-170-1,{},,isola,32547,26445,29503
,StandardOrth,,,1-260-170-1,{},,terraferma,32548,26446,30664
,StandardOrth,,,1-260-170-3,{},,continente,32549,26446,30657
,StandardOrth,,,1-270-170-1,{},,riva,32550,26447,30531
,StandardOrth,,,1-270-170-3,{},,littorale,32551,26447,29422
,StandardOrth,,,1-280-170-1,{},,grotta,32552,26448,29884
,StandardOrth,,,1-310-170-1,{},,acqua,32553,26449,29723
,StandardOrth,,,1-320-170-1,{},,mare,32554,26450,29962
,StandardOrth,,,1-322-170-1,{},,bonaccia,32555,26451,30497
,StandardOrth,,,1-323-170-1,{},,agitato,32556,26452,29746
,StandardOrth,,,1-323-170-3,{},,burrascoso,32557,26452,30800
,StandardOrth,,,1-324-170-1,{},,schiuma,32558,26453,30563
,StandardOrth,,,1-329-170-1,{},,oceano,32559,26454,29381
,StandardOrth,,,1-330-170-1,{},,lago,32560,26455,29703
,StandardOrth,,,1-340-170-1,{},,golfo,32561,26456,29840
,StandardOrth,,,1-340-170-3,{},,baia,32562,26456,29559
,StandardOrth,,,1-341-170-1,{},,laguna,32563,26457,29825
,StandardOrth,,,1-342-170-1,{},,scoglio,32564,26458,29904
,StandardOrth,,,1-343-170-1,{},,capo,32565,26459,29661
,StandardOrth,,,1-343-170-3,{},,punta,32566,26459,30047
,StandardOrth,,,1-350-170-1,{},,onda,32567,26460,30748
,StandardOrth,,,1-352-170-1,{},,marea,32568,26461,29399
,StandardOrth,,,1-353-170-1,{},,bassa marea,32569,26462,30559
,StandardOrth,,,1-354-170-1,{},,alta marea,32570,26463,29714
,StandardOrth,,,1-360-170-1,{},,fiume,32571,26464,29699
,StandardOrth,,,1-360-170-3,{},,torrente,32572,26464,29579
,StandardOrth,,,1-360-170-5,{},,ruscello,32573,26464,30021
,StandardOrth,,,1-362-170-1,{},,gorgo,32574,26465,29754
,StandardOrth,,,1-362-170-3,{},,vortice,32575,26465,29874
,StandardOrth,,,1-370-170-1,{},,sorgente,32576,26466,30745
,StandardOrth,,,1-370-170-3,{},,pozzo,32577,26466,29986
,StandardOrth,,,1-380-170-1,{},,palude,32578,26467,30512
,StandardOrth,,,1-380-170-3,{},,pantano,32579,26467,29372
,StandardOrth,,,1-390-170-1,{},,cascata,32580,26468,29598
,StandardOrth,,,1-410-170-1,{},,bosco,32581,26469,30621
,StandardOrth,,,1-410-170-3,{},,selva,32582,26469,29687
,StandardOrth,,,1-420-170-1,{},,albero,32583,26470,29522
,StandardOrth,,,1-430-170-1,{},,legno,32584,26471,30364
,StandardOrth,,,1-440-170-1,{},,sasso,32585,26472,30672
,StandardOrth,,,1-440-170-3,{},,pietra,32586,26472,30432
,StandardOrth,,,1-450-170-1,{},,terremoto,32587,26473,30474
,StandardOrth,,,1-450-170-3,{},,sisma,32588,26473,29908
,StandardOrth,,,1-510-170-1,{},,cielo,32589,26474,29444
,StandardOrth,,,1-520-170-1,{},,sole,32590,26475,30334
,StandardOrth,,,1-530-170-1,{},,luna,32591,26476,30784
,StandardOrth,,,1-540-170-1,{},,stella,32592,26477,30142
,StandardOrth,,,1-550-170-1,{},,lampo,32593,26478,29684
,StandardOrth,,,1-560-170-1,{},,tuono,32594,26479,30188
,StandardOrth,,,1-570-170-1,{},,fulmine,32595,26480,29411
,StandardOrth,,,1-570-170-3,{},,saetta,32596,26480,30479
,StandardOrth,,,1-580-170-1,{},,tempesta,32597,26481,30525
,StandardOrth,,,1-590-170-1,{},,arcobaleno,32598,26482,30382
,StandardOrth,,,1-610-170-1,{},,luce,32599,26483,29480
,StandardOrth,,,1-620-170-1,{},,oscurità,32600,26484,30350
,StandardOrth,,,1-620-170-3,{},,buio,32601,26484,30174
,StandardOrth,,,1-630-170-1,{},,ombra,32602,26485,30724
,StandardOrth,,,1-640-170-1,{},,rugiada,32603,26486,29610
,StandardOrth,,,1-710-170-1,{},,aria,32604,26487,30492
,StandardOrth,,,1-720-170-1,{},,vento,32605,26488,29467
,StandardOrth,,,1-730-170-1,{},,nuvola,32606,26489,30110
,StandardOrth,,,1-740-170-1,{},,nebbia,32607,26490,30412
,StandardOrth,,,1-750-170-1,{},,pioggia,32608,26491,29992
,StandardOrth,,,1-760-170-1,{},,neve,32609,26492,29673
,StandardOrth,,,1-770-170-1,{},,ghiaccio,32610,26493,29659
,StandardOrth,,,1-780-170-1,{},,tempo,32611,26494,30605
,StandardOrth,,,1-810-170-1,{},,fuoco,32612,26495,30625
,StandardOrth,,,1-820-170-1,{},,fiamma,32613,26496,29460
,StandardOrth,,,1-830-170-1,{},,fumo,32614,26497,30004
,StandardOrth,,,1-840-170-1,{},,cenere,32615,26498,30600
,StandardOrth,,,1-841-170-1,{},,brace,32616,26499,30286
,StandardOrth,,,1-851-170-1,{},,bruciare,32617,26500,30801
,StandardOrth,,,1-851-170-3,{},,ardere,32618,26500,29438
,StandardOrth,,,1-852-170-1,{},,bruciare,32619,26501,30801
,StandardOrth,,,1-852-170-3,{},,ardere,32620,26501,29438
,StandardOrth,,,1-860-170-1,{},,accendere,32621,26502,29915
,StandardOrth,,,1-861-170-1,{},,spegnere,32622,26503,29613
,StandardOrth,,,1-870-170-1,{},,fiammifero,32623,26504,30102
,StandardOrth,,,1-880-170-1,{},,legna,32624,26505,30363
,StandardOrth,,,1-890-170-1,{},,carbone (di legna),32625,26506,30695
,StandardOrth,,,2-100-170-1,{},,persona,32626,26507,29995
,StandardOrth,,,2-100-170-3,{},,essere umano,32627,26507,30811
,StandardOrth,,,2-210-170-1,{},,uomo,32628,26508,30732
,StandardOrth,,,2-220-170-1,{},,femmina,32629,26509,29664
,StandardOrth,,,2-220-170-3,{},,donna,32630,26509,30408
,StandardOrth,,,2-230-170-1,{},,maschio,32631,26510,30560
,StandardOrth,,,2-240-170-1,{},,femmina,32632,26511,29664
,StandardOrth,,,2-250-170-1,{},,ragazzo,32633,26512,30592
,StandardOrth,,,2-251-170-1,{},,giovanotto/,32634,26513,30615
,StandardOrth,,,2-260-170-1,{},,ragazza,32635,26514,30589
,StandardOrth,,,2-261-170-1,{},,giovinetta,32636,26515,29573
,StandardOrth,,,2-270-170-1,{},,bambino,32637,26516,30311
,StandardOrth,,,2-280-170-1,{},,bimbo,32638,26517,29558
,StandardOrth,,,2-310-170-1,{},,marito,32639,26518,30715
,StandardOrth,,,2-320-170-1,{},,moglie,32640,26519,30263
,StandardOrth,,,2-330-170-1,{},,sposarsi,32641,26520,30752
,StandardOrth,,,2-340-170-1,{},,nozze,32642,26521,30407
,StandardOrth,,,2-341-170-1,{},,divorzio,32643,26522,30349
,StandardOrth,,,2-350-170-1,{},,padre,32644,26523,29458
,StandardOrth,,,2-360-170-1,{},,madre,32645,26524,30582
,StandardOrth,,,2-370-170-1,{},,genitori,32646,26525,30791
,StandardOrth,,,2-380-170-1,{},,uomo sposato,32647,26526,30396
,StandardOrth,,,2-390-170-1,{},,donna sposata,32648,26527,29779
,StandardOrth,,,2-410-170-1,{},,figlio,32649,26528,30415
,StandardOrth,,,2-420-170-1,{},,figlia,32650,26529,30420
,StandardOrth,,,2-430-170-1,{},,figlio,32651,26530,30415
,StandardOrth,,,2-430-170-3,{},,figlia,32652,26530,30420
,StandardOrth,,,2-440-170-1,{},,fratello,32653,26531,29680
,StandardOrth,,,2-444-170-1,{},,fratello maggiore,32654,26532,29528
,StandardOrth,,,2-445-170-1,{},,fratello minore,32655,26533,30491
,StandardOrth,,,2-450-170-1,{},,sorella,32656,26534,30375
,StandardOrth,,,2-454-170-1,{},,sorella maggiore,32657,26535,29371
,StandardOrth,,,2-455-170-1,{},,sorella minore,32658,26536,30224
,StandardOrth,,,2-456-170-1,{},,fratello/ sorella,32659,26537,29382
,StandardOrth,,,2-458-170-1,{},,gemelli,32660,26538,29837
,StandardOrth,,,2-460-170-1,{},,nonno,32661,26539,30635
,StandardOrth,,,2-461-170-1,{},,vecchio,32662,26540,30211
,StandardOrth,,,2-470-170-1,{},,nonna,32663,26541,29805
,StandardOrth,,,2-471-170-1,{},,vecchia,32664,26542,30214
,StandardOrth,,,2-480-170-1,{},,nipote,32665,26543,30034
,StandardOrth,,,2-480-170-3,{},,nipotino,32666,26543,30111
,StandardOrth,,,2-490-170-1,{},,nipote,32667,26544,30034
,StandardOrth,,,2-490-170-3,{},,nipotina,32668,26544,30115
,StandardOrth,,,2-510-170-1,{},,zio,32669,26545,30538
,StandardOrth,,,2-511-170-1,{},,fratello della madre,32670,26546,29365
,StandardOrth,,,2-512-170-1,{},,fratello del padre,32671,26547,30245
,StandardOrth,,,2-520-170-1,{},,zia,32672,26548,30537
,StandardOrth,,,2-521-170-1,{},,sorella della madre,32673,26549,30720
,StandardOrth,,,2-522-170-1,{},,sorella del padre,32674,26550,30079
,StandardOrth,,,2-530-170-1,{},,nipote,32675,26551,30034
,StandardOrth,,,2-540-170-1,{},,nipote,32676,26552,30034
,StandardOrth,,,2-550-170-1,{},,cugino/ cugina,32677,26553,30301
,StandardOrth,,,2-560-170-1,{},,antenati,32678,26554,30733
,StandardOrth,,,2-570-170-1,{},,discendenti,32679,26555,29772
,StandardOrth,,,2-610-170-1,{},,suocero,32680,26556,30684
,StandardOrth,,,2-611-170-1,{},,suocero,32681,26557,30684
,StandardOrth,,,2-620-170-1,{},,suocera,32682,26558,30683
,StandardOrth,,,2-621-170-1,{},,suocera,32683,26559,30683
,StandardOrth,,,2-630-170-1,{},,genero,32684,26560,29912
,StandardOrth,,,2-631-170-1,{},,genero,32685,26561,29912
,StandardOrth,,,2-640-170-1,{},,nuora,32686,26562,30642
,StandardOrth,,,2-641-170-1,{},,nuora,32687,26563,30642
,StandardOrth,,,2-710-170-1,{},,patrigno,32688,26564,29457
,StandardOrth,,,2-720-170-1,{},,matrigna,32689,26565,30139
,StandardOrth,,,2-730-170-1,{},,figliastro,32690,26566,29504
,StandardOrth,,,2-740-170-1,{},,figliastra,32691,26567,29508
,StandardOrth,,,2-750-170-1,{},,orfano/ orfana,32692,26568,30005
,StandardOrth,,,2-760-170-1,{},,vedova,32693,26569,29651
,StandardOrth,,,2-770-170-1,{},,vedovo,32694,26570,29654
,StandardOrth,,,2-810-170-1,{},,parenti,32695,26571,30393
,StandardOrth,,,2-810-170-3,{},,parentela,32696,26571,30500
,StandardOrth,,,2-820-170-1,{},,famiglia,32697,26572,30769
,StandardOrth,,,2-910-170-1,{},,io,32698,26573,29624
,StandardOrth,,,2-920-170-1,{},,tu,32699,26574,30106
,StandardOrth,,,2-920-170-3,{},,Lei,32700,26574,29676
,StandardOrth,,,2-930-170-1,{},,egli,32701,26575,30601
,StandardOrth,,,2-930-170-3,{},,lui,32702,26575,30690
,StandardOrth,,,2-930-170-5,{},,ella,32703,26575,29635
,StandardOrth,,,2-930-170-7,{},,lei,32704,26575,30520
,StandardOrth,,,2-930-170-9,{},,esso,32705,26575,30296
,StandardOrth,,,2-930-170-11,{},,essa,32706,26575,30292
,StandardOrth,,,2-940-170-1,{},,noi,32707,26576,29831
,StandardOrth,,,2-941-170-1,{},,noi,32708,26577,29831
,StandardOrth,,,2-942-170-1,{},,noi,32709,26578,29831
,StandardOrth,,,2-950-170-1,{},,voi,32710,26579,30365
,StandardOrth,,,2-950-170-3,{},,Loro,32711,26579,29436
,StandardOrth,,,2-960-170-1,{},,loro,32712,26580,29375
,StandardOrth,,,2-960-170-3,{},,essi,32713,26580,30294
,StandardOrth,,,2-960-170-5,{},,esse,32714,26580,30434
,StandardOrth,,,3-110-170-1,{},,animale,32715,26581,30550
,StandardOrth,,,3-120-170-1,{},,maschio,32716,26582,30560
,StandardOrth,,,3-130-170-1,{},,femmina,32717,26583,29664
,StandardOrth,,,3-150-170-1,{},,bestiame,32718,26584,30029
,StandardOrth,,,3-160-170-1,{},,pascolo,32719,26585,30667
,StandardOrth,,,3-180-170-1,{},,pastore,32720,26586,30510
,StandardOrth,,,3-190-170-1,{},,stalla,32721,26587,29538
,StandardOrth,,,3-200-170-1,{},,bestiame,32722,26588,30029
,StandardOrth,,,3-210-170-1,{},,toro,32723,26589,29826
,StandardOrth,,,3-220-170-1,{},,bue,32724,26590,30795
,StandardOrth,,,3-230-170-1,{},,mucca,32725,26591,30428
,StandardOrth,,,3-240-170-1,{},,vitello,32726,26592,29409
,StandardOrth,,,3-250-170-1,{},,pecora,32727,26593,29406
,StandardOrth,,,3-260-170-1,{},,ariete,32728,26594,30230
,StandardOrth,,,3-260-170-3,{},,montone,32729,26594,30620
,StandardOrth,,,3-280-170-1,{},,pecora,32730,26595,29406
,StandardOrth,,,3-290-170-1,{},,agnello,32731,26596,30200
,StandardOrth,,,3-320-170-1,{},,cinghiale,32732,26597,30324
,StandardOrth,,,3-340-170-1,{},,troia,32733,26598,30192
,StandardOrth,,,3-350-170-1,{},,maiale,32734,26599,29983
,StandardOrth,,,3-350-170-3,{},,porco,32735,26599,30541
,StandardOrth,,,3-360-170-1,{},,capra,32736,26600,30539
,StandardOrth,,,3-370-170-1,{},,caprone,32737,26601,29578
,StandardOrth,,,3-380-170-1,{},,capretto,32738,26602,30388
,StandardOrth,,,3-410-170-1,{},,cavallo,32739,26603,29766
,StandardOrth,,,3-420-170-1,{},,stallone,32740,26604,29850
,StandardOrth,,,3-440-170-1,{},,giumenta,32741,26605,30199
,StandardOrth,,,3-450-170-1,{},,puledro,32742,26606,29804
,StandardOrth,,,3-460-170-1,{},,asino,32743,26607,30352
,StandardOrth,,,3-470-170-1,{},,mulo,32744,26608,30131
,StandardOrth,,,3-500-170-1,{},,pollo,32745,26609,29977
,StandardOrth,,,3-500-170-3,{},,pollame,32746,26609,30379
,StandardOrth,,,3-520-170-1,{},,gallo,32747,26610,30561
,StandardOrth,,,3-540-170-1,{},,gallina,32748,26611,30611
,StandardOrth,,,3-550-170-1,{},,pollo,32749,26612,29977
,StandardOrth,,,3-560-170-1,{},,oca,32750,26613,29562
,StandardOrth,,,3-570-170-1,{},,anatra,32751,26614,30308
,StandardOrth,,,3-580-170-1,{},,nido,32752,26615,30438
,StandardOrth,,,3-581-170-1,{},,uccello,32753,26616,30781
,StandardOrth,,,3-582-170-1,{},,gabbiano,32754,26617,29841
,StandardOrth,,,3-583-170-1,{},,airone,32755,26618,29732
,StandardOrth,,,3-584-170-1,{},,aquila,32756,26619,30437
,StandardOrth,,,3-585-170-1,{},,falco,32757,26620,29388
,StandardOrth,,,3-586-170-1,{},,avvoltoio,32758,26621,30025
,StandardOrth,,,3-591-170-1,{},,pipistrello,32759,26622,29585
,StandardOrth,,,3-592-170-1,{},,pappagallo,32760,26623,29543
,StandardOrth,,,3-593-170-1,{},,corbo,32761,26624,29750
,StandardOrth,,,3-594-170-1,{},,colomba,32762,26625,29905
,StandardOrth,,,3-596-170-1,{},,gufo,32763,26626,30534
,StandardOrth,,,3-596-170-3,{},,civetta,32764,26626,30201
,StandardOrth,,,3-610-170-1,{},,cane,32765,26627,29622
,StandardOrth,,,3-614-170-1,{},,coniglio,32766,26628,30390
,StandardOrth,,,3-620-170-1,{},,gatto,32767,26629,29743
,StandardOrth,,,3-622-170-1,{},,opossum,32768,26630,30619
,StandardOrth,,,3-630-170-1,{},,topo,32769,26631,29637
,StandardOrth,,,3-630-170-3,{},,ratto,32770,26631,29423
,StandardOrth,,,3-650-170-1,{},,pesce,32771,26632,30727
,StandardOrth,,,3-652-170-1,{},,pinna,32772,26633,29707
,StandardOrth,,,3-653-170-1,{},,squama,32773,26634,30122
,StandardOrth,,,3-654-170-1,{},,branchia,32774,26635,30234
,StandardOrth,,,3-655-170-1,{},,conchiglia,32775,26636,29727
,StandardOrth,,,3-661-170-1,{},,squalo,32776,26637,30037
,StandardOrth,,,3-662-170-1,{},,focena,32777,26638,29459
,StandardOrth,,,3-662-170-3,{},,delfino,32778,26638,30024
,StandardOrth,,,3-663-170-1,{},,balena,32779,26639,29497
,StandardOrth,,,3-664-170-1,{},,razza,32780,26640,30576
,StandardOrth,,,3-665-170-1,{},,anguilla d'acqua dolce,32781,26641,30161
,StandardOrth,,,3-710-170-1,{},,lupo,32782,26642,29590
,StandardOrth,,,3-720-170-1,{},,leone,32783,26643,29552
,StandardOrth,,,3-730-170-1,{},,orso,32784,26644,30069
,StandardOrth,,,3-740-170-1,{},,volpe,32785,26645,30150
,StandardOrth,,,3-750-170-1,{},,cervo,32786,26646,30082
,StandardOrth,,,3-760-170-1,{},,scimmia,32787,26647,30810
,StandardOrth,,,3-770-170-1,{},,elefante,32788,26648,29941
,StandardOrth,,,3-780-170-1,{},,cammello,32789,26649,29753
,StandardOrth,,,3-810-170-1,{},,insetto,32790,26650,30567
,StandardOrth,,,3-811-170-1,{},,pidocchio,32791,26651,29863
,StandardOrth,,,3-812-170-1,{},,lendine,32792,26652,29763
,StandardOrth,,,3-813-170-1,{},,pulce,32793,26653,30696
,StandardOrth,,,3-814-170-1,{},,centopiedi,32794,26654,29731
,StandardOrth,,,3-815-170-1,{},,scorpione,32795,26655,29516
,StandardOrth,,,3-816-170-1,{},,scarafaggio,32796,26656,30728
,StandardOrth,,,3-816-170-3,{},,blatta,32797,26656,30804
,StandardOrth,,,3-817-170-1,{},,formica,32798,26657,29385
,StandardOrth,,,3-818-170-1,{},,ragno,32799,26658,30496
,StandardOrth,,,3-819-170-1,{},,ragnatela,32800,26659,30660
,StandardOrth,,,3-820-170-1,{},,ape,32801,26660,30535
,StandardOrth,,,3-821-170-1,{},,cera vergine,32802,26661,29978
,StandardOrth,,,3-822-170-1,{},,alveare,32803,26662,30687
,StandardOrth,,,3-822-170-3,{},,arnia,32804,26662,30556
,StandardOrth,,,3-823-170-1,{},,vespa,32805,26663,29974
,StandardOrth,,,3-830-170-1,{},,mosca,32806,26664,30076
,StandardOrth,,,3-831-170-1,{},,pulce di mare,32807,26665,30247
,StandardOrth,,,3-832-170-1,{},,zanzara,32808,26666,30699
,StandardOrth,,,3-840-170-1,{},,lombrico,32809,26667,30548
,StandardOrth,,,3-850-170-1,{},,serpente,32810,26668,29677
,StandardOrth,,,3-910-170-1,{},,lucciola,32811,26669,29511
,StandardOrth,,,3-920-170-1,{},,farfalla,32812,26670,30223
,StandardOrth,,,3-930-170-1,{},,cavalletta,32813,26671,30377
,StandardOrth,,,3-940-170-1,{},,lumaca,32814,26672,29713
,StandardOrth,,,3-940-170-3,{},,chiocciola,32815,26672,30320
,StandardOrth,,,3-950-170-1,{},,rana,32816,26673,29505
,StandardOrth,,,3-960-170-1,{},,lucertola,32817,26674,30542
,StandardOrth,,,3-970-170-1,{},,coccodrillo,32818,26675,29739
,StandardOrth,,,3-980-170-1,{},,tartaruga,32819,26676,30184
,StandardOrth,,,4-110-170-1,{},,corpo,32820,26677,29729
,StandardOrth,,,4-120-170-1,{},,pelle,32821,26678,30622
,StandardOrth,,,4-120-170-3,{},,cute,32822,26678,29815
,StandardOrth,,,4-130-170-1,{},,carne,32823,26679,30305
,StandardOrth,,,4-140-170-1,{},,capello,32824,26680,30341
,StandardOrth,,,4-142-170-1,{},,barba,32825,26681,30189
,StandardOrth,,,4-144-170-1,{},,pelo,32826,26682,30422
,StandardOrth,,,4-145-170-1,{},,peli del pube,32827,26683,29949
,StandardOrth,,,4-146-170-1,{},,forfora,32828,26684,29574
,StandardOrth,,,4-150-170-1,{},,sangue,32829,26685,30546
,StandardOrth,,,4-151-170-1,{},,vena,32830,26686,30708
,StandardOrth,,,4-151-170-3,{},,arteria,32831,26686,30604
,StandardOrth,,,4-160-170-1,{},,osso,32832,26687,29909
,StandardOrth,,,4-162-170-1,{},,costola,32833,26688,29416
,StandardOrth,,,4-170-170-1,{},,corno,32834,26689,29536
,StandardOrth,,,4-180-170-1,{},,coda,32835,26690,30480
,StandardOrth,,,4-190-170-1,{},,schiena,32836,26691,29548
,StandardOrth,,,4-191-170-1,{},,spina dorsale,32837,26692,30749
,StandardOrth,,,4-200-170-1,{},,capo,32838,26693,29661
,StandardOrth,,,4-200-170-3,{},,testa,32839,26693,30757
,StandardOrth,,,4-201-170-1,{},,tempia,32840,26694,29473
,StandardOrth,,,4-202-170-1,{},,teschio,32841,26695,29931
