confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,phonetic,,,1-100-836-1,{},,lo:ʔ     ( T.),445502,353212,400911
,phonetic,,,1-212-836-1,{},,dɛj,445503,353213,401328
,phonetic,,,1-213-836-1,{},,dɛj hoj,445504,353214,400606
,phonetic,,,1-214-836-1,{},,phɔʔ,445505,353215,401013
,phonetic,,,1-215-836-1,{},,ksac (ksa:c),445506,353216,400627
,phonetic,,,1-220-836-1,{},,phnôm,445507,353217,401367
,phonetic,,,1-230-836-1,{},,wi:əl,445508,353218,400538
,phonetic,,,1-270-836-1,{},,craŋ,445509,353219,400508
,phonetic,,,1-280-836-1,{},,ru:ŋ,445510,353220,400879
,phonetic,,,1-310-836-1,{},,tɨʔ,445511,353221,400619
,phonetic,,,1-320-836-1,{},,tanli:      ( T.),445512,353222,401381
,phonetic,,,1-324-836-1,{},,ppuh,445513,353223,400983
,phonetic,,,1-380-836-1,{},,tpɨəŋ,445514,353224,400531
,phonetic,,,1-410-836-1,{},,pri:,445515,353225,401005
,phonetic,,,1-420-836-1,{},,d̂:m chə:,445516,353226,401078
,phonetic,,,1-430-836-1,{},,chə:,445517,353227,400964
,phonetic,,,1-440-836-1,{},,thmâ:,445518,353228,400632
,phonetic,,,1-510-836-1,{},,mi:ʔ,445519,353229,401110
,phonetic,,,1-520-836-1,{},,thŋaj,445520,353230,401297
,phonetic,,,1-530-836-1,{},,khɛ:,445521,353231,400599
,phonetic,,,1-540-836-1,{},,pka:j,445522,353232,401289
,phonetic,,,1-550-836-1,{},,phne:ʔ kantô:l,445523,353233,400506
,phonetic,,,1-560-836-1,{},,pku:ər,445524,353234,401324
,phonetic,,,1-570-836-1,{},,rantiəh bań,445525,353235,400874
,phonetic,,,1-590-836-1,{},,ʔ̂n thnu:,445526,353236,400668
,phonetic,,,1-610-836-1,{},,thŋaj,445527,353237,401297
,phonetic,,,1-630-836-1,{},,sm̂:l,445528,353238,400857
,phonetic,,,1-640-836-1,{},,tɨʔ nŝ:m,445529,353239,401048
,phonetic,,,1-720-836-1,{},,khjâl,445530,353240,400746
,phonetic,,,1-750-836-1,{},,phli:ń,445531,353241,400823
,phonetic,,,1-810-836-1,{},,phlə̂:ŋ,445532,353242,400698
,phonetic,,,1-820-836-1,{},,na:t phlə̂:ŋ,445533,353243,400831
,phonetic,,,1-830-836-1,{},,psɛ:ń,445534,353244,401141
,phonetic,,,1-840-836-1,{},,phɛh,445535,353245,400849
,phonetic,,,1-841-836-1,{},,rnə̂:ʔ phlə̂:ŋ,445536,353246,400604
,phonetic,,,1-851-836-1,{},,d̂t,445537,353247,401136
,phonetic,,,1-852-836-1,{},,chɛh,445538,353248,401311
,phonetic,,,1-860-836-1,{},,ʔɔc (phlə̂:ŋ),445539,353249,401077
,phonetic,,,1-861-836-1,{},,lluət,445540,353250,400644
,phonetic,,,1-870-836-1,{},,ckhet,445541,353251,400876
,phonetic,,,1-880-836-1,{},,ʔɔh,445542,353252,401067
,phonetic,,,1-890-836-1,{},,khju:ŋ,445543,353253,400758
,phonetic,,,2-100-836-1,{},,mnɨh,445544,353254,400561
,phonetic,,,2-210-836-1,{},,prɔh,445545,353255,401189
,phonetic,,,2-220-836-1,{},,srɛj,445546,353256,400656
,phonetic,,,2-230-836-1,{},,prɔh,445547,353257,401189
,phonetic,,,2-240-836-1,{},,srɛʔ,445548,353258,400924
,phonetic,,,2-250-836-1,{},,kme:ń prɔh,445549,353259,401075
,phonetic,,,2-251-836-1,{},,kanlâh,445550,353260,401168
,phonetic,,,2-260-836-1,{},,kme:ń srɛj,445551,353261,400701
,phonetic,,,2-261-836-1,{},,kmom,445552,353262,401051
,phonetic,,,2-270-836-1,{},,kme:ń,445553,353263,400946
,phonetic,,,2-280-836-1,{},,ko:n kcɛj,445554,353264,401163
,phonetic,,,2-310-836-1,{},,pdɛj,445555,353265,401027
,phonetic,,,2-320-836-1,{},,ppuən,445556,353266,401366
,phonetic,,,2-330-836-1,{},,sɛ:n,445557,353267,401380
,phonetic,,,2-340-836-1,{},,ka:r,445558,353268,401106
,phonetic,,,2-341-836-1,{},,le:ń,445559,353269,400884
,phonetic,,,2-350-836-1,{},,ʔ̂w,445560,353270,400592
,phonetic,,,2-410-836-1,{},,ko:n prɔh,445561,353271,400768
,phonetic,,,2-420-836-1,{},,ko:n srɛj,445562,353272,400898
,phonetic,,,2-440-836-1,{},,bâ:ŋ pʔo:n,445563,353273,400526
