confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Phonemic,,,1-100-139-1,{},,enköla,9524,7830,8521
,Phonemic,,,1-100-139-3,{},,mu,9525,7830,8586
,Phonemic,,,1-210-139-1,{},,mu,10053,8217,8586
,Phonemic,,,1-212-139-1,{},,musin,10732,8729,8572
,Phonemic,,,1-212-139-3,{},,pod,10733,8729,9228
,Phonemic,,,1-212-139-5,{},,poduv,10734,8729,9841
,Phonemic,,,1-213-139-1,{},,bus,10731,8728,10039
,Phonemic,,,1-214-139-1,{},,nyayt,10054,8218,8920
,Phonemic,,,1-215-139-1,{},,lɩa,9526,7831,9192
,Phonemic,,,1-220-139-1,{},,ker̃ös,10729,8727,9271
,Phonemic,,,1-220-139-3,{},,nör̃ɩs,10730,8727,9021
,Phonemic,,,1-222-139-1,{},,kɩr̃ta,9527,7832,10073
,Phonemic,,,1-230-139-1,{},,tšötškösin,10726,8726,9492
,Phonemic,,,1-230-139-3,{},,er̃d,10727,8726,9466
,Phonemic,,,1-230-139-5,{},,er̃d vɩv,10728,8726,8830
,Phonemic,,,1-240-139-1,{},,kovtɩs,10725,8725,9144
,Phonemic,,,1-250-139-1,{},,di,10056,8220,8722
,Phonemic,,,1-260-139-1,{},,mater̃ik,10055,8219,8535
,Phonemic,,,1-270-139-1,{},,vador̃,10724,8724,9708
,Phonemic,,,1-280-139-1,{},,gor̃s,10057,8221,8524
,Phonemic,,,1-310-139-1,{},,va,9528,7833,9948
,Phonemic,,,1-320-139-1,{},,sar̃idz,10058,8222,9692
,Phonemic,,,1-322-139-1,{},,lönʸ,10059,8223,8568
,Phonemic,,,1-323-139-1,{},,gɩa,9529,7834,9171
,Phonemic,,,1-323-139-3,{},,gɩzʸöm,9530,7834,8823
,Phonemic,,,1-324-139-1,{},,bɩg,9531,7835,9299
,Phonemic,,,1-329-139-1,{},,okean,10723,8723,8541
,Phonemic,,,1-330-139-1,{},,tɩ,10060,8224,9399
,Phonemic,,,1-330-139-3,{},,vad,10061,8224,10031
,Phonemic,,,1-340-139-1,{},,kur̃ya,10722,8722,8863
,Phonemic,,,1-342-139-1,{},,va kɩr̃ta,10062,8225,8960
,Phonemic,,,1-343-139-1,{},,ködž,9532,7836,9436
,Phonemic,,,1-343-139-3,{},,kötšas,9533,7836,9283
,Phonemic,,,1-350-139-1,{},,gɩ,10721,8721,9799
,Phonemic,,,1-352-139-1,{},,va tuöm,10063,8226,9164
,Phonemic,,,1-352-139-3,{},,va sodöm,10064,8226,10001
,Phonemic,,,1-352-139-5,{},,va usʸöm,10065,8226,8879
,Phonemic,,,1-353-139-1,{},,va usʸöm,9534,7837,8879
,Phonemic,,,1-354-139-1,{},,va sodöm,9535,7838,10001
,Phonemic,,,1-360-139-1,{},,yu,9536,7839,9408
,Phonemic,,,1-360-139-3,{},,vizuv,9537,7839,9409
,Phonemic,,,1-360-139-5,{},,šor̃,9538,7839,8550
,Phonemic,,,1-362-139-1,{},,vaber̃gač,9539,7840,9800
,Phonemic,,,1-370-139-1,{},,öšmös,10719,8720,8834
,Phonemic,,,1-370-139-3,{},,yukmös,10720,8720,9646
,Phonemic,,,1-380-139-1,{},,nyur̃,10066,8227,9007
,Phonemic,,,1-390-139-1,{},,bor̃gan,10067,8228,9859
,Phonemic,,,1-410-139-1,{},,vör̃,10068,8229,9777
,Phonemic,,,1-420-139-1,{},,pu,10718,8719,9548
,Phonemic,,,1-430-139-1,{},,vör̃,10069,8230,9777
,Phonemic,,,1-430-139-3,{},,ker̃,10070,8230,8963
,Phonemic,,,1-440-139-1,{},,iz,9540,7841,8781
