confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,StandardOrth,,,1-100-197-1,{},,pasaule,79190,57720,72669
,StandardOrth,,,1-210-197-1,{},,zeme,79191,57721,72060
,StandardOrth,,,1-212-197-1,{},,zeme,79192,57722,72060
,StandardOrth,,,1-212-197-3,{},,augsne,79193,57722,72947
,StandardOrth,,,1-213-197-1,{},,putekl̩i,79194,57723,72239
,StandardOrth,,,1-214-197-1,{},,dubl̩i,79195,57724,72804
,StandardOrth,,,1-215-197-1,{},,smilts,79196,57725,73089
,StandardOrth,,,1-215-197-3,{},,smiltis,79197,57725,72448
,StandardOrth,,,1-220-197-1,{},,kalns,79198,57726,72443
,StandardOrth,,,1-220-197-3,{},,pakalns,79199,57726,73342
,StandardOrth,,,1-222-197-1,{},,krauja,79200,57727,73487
,StandardOrth,,,1-222-197-3,{},,klints,79201,57727,72831
,StandardOrth,,,1-230-197-1,{},,līdzenums,79202,57728,73553
,StandardOrth,,,1-230-197-3,{},,lauks,79203,57728,73238
,StandardOrth,,,1-230-197-5,{},,tīrums,79204,57728,72090
,StandardOrth,,,1-240-197-1,{},,leja,79205,57729,72749
,StandardOrth,,,1-240-197-3,{},,ieleja,79206,57729,72341
,StandardOrth,,,1-250-197-1,{},,sala,79207,57730,72599
,StandardOrth,,,1-260-197-1,{},,cietzeme,79208,57731,72166
,StandardOrth,,,1-270-197-1,{},,krasts,79209,57732,73282
,StandardOrth,,,1-280-197-1,{},,ala,79210,57733,72800
,StandardOrth,,,1-310-197-1,{},,ūdens,79211,57734,72528
,StandardOrth,,,1-320-197-1,{},,jūra,79212,57735,73243
,StandardOrth,,,1-322-197-1,{},,mierīga (rāma) jūra,79213,57736,72027
,StandardOrth,,,1-323-197-1,{},,bangas,79214,57737,73262
,StandardOrth,,,1-324-197-1,{},,putas,79215,57738,73399
,StandardOrth,,,1-329-197-1,{},,okeāns,79216,57739,72169
,StandardOrth,,,1-330-197-1,{},,ezers,79217,57740,73286
,StandardOrth,,,1-340-197-1,{},,jūras līcis,79218,57741,72620
,StandardOrth,,,1-341-197-1,{},,lagūna,79219,57742,73030
,StandardOrth,,,1-342-197-1,{},,rifs,79220,57743,73492
,StandardOrth,,,1-343-197-1,{},,zemesrags,79221,57744,73076
,StandardOrth,,,1-350-197-1,{},,vilnis,79222,57745,73466
,StandardOrth,,,1-350-197-3,{},,bangas,79223,57745,73262
,StandardOrth,,,1-352-197-1,{},,paisums un bēgums,79224,57746,72916
,StandardOrth,,,1-353-197-1,{},,bēgums,79225,57747,72101
,StandardOrth,,,1-354-197-1,{},,paisums,79226,57748,72703
,StandardOrth,,,1-360-197-1,{},,upe,79227,57749,72012
,StandardOrth,,,1-360-197-3,{},,straume,79228,57749,72689
,StandardOrth,,,1-362-197-1,{},,atvars,79229,57750,72760
,StandardOrth,,,1-370-197-1,{},,avots,79230,57751,72759
,StandardOrth,,,1-370-197-3,{},,aka,79231,57751,72039
,StandardOrth,,,1-380-197-1,{},,purvs,79232,57752,72365
,StandardOrth,,,1-390-197-1,{},,ūdenskritums,79233,57753,72582
,StandardOrth,,,1-410-197-1,{},,mežs,79234,57754,72912
,StandardOrth,,,1-420-197-1,{},,koks,79235,57755,72193
,StandardOrth,,,1-430-197-1,{},,koks,79236,57756,72193
,StandardOrth,,,1-430-197-3,{},,malka,79237,57756,72941
,StandardOrth,,,1-440-197-1,{},,akmens,79238,57757,73052
,StandardOrth,,,1-440-197-3,{},,klints,79239,57757,72831
,StandardOrth,,,1-450-197-1,{},,zemestrīce,79240,57758,72419
,StandardOrth,,,1-510-197-1,{},,debess,79241,57759,72447
,StandardOrth,,,1-510-197-3,{},,debesis,79242,57759,72835
,StandardOrth,,,1-520-197-1,{},,saule,79243,57760,72110
,StandardOrth,,,1-530-197-1,{},,mēness,79244,57761,73220
,StandardOrth,,,1-540-197-1,{},,zvaigzne,79245,57762,73194
,StandardOrth,,,1-550-197-1,{},,zibens,79246,57763,73198
,StandardOrth,,,1-560-197-1,{},,pērkons,79247,57764,73095
,StandardOrth,,,1-570-197-1,{},,pērkons un zibens,79248,57765,72240
,StandardOrth,,,1-580-197-1,{},,vētra,79249,57766,72099
,StandardOrth,,,1-580-197-3,{},,auka,79250,57766,73442
,StandardOrth,,,1-590-197-1,{},,varavīksne,79251,57767,72132
,StandardOrth,,,1-610-197-1,{},,gaisma,79252,57768,72675
,StandardOrth,,,1-620-197-1,{},,tumsa,79253,57769,73211
,StandardOrth,,,1-630-197-1,{},,ēna,79254,57770,72344
,StandardOrth,,,1-630-197-3,{},,paēna,79255,57770,72659
,StandardOrth,,,1-630-197-5,{},,pavēnis,79256,57770,73585
,StandardOrth,,,1-640-197-1,{},,rasa,79257,57771,73410
,StandardOrth,,,1-710-197-1,{},,gaiss,79258,57772,72425
,StandardOrth,,,1-720-197-1,{},,vējš,79259,57773,72921
,StandardOrth,,,1-730-197-1,{},,mākonis,79260,57774,72030
,StandardOrth,,,1-730-197-3,{},,padebeši,79261,57774,73148
,StandardOrth,,,1-740-197-1,{},,migla,79262,57775,72463
,StandardOrth,,,1-750-197-1,{},,lietus,79263,57776,72819
,StandardOrth,,,1-760-197-1,{},,sniegs,79264,57777,73547
,StandardOrth,,,1-770-197-1,{},,ledus,79265,57778,72685
,StandardOrth,,,1-780-197-1,{},,laiks,79266,57779,72401
,StandardOrth,,,1-810-197-1,{},,uguns,79267,57780,72523
,StandardOrth,,,1-820-197-1,{},,liesma,79268,57781,73044
,StandardOrth,,,1-830-197-1,{},,dūmi,79269,57782,72702
,StandardOrth,,,1-840-197-1,{},,pelni,79270,57783,73565
,StandardOrth,,,1-841-197-1,{},,ogles,79271,57784,72424
,StandardOrth,,,1-851-197-1,{},,dedzināt,79272,57785,73373
,StandardOrth,,,1-852-197-1,{},,degt,79273,57786,72549
,StandardOrth,,,1-860-197-1,{},,aiz- ~ ie-,79274,57787,72410
,StandardOrth,,,1-860-197-3,{},,dedzināt (-degt),79275,57787,72195
,StandardOrth,,,1-861-197-1,{},,(iz)dzēst,79276,57788,72658
,StandardOrth,,,1-870-197-1,{},,sērkocin̩š,79277,57789,72803
,StandardOrth,,,1-880-197-1,{},,malka,79278,57790,72941
,StandardOrth,,,1-880-197-3,{},,kurināmais,79279,57790,72560
,StandardOrth,,,1-890-197-1,{},,ogle,79280,57791,72508
,StandardOrth,,,1-890-197-3,{},,ogles,79281,57791,72424
,StandardOrth,,,1-890-197-5,{},,[koka],79282,57791,73451
,StandardOrth,,,2-100-197-1,{},,cilvēks,79283,57792,72781
,StandardOrth,,,2-210-197-1,{},,vīrietis,79284,57793,72738
,StandardOrth,,,2-220-197-1,{},,sieviete,79285,57794,72145
,StandardOrth,,,2-230-197-1,{},,tēvin̩š,79286,57795,72126
,StandardOrth,,,2-240-197-1,{},,mātīte,79287,57796,72100
,StandardOrth,,,2-250-197-1,{},,zēns,79288,57797,73175
,StandardOrth,,,2-250-197-3,{},,puisis,79289,57797,72407
,StandardOrth,,,2-251-197-1,{},,jaunietis,79290,57798,73016
,StandardOrth,,,2-251-197-3,{},,jauneklis,79291,57798,72609
