confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,CyrillTrans,,,1-100-64-1,{},,дуьньйа,367709,290267,329302
,CyrillTrans,,,1-210-64-1,{},,чил,367706,290265,330523
,CyrillTrans,,,1-210-64-3,{},,уьлкве,367707,290265,329659
,CyrillTrans,,,1-212-64-1,{},,накьв,367703,290263,330153
,CyrillTrans,,,1-212-64-3,{},,чил,367704,290263,330523
,CyrillTrans,,,1-213-64-1,{},,руг,367700,290261,330125
,CyrillTrans,,,1-214-64-1,{},,палчух,367696,290259,329736
,CyrillTrans,,,1-214-64-3,{},,кьар,367697,290259,329991
,CyrillTrans,,,1-214-64-5,{},,чирк,367698,290259,330330
,CyrillTrans,,,1-215-64-1,{},,къум,367693,290257,329106
,CyrillTrans,,,1-220-64-1,{},,дагъ,367689,290255,329152
,CyrillTrans,,,1-220-64-3,{},,кІунтІ,367690,290255,330138
,CyrillTrans,,,1-222-64-1,{},,чарх,367684,290253,329753
,CyrillTrans,,,1-222-64-3,{},,тик чарх,367685,290253,329783
,CyrillTrans,,,1-222-64-5,{},,тик кьвал,367686,290253,329308
,CyrillTrans,,,1-230-64-1,{},,дуьзен,367679,290251,329200
,CyrillTrans,,,1-230-64-3,{},,чуьл,367680,290251,329869
,CyrillTrans,,,1-240-64-1,{},,дугун,367676,290249,329813
,CyrillTrans,,,1-240-64-3,{},,дере,367677,290249,329821
,CyrillTrans,,,1-250-64-1,{},,остров,367674,290247,329282
,CyrillTrans,,,1-260-64-1,{},,континент,367672,290245,330538
,CyrillTrans,,,1-270-64-1,{},,къерех,367669,290243,330557
,CyrillTrans,,,1-270-64-3,{},,йаха,367670,290243,330670
,CyrillTrans,,,1-280-64-1,{},,кьветІ,367666,290241,329763
,CyrillTrans,,,1-280-64-3,{},,магъара,367667,290241,330014
,CyrillTrans,,,1-310-64-1,{},,йад,367663,290239,329294
,CyrillTrans,,,1-320-64-1,{},,гьуьл,367661,290237,329781
,CyrillTrans,,,1-322-64-1,{},,секин,367659,290235,329440
,CyrillTrans,,,1-323-64-1,{},,къати,367657,290233,330587
,CyrillTrans,,,1-324-64-1,{},,каф,367655,290231,329852
,CyrillTrans,,,1-329-64-1,{},,океан,367653,290229,330678
,CyrillTrans,,,1-330-64-1,{},,вир,367651,290227,330003
