confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Phonemic,,,1-100-236-1,{},,ao,133120,94279,121339
,Phonemic,,,1-210-236-1,{},,ao,133121,94280,121339
,Phonemic,,,1-210-236-3,{},,whenua,133122,94280,121267
,Phonemic,,,1-212-236-1,{},,one-one,133123,94281,121016
,Phonemic,,,1-212-236-3,{},,paru,133124,94281,121542
,Phonemic,,,1-212-236-5,{},,whenua,133125,94281,121267
,Phonemic,,,1-212-236-7,{},,papa,133126,94281,121758
,Phonemic,,,1-213-236-1,{},,nehu,133127,94282,121635
,Phonemic,,,1-213-236-3,{},,puehu,133128,94282,121661
,Phonemic,,,1-214-236-1,{},,paru,133129,94283,121542
,Phonemic,,,1-214-236-3,{},,paru-paru,133130,94283,121788
,Phonemic,,,1-214-236-5,{},,one,133131,94283,120597
,Phonemic,,,1-215-236-1,{},,one-puu,133132,94284,120510
,Phonemic,,,1-215-236-3,{},,one,133133,94284,120597
,Phonemic,,,1-220-236-1,{},,mauŋa,133134,94285,120954
,Phonemic,,,1-220-236-3,{},,puke,133135,94285,120855
,Phonemic,,,1-222-236-1,{},,pari,133136,94286,121539
,Phonemic,,,1-230-236-1,{},,paa-tiki,133137,94287,121620
,Phonemic,,,1-230-236-3,{},,taiapa,133138,94287,120844
,Phonemic,,,1-230-236-5,{},,maania,133139,94287,120972
,Phonemic,,,1-230-236-7,{},,rao-rao,133140,94287,121415
,Phonemic,,,1-230-236-9,{},,parae,133141,94287,121246
,Phonemic,,,1-240-236-1,{},,awa-awa,133142,94288,120911
,Phonemic,,,1-240-236-3,{},,riu,133143,94288,121644
,Phonemic,,,1-240-236-5,{},,whaarua,133144,94288,120549
,Phonemic,,,1-250-236-1,{},,motu,133145,94289,121647
,Phonemic,,,1-250-236-3,{},,moutere,133146,94289,121679
,Phonemic,,,1-260-236-1,{},,tua-whenua,133147,94290,121258
,Phonemic,,,1-270-236-1,{},,taha,133148,94291,121519
,Phonemic,,,1-270-236-3,{},,taha-taha,133149,94291,122068
,Phonemic,,,1-270-236-5,{},,pare-ŋa,133150,94291,121824
,Phonemic,,,1-270-236-7,{},,one,133151,94291,120597
,Phonemic,,,1-280-236-1,{},,ana,133152,94292,121099
,Phonemic,,,1-280-236-3,{},,rua,133153,94292,121708
,Phonemic,,,1-310-236-1,{},,wai,133154,94293,120861
,Phonemic,,,1-320-236-1,{},,moana,133155,94294,121170
,Phonemic,,,1-320-236-3,{},,tai,133156,94294,121860
,Phonemic,,,1-323-236-1,{},,ŋaru-ŋaru,133157,94295,121422
,Phonemic,,,1-323-236-3,{},,kare-kare,133158,94295,120477
,Phonemic,,,1-324-236-1,{},,huka,133159,94296,121158
,Phonemic,,,1-329-236-1,{},,moana,133160,94297,121170
,Phonemic,,,1-330-236-1,{},,roto,133161,94298,122114
,Phonemic,,,1-330-236-3,{},,moana,133162,94298,121170
,Phonemic,,,1-340-236-1,{},,kokoru,133163,94299,121564
,Phonemic,,,1-343-236-1,{},,rae,133164,94300,120672
,Phonemic,,,1-343-236-3,{},,kuu-rae,133165,94300,121183
,Phonemic,,,1-343-236-5,{},,more,133166,94300,121425
,Phonemic,,,1-343-236-7,{},,kuu-more,133167,94300,120662
,Phonemic,,,1-350-236-1,{},,ŋaru,133168,94301,121408
,Phonemic,,,1-352-236-1,{},,tai,133169,94302,121860
,Phonemic,,,1-353-236-1,{},,tai timu,133170,94303,121048
,Phonemic,,,1-353-236-3,{},,timu,133171,94303,120897
,Phonemic,,,1-353-236-5,{},,mimiti,133172,94303,120891
,Phonemic,,,1-354-236-1,{},,tai pari,133173,94304,121562
,Phonemic,,,1-360-236-1,{},,awa,133174,94305,121977
,Phonemic,,,1-360-236-3,{},,maŋa,133175,94305,121082
,Phonemic,,,1-360-236-5,{},,wai,133176,94305,120861
,Phonemic,,,1-362-236-1,{},,ripo-ripo,133177,94306,121003
,Phonemic,,,1-362-236-3,{},,aawhio-whio,133178,94306,122189
,Phonemic,,,1-370-236-1,{},,puna,133179,94307,121059
,Phonemic,,,1-370-236-3,{},,poka wai,133180,94307,121770
,Phonemic,,,1-380-236-1,{},,repo,133181,94308,121147
,Phonemic,,,1-390-236-1,{},,rere,133182,94309,121389
,Phonemic,,,1-390-236-3,{},,taaheke,133183,94309,120853
,Phonemic,,,1-390-236-5,{},,wai-rere,133184,94309,121899
,Phonemic,,,1-410-236-1,{},,ŋahere,133185,94310,121237
