confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Phonemic,,,1-100-147-1,{},,tü'ɲa,14721,12208,13195
,Phonemic,,,1-210-147-1,{},,'mlanðe,14720,12207,12629
,Phonemic,,,1-212-147-1,{},,'r̃ok,14719,12206,12787
,Phonemic,,,1-213-147-1,{},,pu'r̃ak,14718,12205,13197
,Phonemic,,,1-214-147-1,{},,laβ'r̃a,14717,12204,13186
,Phonemic,,,1-215-147-1,{},,oš'ma,14716,12203,12784
,Phonemic,,,1-220-147-1,{},,'kur̃ək,14715,12202,13126
,Phonemic,,,1-222-147-1,{},,tu'r̃a,14714,12201,13798
,Phonemic,,,1-230-147-1,{},,pa'su,14713,12200,13525
,Phonemic,,,1-240-147-1,{},,'lop,14712,12199,13820
,Phonemic,,,1-250-147-1,{},,'ostr̃oβ,14711,12198,13352
,Phonemic,,,1-260-147-1,{},,'mlanðe,14710,12197,12629
,Phonemic,,,1-270-147-1,{},,ser̃,14709,12196,12583
,Phonemic,,,1-280-147-1,{},,pe'šʸer̃a,14708,12195,13555
,Phonemic,,,1-310-147-1,{},,'βüð,14707,12194,13771
,Phonemic,,,1-320-147-1,{},,'teŋəz,14706,12193,12807
,Phonemic,,,1-322-147-1,{},,'təmək,14705,12192,13803
,Phonemic,,,1-323-147-1,{},,tor̃'ža,14704,12191,13760
,Phonemic,,,1-324-147-1,{},,'šoŋ,14703,12190,13286
,Phonemic,,,1-329-147-1,{},,oke'an,14702,12189,13379
,Phonemic,,,1-330-147-1,{},,'yer̃,14701,12188,13541
,Phonemic,,,1-340-147-1,{},,ik'sa,14700,12187,13727
,Phonemic,,,1-341-147-1,{},,la'ɣuna ~ ik'sa,14699,12186,12626
,Phonemic,,,1-342-147-1,{},,'r̃iΦ,14698,12185,13618
,Phonemic,,,1-343-147-1,{},,'ser̃ 'ner̃,14697,12184,12950
,Phonemic,,,1-350-147-1,{},,'tolkən,14696,12183,13600
,Phonemic,,,1-352-147-1,{},,'βüð tem'maš,14695,12182,12717
,Phonemic,,,1-353-147-1,{},,'βüð čʸaknə'maš,14694,12181,13664
,Phonemic,,,1-354-147-1,{},,küzə'maš,14693,12180,13847
,Phonemic,,,1-360-147-1,{},,e'ŋer̃,14692,12179,12815
,Phonemic,,,1-362-147-1,{},,βüðpör̃'ðem,14691,12178,13486
,Phonemic,,,1-370-147-1,{},,pa'maš,14690,12177,13624
,Phonemic,,,1-380-147-1,{},,'kup,14689,12176,13035
,Phonemic,,,1-390-147-1,{},,βüð'βočʸ,14688,12175,12603
,Phonemic,,,1-410-147-1,{},,kož'la,14687,12174,13140
,Phonemic,,,1-420-147-1,{},,pu'šeŋɣe,14686,12173,12846
,Phonemic,,,1-430-147-1,{},,čʸoðə'r̃a,14685,12172,13870
,Phonemic,,,1-440-147-1,{},,'kü,14684,12171,13724
,Phonemic,,,1-450-147-1,{},,'mlanðe čʸətər̃nal'tmaš,14683,12170,12962
,Phonemic,,,1-510-147-1,{},,ka'βa,14682,12169,13419
,Phonemic,,,1-520-147-1,{},,'kečʸe,14681,12168,13064
,Phonemic,,,1-530-147-1,{},,'təlze,14680,12167,13085
,Phonemic,,,1-540-147-1,{},,'šüðər̃,14679,12166,13108
,Phonemic,,,1-550-147-1,{},,βol'ɣenčʸe,14678,12165,13499
