confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Phonemic,,,1-100-706-1,{},,pṛthibī,384815,304333,346376
,Phonemic,,,1-210-706-1,{},,jamina,384816,304334,346381
,Phonemic,,,1-212-706-1,{},,jamina,384817,304335,346381
,Phonemic,,,1-213-706-1,{},,dhūlō,384818,304336,345769
,Phonemic,,,1-214-706-1,{},,māṭō,384819,304337,345825
,Phonemic,,,1-215-706-1,{},,bāluvā,384820,304338,345878
,Phonemic,,,1-220-706-1,{},,pahāḍa,384821,304339,346673
,Phonemic,,,1-222-706-1,{},,bhīra,384822,304340,346643
,Phonemic,,,1-230-706-1,{},,maidāna,384823,304341,346241
,Phonemic,,,1-240-706-1,{},,upatyakā,384824,304342,346296
,Phonemic,,,1-250-706-1,{},,tápu,384825,304343,345783
,Phonemic,,,1-270-706-1,{},,ghāṭa,384826,304344,345854
,Phonemic,,,1-280-706-1,{},,guphā,384827,304345,346300
,Phonemic,,,1-310-706-1,{},,pānī,384828,304346,346016
,Phonemic,,,1-320-706-1,{},,samudra,384829,304347,345755
,Phonemic,,,1-322-706-1,{},,madhurō,384830,304348,345953
,Phonemic,,,1-323-706-1,{},,apṭhyārō,384831,304349,346655
,Phonemic,,,1-324-706-1,{},,phīñja,384832,304350,345850
,Phonemic,,,1-329-706-1,{},,samudra,384833,304351,345755
,Phonemic,,,1-330-706-1,{},,tāla,384834,304352,346225
,Phonemic,,,1-350-706-1,{},,taranga,384835,304353,345992
,Phonemic,,,1-360-706-1,{},,nadī,384836,304354,345961
,Phonemic,,,1-370-706-1,{},,ināra,384837,304355,346018
,Phonemic,,,1-380-706-1,{},,gaddar,384838,304356,346097
,Phonemic,,,1-390-706-1,{},,jhanār,384839,304357,346021
,Phonemic,,,1-410-706-1,{},,jaṅgala,384840,304358,346191
,Phonemic,,,1-430-706-1,{},,kāṭha,384841,304359,346264
,Phonemic,,,1-440-706-1,{},,patthara,384842,304360,346664
,Phonemic,,,1-450-706-1,{},,bhūkampa,384843,304361,346302
,Phonemic,,,1-510-706-1,{},,ākāśa,384844,304362,346477
,Phonemic,,,1-520-706-1,{},,ghāma,384845,304363,346100
,Phonemic,,,1-530-706-1,{},,candramā,384846,304364,346421
,Phonemic,,,1-540-706-1,{},,tārā,384847,304365,346166
,Phonemic,,,1-550-706-1,{},,caṭyāṅa,384848,304366,345730
,Phonemic,,,1-560-706-1,{},,gaḍyāṅaguḍuṅa,384849,304367,346163
,Phonemic,,,1-570-706-1,{},,caṭyāṅa,384850,304368,345730
,Phonemic,,,1-580-706-1,{},,ān̐dhī,384851,304369,346150
,Phonemic,,,1-590-706-1,{},,indrēnī,384852,304370,346220
,Phonemic,,,1-610-706-1,{},,ujyālō,384853,304371,346659
,Phonemic,,,1-620-706-1,{},,andhakāra,384854,304372,345837
,Phonemic,,,1-630-706-1,{},,chāyā,384855,304373,346272
,Phonemic,,,1-640-706-1,{},,sit,384856,304374,345913
,Phonemic,,,1-640-706-3,{},,os,384857,304374,346583
,Phonemic,,,1-710-706-1,{},,hāvā,384858,304375,345715
,Phonemic,,,1-720-706-1,{},,batāsa,384859,304376,346567
,Phonemic,,,1-730-706-1,{},,bādala,384860,304377,346235
,Phonemic,,,1-740-706-1,{},,kuirō or hussu,384861,304378,346618
,Phonemic,,,1-750-706-1,{},,pānī,384862,304379,346016
,Phonemic,,,1-760-706-1,{},,hiu,384863,304380,346249
