confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,StandardOrth,,,1-100-203-1,{},,świat,88478,64348,82394
,StandardOrth,,,1-210-203-1,{},,ziemia,88479,64349,82192
,StandardOrth,,,1-210-203-3,{},,ląd,88480,64349,82140
,StandardOrth,,,1-212-203-1,{},,ziemia,88481,64350,82192
,StandardOrth,,,1-212-203-3,{},,teren,88482,64350,82103
,StandardOrth,,,1-212-203-5,{},,gleba,88483,64350,81214
,StandardOrth,,,1-213-203-1,{},,proch,88484,64351,80883
,StandardOrth,,,1-213-203-3,{},,kurz,88485,64351,81452
,StandardOrth,,,1-214-203-1,{},,błoto,88486,64352,81576
,StandardOrth,,,1-215-203-1,{},,piasek,88487,64353,81928
,StandardOrth,,,1-220-203-1,{},,góra,88488,64354,82399
,StandardOrth,,,1-220-203-3,{},,pagórek,88489,64354,81192
,StandardOrth,,,1-220-203-5,{},,wzgórek,88490,64354,81222
,StandardOrth,,,1-222-203-1,{},,urwisko,88491,64355,82207
,StandardOrth,,,1-230-203-1,{},,równina,88492,64356,81138
,StandardOrth,,,1-230-203-3,{},,pole,88493,64356,81526
,StandardOrth,,,1-230-203-5,{},,płaszczyzna,88494,64356,81176
,StandardOrth,,,1-240-203-1,{},,dolina,88495,64357,80920
,StandardOrth,,,1-240-203-3,{},,padół,88496,64357,82325
,StandardOrth,,,1-250-203-1,{},,wyspa,88497,64358,81596
,StandardOrth,,,1-260-203-1,{},,stały ląd,88498,64359,81494
,StandardOrth,,,1-270-203-1,{},,brzeg,88499,64360,82580
,StandardOrth,,,1-270-203-3,{},,wybrzeże,88500,64360,82327
,StandardOrth,,,1-280-203-1,{},,jaskinia,88501,64361,81331
,StandardOrth,,,1-280-203-3,{},,grota,88502,64361,81238
,StandardOrth,,,1-310-203-1,{},,woda,88503,64362,80782
,StandardOrth,,,1-320-203-1,{},,morze,88504,64363,80970
,StandardOrth,,,1-322-203-1,{},,spokój,88505,64364,81139
,StandardOrth,,,1-322-203-3,{},,cisza,88506,64364,82334
,StandardOrth,,,1-323-203-1,{},,burzliwy,88507,64365,80776
,StandardOrth,,,1-323-203-3,{},,wzburzony,88508,64365,82062
,StandardOrth,,,1-324-203-1,{},,piana,88509,64366,82430
,StandardOrth,,,1-329-203-1,{},,ocean,88510,64367,81079
,StandardOrth,,,1-330-203-1,{},,jezioro,88511,64368,81789
,StandardOrth,,,1-340-203-1,{},,zatoka,88512,64369,81372
,StandardOrth,,,1-341-203-1,{},,laguna,88513,64370,81485
,StandardOrth,,,1-342-203-1,{},,rafa,88514,64371,81780
,StandardOrth,,,1-343-203-1,{},,przylądek,88515,64372,81108
,StandardOrth,,,1-350-203-1,{},,fala,88516,64373,81733
,StandardOrth,,,1-350-203-3,{},,wał,88517,64373,82534
,StandardOrth,,,1-352-203-1,{},,przypływ,88518,64374,81125
,StandardOrth,,,1-352-203-3,{},,odpływ,88519,64374,82443
,StandardOrth,,,1-353-203-1,{},,odpływ,88520,64375,82443
,StandardOrth,,,1-354-203-1,{},,przypływ,88521,64376,81125
,StandardOrth,,,1-360-203-1,{},,rzeka,88522,64377,81119
,StandardOrth,,,1-360-203-3,{},,potok,88523,64377,81148
,StandardOrth,,,1-360-203-5,{},,strumyk,88524,64377,81397
,StandardOrth,,,1-360-203-7,{},,ruczaj,88525,64377,81618
,StandardOrth,,,1-362-203-1,{},,wir,88526,64378,82253
,StandardOrth,,,1-370-203-1,{},,studnia,88527,64379,81919
,StandardOrth,,,1-370-203-3,{},,źródło,88528,64379,82061
,StandardOrth,,,1-370-203-5,{},,zdrój,88529,64379,81371
,StandardOrth,,,1-380-203-1,{},,bagno,88530,64380,81165
,StandardOrth,,,1-380-203-3,{},,moczary,88531,64380,80983
,StandardOrth,,,1-390-203-1,{},,wodospad,88532,64381,81258
,StandardOrth,,,1-410-203-1,{},,las,88533,64382,80859
,StandardOrth,,,1-410-203-3,{},,bór,88534,64382,82490
,StandardOrth,,,1-410-203-5,{},,puszcza,88535,64382,81696
,StandardOrth,,,1-410-203-7,{},,knieja,88536,64382,81053
,StandardOrth,,,1-420-203-1,{},,drzewo,88537,64383,81800
,StandardOrth,,,1-430-203-1,{},,drzewo,88538,64384,81800
,StandardOrth,,,1-430-203-3,{},,drewno,88539,64384,81421
