confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,StandardOrth,,,1-100-178-1,{},,mundo,42522,35002,39376
,StandardOrth,,,1-210-178-1,{},,terreno,42523,35003,38827
,StandardOrth,,,1-212-178-1,{},,solo,42524,35004,39616
,StandardOrth,,,1-212-178-3,{},,chão,42525,35004,38635
,StandardOrth,,,1-213-178-1,{},,pó,42526,35005,39325
,StandardOrth,,,1-214-178-1,{},,lama,42527,35006,39855
,StandardOrth,,,1-214-178-3,{},,lodo,42528,35006,38597
,StandardOrth,,,1-215-178-1,{},,areia,42529,35007,39302
,StandardOrth,,,1-220-178-1,{},,montanha,42530,35008,38819
,StandardOrth,,,1-220-178-3,{},,morro,42531,35008,39732
,StandardOrth,,,1-222-178-1,{},,penhasco,42532,35009,39552
,StandardOrth,,,1-222-178-3,{},,precipício,42533,35009,38710
,StandardOrth,,,1-230-178-1,{},,campo,42534,35010,38889
,StandardOrth,,,1-230-178-3,{},,planície,42535,35010,39625
,StandardOrth,,,1-230-178-5,{},,savannah,42536,35010,40055
,StandardOrth,,,1-240-178-1,{},,vale,42537,35011,39443
,StandardOrth,,,1-250-178-1,{},,ilha,42538,35012,38797
,StandardOrth,,,1-260-178-1,{},,terra firme,42539,35013,39635
,StandardOrth,,,1-270-178-1,{},,margem,42540,35014,39481
,StandardOrth,,,1-270-178-3,{},,costa,42541,35014,39287
,StandardOrth,,,1-270-178-5,{},,praia,42542,35014,40040
,StandardOrth,,,1-280-178-1,{},,caverna,42543,35015,40008
,StandardOrth,,,1-280-178-3,{},,gruta,42544,35015,39813
,StandardOrth,,,1-310-178-1,{},,água,42545,35016,40077
,StandardOrth,,,1-320-178-1,{},,mar,42546,35017,39091
,StandardOrth,,,1-322-178-1,{},,calma,42547,35018,39486
,StandardOrth,,,1-322-178-3,{},,calmaria,42548,35018,39575
,StandardOrth,,,1-323-178-1,{},,tempestuoso,42549,35019,39416
,StandardOrth,,,1-324-178-1,{},,espuma,42550,35020,38603
,StandardOrth,,,1-329-178-1,{},,oceano,42551,35021,38583
,StandardOrth,,,1-330-178-1,{},,lago,42552,35022,38951
,StandardOrth,,,1-340-178-1,{},,baía,42553,35023,40050
,StandardOrth,,,1-341-178-1,{},,laguna,42554,35024,39211
,StandardOrth,,,1-342-178-1,{},,recife,42555,35025,39216
,StandardOrth,,,1-343-178-1,{},,cabo,42556,35026,39739
,StandardOrth,,,1-343-178-3,{},,promontório,42557,35026,39082
,StandardOrth,,,1-350-178-1,{},,onda,42558,35027,40052
,StandardOrth,,,1-352-178-1,{},,maré,42559,35028,39871
,StandardOrth,,,1-353-178-1,{},,maré baixa,42560,35029,39745
,StandardOrth,,,1-353-178-3,{},,maré vazia,42561,35029,39417
,StandardOrth,,,1-354-178-1,{},,maré alta,42562,35030,39458
,StandardOrth,,,1-354-178-3,{},,preamar,42563,35030,39273
,StandardOrth,,,1-354-178-5,{},,praiamar,42564,35030,39964
,StandardOrth,,,1-360-178-1,{},,rio,42565,35031,39664
