confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Phonemic,,,1-100-707-1,{},,jahāna,385913,305371,346799
,Phonemic,,,1-100-707-3,{},,duniyā,385914,305371,346743
,Phonemic,,,1-210-707-1,{},,jamīna,385915,305372,346843
,Phonemic,,,1-210-707-3,{},,dharatī,385916,305372,347675
,Phonemic,,,1-210-707-5,{},,bhūmī,385917,305372,347734
,Phonemic,,,1-212-707-1,{},,miṭī,385918,305373,347155
,Phonemic,,,1-213-707-1,{},,miṭī,385919,305374,347155
,Phonemic,,,1-213-707-3,{},,khāka,385920,305374,346713
,Phonemic,,,1-214-707-1,{},,miṭī,385921,305375,347155
,Phonemic,,,1-214-707-3,{},,chikaṛa,385922,305375,347176
,Phonemic,,,1-214-707-5,{},,kicaṛa,385923,305375,347596
,Phonemic,,,1-215-707-1,{},,rēta,385924,305376,347163
,Phonemic,,,1-215-707-3,{},,bālū,385925,305376,346979
,Phonemic,,,1-220-707-1,{},,parabata,385926,305377,347667
,Phonemic,,,1-220-707-3,{},,pahāṛa,385927,305377,347637
,Phonemic,,,1-220-707-5,{},,pahāṛī,385928,305377,347434
,Phonemic,,,1-222-707-1,{},,caṭāna,385929,305378,347504
,Phonemic,,,1-230-707-1,{},,maidāna,385930,305379,348031
,Phonemic,,,1-240-707-1,{},,vādī,385931,305380,348078
,Phonemic,,,1-240-707-3,{},,ghāṭī,385932,305380,347107
,Phonemic,,,1-250-707-1,{},,dīpa,385933,305381,347433
,Phonemic,,,1-250-707-3,{},,ṭāpū,385934,305381,346962
,Phonemic,,,1-270-707-1,{},,kinārā,385935,305382,348020
,Phonemic,,,1-270-707-3,{},,tīra,385936,305382,346932
,Phonemic,,,1-280-707-1,{},,gufā,385937,305383,348182
,Phonemic,,,1-310-707-1,{},,pāṇī,385938,305384,347305
,Phonemic,,,1-310-707-3,{},,jala,385939,305384,346823
,Phonemic,,,1-320-707-1,{},,sāgara,385940,305385,347526
,Phonemic,,,1-320-707-3,{},,samudara,385941,305385,346749
,Phonemic,,,1-320-707-5,{},,samundara,385942,305385,346710
,Phonemic,,,1-322-707-1,{},,sakūna,385943,305386,348197
,Phonemic,,,1-323-707-1,{},,rollā,385944,305387,347867
