confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,StandardOrth,,,1-100-179-1,{},,lume,44196,36312,40423
,StandardOrth,,,1-210-179-1,{},,pamînt,44197,36313,41244
,StandardOrth,,,1-210-179-3,{},,ţară,44198,36313,40289
,StandardOrth,,,1-213-179-1,{},,praf,44199,36314,40477
,StandardOrth,,,1-213-179-3,{},,pulbere,44200,36314,40713
,StandardOrth,,,1-214-179-1,{},,noroiu,44201,36315,41167
,StandardOrth,,,1-215-179-1,{},,nisip,44202,36316,40811
,StandardOrth,,,1-220-179-1,{},,munte,44203,36317,40803
,StandardOrth,,,1-220-179-3,{},,deal,44204,36317,41099
,StandardOrth,,,1-220-179-5,{},,colina,44205,36317,41007
,StandardOrth,,,1-230-179-1,{},,cîmp,44206,36318,40736
,StandardOrth,,,1-240-179-1,{},,vale,44207,36319,40269
,StandardOrth,,,1-250-179-1,{},,insulă,44208,36320,40405
,StandardOrth,,,1-250-179-3,{},,(ostrov),44209,36320,40744
,StandardOrth,,,1-260-179-1,{},,continent,44210,36321,41044
,StandardOrth,,,1-270-179-1,{},,mal,44211,36322,40425
,StandardOrth,,,1-270-179-3,{},,ţărm,44212,36322,40495
,StandardOrth,,,1-270-179-5,{},,coastă,44213,36322,40809
,StandardOrth,,,1-310-179-1,{},,apă,44214,36323,40487
,StandardOrth,,,1-320-179-1,{},,mare,44215,36324,40898
,StandardOrth,,,1-330-179-1,{},,lac,44216,36325,40417
,StandardOrth,,,1-340-179-1,{},,golf,44217,36326,40747
,StandardOrth,,,1-350-179-1,{},,val,44218,36327,41199
,StandardOrth,,,1-350-179-3,{},,talaz,44219,36327,40401
,StandardOrth,,,1-350-179-5,{},,(undă),44220,36327,40787
,StandardOrth,,,1-360-179-1,{},,fluviu,44221,36328,41249
,StandardOrth,,,1-360-179-3,{},,rîŭ,44222,36328,40353
,StandardOrth,,,1-360-179-5,{},,pîrîŭ,44223,36328,40673
,StandardOrth,,,1-370-179-1,{},,izvor,44224,36329,40431
,StandardOrth,,,1-370-179-3,{},,puţ,44225,36329,41088
,StandardOrth,,,1-370-179-5,{},,fîntînă,44226,36329,40490
,StandardOrth,,,1-410-179-1,{},,pădure,44227,36330,41131
,StandardOrth,,,1-420-179-1,{},,arbore,44228,36331,40456
,StandardOrth,,,1-420-179-3,{},,copac,44229,36331,40439
,StandardOrth,,,1-430-179-1,{},,lemn,44230,36332,40377
,StandardOrth,,,1-440-179-1,{},,piatră,44231,36333,40637
,StandardOrth,,,1-440-179-3,{},,stîncă,44232,36333,40972
,StandardOrth,,,1-440-179-5,{},,rocă,44233,36333,40833
,StandardOrth,,,1-510-179-1,{},,cer,44234,36334,40493
,StandardOrth,,,1-520-179-1,{},,soare,44235,36335,41266
,StandardOrth,,,1-530-179-1,{},,lună,44236,36336,40988
,StandardOrth,,,1-540-179-1,{},,stea,44237,36337,41140
,StandardOrth,,,1-550-179-1,{},,fulger,44238,36338,40330
,StandardOrth,,,1-560-179-1,{},,tunet,44239,36339,40810
,StandardOrth,,,1-570-179-1,{},,trăsnet,44240,36340,40253
,StandardOrth,,,1-610-179-1,{},,lumină,44241,36341,41015
,StandardOrth,,,1-620-179-1,{},,întuneric,44242,36342,41274
,StandardOrth,,,1-630-179-1,{},,umbră,44243,36343,40262
,StandardOrth,,,1-710-179-1,{},,aer,44244,36344,40793
,StandardOrth,,,1-710-179-3,{},,vazduh,44245,36344,40361
,StandardOrth,,,1-720-179-1,{},,vînt,44246,36345,40172
,StandardOrth,,,1-730-179-1,{},,nor,44247,36346,40497
,StandardOrth,,,1-740-179-1,{},,ceaţă,44248,36347,40398
,StandardOrth,,,1-740-179-3,{},,negură,44249,36347,40342
,StandardOrth,,,1-750-179-1,{},,ploaie,44250,36348,40190
,StandardOrth,,,1-760-179-1,{},,zăpadă,44251,36349,40320
,StandardOrth,,,1-770-179-1,{},,ghiaţă,44252,36350,40795
,StandardOrth,,,1-780-179-1,{},,timp,44253,36351,41305
,StandardOrth,,,1-780-179-3,{},,vreme,44254,36351,40388
,StandardOrth,,,1-810-179-1,{},,foc,44255,36352,41130
,StandardOrth,,,1-820-179-1,{},,flacără,44256,36353,40986
,StandardOrth,,,1-830-179-1,{},,fum,44257,36354,40952
,StandardOrth,,,1-840-179-1,{},,cenuşe,44258,36355,40838
,StandardOrth,,,1-860-179-1,{},,aprinde,44259,36356,41017
,StandardOrth,,,1-860-179-3,{},,încinge,44260,36356,41091
,StandardOrth,,,1-870-179-1,{},,chibrit,44261,36357,40935
,StandardOrth,,,2-100-179-1,{},,om,44262,36358,41160
,StandardOrth,,,2-210-179-1,{},,bărbat,44263,36359,40817
,StandardOrth,,,2-210-179-3,{},,om,44264,36359,41160
,StandardOrth,,,2-220-179-1,{},,femeie,44265,36360,41043
,StandardOrth,,,2-230-179-1,{},,bărbătesc,44266,36361,40287
,StandardOrth,,,2-240-179-1,{},,femeiesc,44267,36362,40243
,StandardOrth,,,2-250-179-1,{},,băiat,44268,36363,41138
,StandardOrth,,,2-250-179-3,{},,(făt),44269,36363,40238
