confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Phonemic,,,1-100-204-1,{},,mir,90518,65657,84056
,Phonemic,,,1-100-204-3,{},,svet,90519,65657,83563
,Phonemic,,,1-210-204-1,{},,zemlja,90520,65658,82750
,Phonemic,,,1-212-204-1,{},,počva,90521,65659,82812
,Phonemic,,,1-213-204-1,{},,pyl,90522,65660,82995
,Phonemic,,,1-214-204-1,{},,grjaz,90523,65661,84109
,Phonemic,,,1-215-204-1,{},,pesok,90524,65662,83022
,Phonemic,,,1-220-204-1,{},,gora,90525,65663,83166
,Phonemic,,,1-220-204-3,{},,cholm,90526,65663,83813
,Phonemic,,,1-220-204-5,{},,xolm,90527,65663,83571
,Phonemic,,,1-222-204-1,{},,skala,90528,65664,83790
,Phonemic,,,1-230-204-1,{},,ravnina,90529,65665,82730
,Phonemic,,,1-230-204-3,{},,pole,90530,65665,83391
,Phonemic,,,1-240-204-1,{},,dolina,90531,65666,82803
,Phonemic,,,1-250-204-1,{},,ostrov,90532,65667,83524
,Phonemic,,,1-260-204-1,{},,materik,90533,65668,83856
,Phonemic,,,1-270-204-1,{},,bereg,90534,65669,83600
,Phonemic,,,1-270-204-3,{},,poberež ́je,90535,65669,83154
,Phonemic,,,1-280-204-1,{},,pečera,90536,65670,83720
,Phonemic,,,1-310-204-1,{},,voda,90537,65671,83004
,Phonemic,,,1-320-204-1,{},,more,90538,65672,83536
,Phonemic,,,1-322-204-1,{},,zatiš ́je,90539,65673,83941
,Phonemic,,,1-323-204-1,{},,burnoe more,90540,65674,83682
,Phonemic,,,1-324-204-1,{},,pena,90541,65675,83582
,Phonemic,,,1-329-204-1,{},,okean,90542,65676,82673
,Phonemic,,,1-330-204-1,{},,ozero,90543,65677,84239
,Phonemic,,,1-340-204-1,{},,zaliv,90544,65678,83033
,Phonemic,,,1-341-204-1,{},,laguna,90545,65679,83291
,Phonemic,,,1-342-204-1,{},,rif,90546,65680,83757
,Phonemic,,,1-343-204-1,{},,mys,90547,65681,84244
,Phonemic,,,1-350-204-1,{},,volna (val),90548,65682,83694
,Phonemic,,,1-352-204-1,{},,morskoj priliv i otliv,90549,65683,83345
,Phonemic,,,1-353-204-1,{},,nizšaja točka otliva,90550,65684,83807
,Phonemic,,,1-354-204-1,{},,vysšaja točka priliva,90551,65685,83940
,Phonemic,,,1-360-204-1,{},,reka,90552,65686,82700
,Phonemic,,,1-360-204-3,{},,potok,90553,65686,82992
,Phonemic,,,1-360-204-5,{},,ručej,90554,65686,83219
,Phonemic,,,1-362-204-1,{},,vodovorot,90555,65687,83697
,Phonemic,,,1-370-204-1,{},,ključ,90556,65688,83613
,Phonemic,,,1-370-204-3,{},,rodnik,90557,65688,82706
,Phonemic,,,1-370-204-5,{},,istočnik,90558,65688,83365
,Phonemic,,,1-370-204-7,{},,kolodec,90559,65688,83925
,Phonemic,,,1-380-204-1,{},,boloto,90560,65689,83699
,Phonemic,,,1-390-204-1,{},,vodopad,90561,65690,83706
,Phonemic,,,1-410-204-1,{},,les,90562,65691,83913
,Phonemic,,,1-420-204-1,{},,derevo,90563,65692,83802
,Phonemic,,,1-430-204-1,{},,derevo,90564,65693,83802
,Phonemic,,,1-440-204-1,{},,kamen,90565,65694,83400
,Phonemic,,,1-450-204-1,{},,zemle trjasenie,90566,65695,84223
,Phonemic,,,1-510-204-1,{},,nebo,90567,65696,83255
,Phonemic,,,1-520-204-1,{},,solnce,90568,65697,83419
,Phonemic,,,1-530-204-1,{},,luna (mesjac),90569,65698,83692
,Phonemic,,,1-540-204-1,{},,zvezda,90570,65699,83222
,Phonemic,,,1-550-204-1,{},,molnija,90571,65700,83799
,Phonemic,,,1-560-204-1,{},,grom,90572,65701,83145
,Phonemic,,,1-570-204-1,{},,molnija,90573,65702,83799
,Phonemic,,,1-580-204-1,{},,burja,90574,65703,84143
,Phonemic,,,1-590-204-1,{},,raduga,90575,65704,84011
,Phonemic,,,1-610-204-1,{},,svet,90576,65705,83563
,Phonemic,,,1-620-204-1,{},,temnota,90577,65706,83869
,Phonemic,,,1-620-204-3,{},,t ́ma,90578,65706,83732
,Phonemic,,,1-620-204-5,{},,mrak,90579,65706,83991
,Phonemic,,,1-630-204-1,{},,ten ́,90580,65707,83645
,Phonemic,,,1-640-204-1,{},,rosa,90581,65708,83375
,Phonemic,,,1-710-204-1,{},,vozdux,90582,65709,83583
,Phonemic,,,1-720-204-1,{},,veter,90583,65710,82927
,Phonemic,,,1-730-204-1,{},,oblako,90584,65711,82990
,Phonemic,,,1-730-204-3,{},,tuča,90585,65711,83437
,Phonemic,,,1-740-204-1,{},,tuman,90586,65712,83844
,Phonemic,,,1-740-204-3,{},,mgla,90587,65712,84240
,Phonemic,,,1-750-204-1,{},,dožd,90588,65713,83852
,Phonemic,,,1-760-204-1,{},,sneg,90589,65714,83327
,Phonemic,,,1-770-204-1,{},,led,90590,65715,83909
,Phonemic,,,1-780-204-1,{},,pogoda,90591,65716,83367
,Phonemic,,,1-810-204-1,{},,ogon,90592,65717,83071
,Phonemic,,,1-820-204-1,{},,plamja,90593,65718,83961
,Phonemic,,,1-830-204-1,{},,dym,90594,65719,83288
,Phonemic,,,1-840-204-1,{},,pepel,90595,65720,82782
,Phonemic,,,1-841-204-1,{},,poslednie krasnye ugol ́ki,90596,65721,83936
,Phonemic,,,1-851-204-1,{},,žeč,90597,65722,82904
,Phonemic,,,1-852-204-1,{},,goret,90598,65723,82853
,Phonemic,,,1-860-204-1,{},,zažeč,90599,65724,83475
,Phonemic,,,1-861-204-1,{},,tušit ́,90600,65725,83870
,Phonemic,,,1-861-204-3,{},,gasit,90601,65725,83379
,Phonemic,,,1-870-204-1,{},,spička,90602,65726,83796
,Phonemic,,,1-880-204-1,{},,drova,90603,65727,83223
,Phonemic,,,1-890-204-1,{},,drevesnyj ugal,90604,65728,83322
,Phonemic,,,2-100-204-1,{},,čelovek,90605,65729,83259
,Phonemic,,,2-210-204-1,{},,mužčina,90606,65730,83727
,Phonemic,,,2-220-204-1,{},,ženščina,90607,65731,83232
,Phonemic,,,2-230-204-1,{},,mužskoj,90608,65732,84258
,Phonemic,,,2-240-204-1,{},,ženskij,90609,65733,83065
,Phonemic,,,2-250-204-1,{},,mal ́čik,90610,65734,84211
,Phonemic,,,2-251-204-1,{},,junoša,90611,65735,83935
,Phonemic,,,2-251-204-3,{},,podrostok,90612,65735,83491
,Phonemic,,,2-260-204-1,{},,devočka,90613,65736,84115
,Phonemic,,,2-261-204-1,{},,devuška,90614,65737,82877
,Phonemic,,,2-270-204-1,{},,rebenok (deti),90615,65738,82686
,Phonemic,,,2-280-204-1,{},,mladenec,90616,65739,83725
,Phonemic,,,2-310-204-1,{},,muž,90617,65740,83573
,Phonemic,,,2-310-204-3,{},,suprug,90618,65740,83805
,Phonemic,,,2-320-204-1,{},,žena,90619,65741,84222
,Phonemic,,,2-320-204-3,{},,supruga,90620,65741,84184
,Phonemic,,,2-330-204-1,{},,ženit ́sja,90621,65742,83452
,Phonemic,,,2-330-204-3,{},,vyiti za muž,90622,65742,82922
,Phonemic,,,2-340-204-1,{},,brak,90623,65743,82892
,Phonemic,,,2-340-204-3,{},,supružestvo,90624,65743,82805
,Phonemic,,,2-340-204-5,{},,ženit ́ba,90625,65743,83330
,Phonemic,,,2-340-204-7,{},,zamužestvo,90626,65743,83508
,Phonemic,,,2-340-204-9,{},,svad ́ba,90627,65743,83056
,Phonemic,,,2-341-204-1,{},,razvod,90628,65744,82806
,Phonemic,,,2-350-204-1,{},,otec,90629,65745,83181
,Phonemic,,,2-360-204-1,{},,mat,90630,65746,83144
,Phonemic,,,2-370-204-1,{},,roditeli,90631,65747,84018
