confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Phonemic,,,1-100-151-1,{},,mir̃,17208,14404,15219
,Phonemic,,,1-210-151-1,{},,təttɨ,17207,14403,15082
,Phonemic,,,1-212-151-1,{},,čʸu,17206,14402,15312
,Phonemic,,,1-213-151-1,{},,tuspo,17205,14401,15198
,Phonemic,,,1-214-151-1,{},,tam,17204,14400,15140
,Phonemic,,,1-215-151-1,{},,ḳor̃a,17203,14399,15963
,Phonemic,,,1-220-151-1,{},,maḳḳa,17201,14398,15815
,Phonemic,,,1-220-151-3,{},,ḳə,17202,14398,15478
,Phonemic,,,1-230-151-1,{},,nur̃ḳɨlʸ təttɨ,17200,14397,15561
,Phonemic,,,1-250-151-1,{},,mar̃kɨ,17199,14396,14979
,Phonemic,,,1-270-151-1,{},,ḳanɨk,17198,14395,15892
,Phonemic,,,1-310-151-1,{},,üt,17197,14394,15006
,Phonemic,,,1-320-151-1,{},,mor̃æ,17195,14393,15034
,Phonemic,,,1-320-151-3,{},,čʸɔntɨs,17196,14393,15223
,Phonemic,,,1-322-151-1,{},,sümɨkɨtɨlʸ,17194,14392,15231
,Phonemic,,,1-323-151-1,{},,sümɨsɨmɨlʸ,17193,14391,15895
,Phonemic,,,1-324-151-1,{},,šʸi,17192,14390,15581
,Phonemic,,,1-330-151-1,{},,to,17191,14389,14971
,Phonemic,,,1-340-151-1,{},,ḳalsɨ,17190,14388,15888
,Phonemic,,,1-343-151-1,{},,soḳḳɨ ~ soḳ,17189,14387,15122
,Phonemic,,,1-350-151-1,{},,ḳɔmpɨ,17188,14386,15894
,Phonemic,,,1-360-151-1,{},,ḳoltɨ,17185,14385,15205
,Phonemic,,,1-360-151-3,{},,kɨ,17186,14385,15425
,Phonemic,,,1-360-151-5,{},,kɩkæ,17187,14385,15301
,Phonemic,,,1-362-151-1,{},,pur̃ɨlʸta,17183,14384,15936
,Phonemic,,,1-362-151-3,{},,küŋɨlʸ kolʸa,17184,14384,15594
,Phonemic,,,1-370-151-1,{},,ɔtɨr̃,17181,14383,15922
,Phonemic,,,1-370-151-3,{},,tɛr̃ɨ,17182,14383,15838
,Phonemic,,,1-380-151-1,{},,nʸar̃ɨ,17179,14382,15854
,Phonemic,,,1-380-151-3,{},,lɨmpæ,17180,14382,15933
,Phonemic,,,1-410-151-1,{},,mačʸɨ,17177,14381,14978
,Phonemic,,,1-410-151-3,{},,sæḳḳɨ,17178,14381,15576
,Phonemic,,,1-420-151-1,{},,po,17176,14380,15617
,Phonemic,,,1-430-151-1,{},,po,17175,14379,15617
,Phonemic,,,1-440-151-1,{},,pü,17174,14378,15835
,Phonemic,,,1-510-151-1,{},,nom,17173,14377,15227
,Phonemic,,,1-520-151-1,{},,čʸelɨ,17172,14376,15148
,Phonemic,,,1-530-151-1,{},,ir̃ætɨ,17171,14375,15054
,Phonemic,,,1-540-151-1,{},,ḳišʸḳæ,17170,14374,15503
,Phonemic,,,1-550-151-1,{},,nuttü,17169,14373,15161
,Phonemic,,,1-560-151-1,{},,ḳɔn,17168,14372,15649
,Phonemic,,,1-570-151-1,{},,nuttü,17167,14371,15161
,Phonemic,,,1-580-151-1,{},,pusḳa,17165,14370,15499
