confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Phonemic,,,1-100-176-1,{},,mundo,39224,32383,36280
,Phonemic,,,1-210-176-1,{},,tierra,39225,32384,36952
,Phonemic,,,1-212-176-1,{},,suelo,39226,32385,35796
,Phonemic,,,1-213-176-1,{},,polvo,39227,32386,36420
,Phonemic,,,1-214-176-1,{},,lodo,39228,32387,35470
,Phonemic,,,1-215-176-1,{},,arena,39229,32388,36354
,Phonemic,,,1-220-176-1,{},,montaɲa,39230,32389,35579
,Phonemic,,,1-220-176-3,{},,loma,39231,32389,36355
,Phonemic,,,1-220-176-5,{},,cerro,39232,32389,35794
,Phonemic,,,1-222-176-1,{},,acantilado,39233,32390,35859
,Phonemic,,,1-222-176-3,{},,barranca,39234,32390,36967
,Phonemic,,,1-230-176-1,{},,pampa,39235,32391,35695
,Phonemic,,,1-230-176-3,{},,llanura,39236,32391,36758
,Phonemic,,,1-230-176-5,{},,campo,39237,32391,35749
,Phonemic,,,1-240-176-1,{},,valle,39238,32392,35941
,Phonemic,,,1-250-176-1,{},,isla,39239,32393,36172
,Phonemic,,,1-260-176-1,{},,continente,39240,32394,36266
,Phonemic,,,1-260-176-3,{},,tierra firme,39241,32394,36031
,Phonemic,,,1-270-176-1,{},,ribera,39242,32395,35557
,Phonemic,,,1-270-176-3,{},,playa,39243,32395,36754
,Phonemic,,,1-270-176-5,{},,costa,39244,32395,36187
,Phonemic,,,1-280-176-1,{},,cueva,39245,32396,35718
,Phonemic,,,1-280-176-3,{},,gruta,39246,32396,36761
,Phonemic,,,1-310-176-1,{},,agua,39247,32397,36731
,Phonemic,,,1-320-176-1,{},,mar,39248,32398,35968
,Phonemic,,,1-322-176-1,{},,calma,39249,32399,36398
,Phonemic,,,1-323-176-1,{},,agitado (mar),39250,32400,36315
,Phonemic,,,1-323-176-3,{},,borrascoso,39251,32400,36564
,Phonemic,,,1-324-176-1,{},,espuma,39252,32401,35477
,Phonemic,,,1-329-176-1,{},,océano,39253,32402,35995
,Phonemic,,,1-330-176-1,{},,lago,39254,32403,35813
,Phonemic,,,1-340-176-1,{},,golfo,39255,32404,36957
,Phonemic,,,1-340-176-3,{},,bahía,39256,32404,37054
,Phonemic,,,1-341-176-1,{},,laguna,39257,32405,36104
,Phonemic,,,1-342-176-1,{},,arrecife,39258,32406,36904
,Phonemic,,,1-343-176-1,{},,promontorio,39259,32407,36015
,Phonemic,,,1-343-176-3,{},,punta,39260,32407,36123
,Phonemic,,,1-350-176-1,{},,ola,39261,32408,35805
,Phonemic,,,1-352-176-1,{},,marea,39262,32409,36861
,Phonemic,,,1-353-176-1,{},,bajamar,39263,32410,36556
,Phonemic,,,1-354-176-1,{},,pleamar,39264,32411,36343
,Phonemic,,,1-360-176-1,{},,río,39265,32412,36908
,Phonemic,,,1-360-176-3,{},,corriente,39266,32412,36129
,Phonemic,,,1-360-176-5,{},,arroyo,39267,32412,35716
,Phonemic,,,1-362-176-1,{},,remolino,39268,32413,35880
,Phonemic,,,1-370-176-1,{},,manantial,39269,32414,35528
,Phonemic,,,1-370-176-3,{},,pozo,39270,32414,36661
,Phonemic,,,1-380-176-1,{},,pantano,39271,32415,35447
,Phonemic,,,1-390-176-1,{},,cascada,39272,32416,35979
,Phonemic,,,1-390-176-3,{},,salto,39273,32416,36384
,Phonemic,,,1-410-176-1,{},,bosque,39274,32417,36318
,Phonemic,,,1-410-176-3,{},,selva,39275,32417,35800
,Phonemic,,,1-420-176-1,{},,árbol,39276,32418,36966
,Phonemic,,,1-430-176-1,{},,madera,39277,32419,35449
,Phonemic,,,1-440-176-1,{},,piedra,39278,32420,36779
,Phonemic,,,1-440-176-3,{},,roca,39279,32420,36009
,Phonemic,,,1-450-176-1,{},,terremoto,39280,32421,36273
,Phonemic,,,1-450-176-3,{},,temblor,39281,32421,36201
,Phonemic,,,1-510-176-1,{},,cielo,39282,32422,35523
,Phonemic,,,1-520-176-1,{},,sol,39283,32423,35996
,Phonemic,,,1-530-176-1,{},,luna,39284,32424,37079
,Phonemic,,,1-540-176-1,{},,estrella,39285,32425,36534
,Phonemic,,,1-550-176-1,{},,relámpago,39286,32426,36331
,Phonemic,,,1-560-176-1,{},,trueno,39287,32427,36867
,Phonemic,,,1-570-176-1,{},,rayo,39288,32428,35966
,Phonemic,,,1-580-176-1,{},,tempestad,39289,32429,35761
,Phonemic,,,1-580-176-3,{},,tormenta,39290,32429,36987
,Phonemic,,,1-590-176-1,{},,arco iris,39291,32430,36072
,Phonemic,,,1-610-176-1,{},,luz,39292,32431,36963
,Phonemic,,,1-620-176-1,{},,oscuridad,39293,32432,36317
,Phonemic,,,1-620-176-3,{},,tinieblas,39294,32432,36403
,Phonemic,,,1-630-176-1,{},,sombra,39295,32433,36601
,Phonemic,,,1-640-176-1,{},,rocío,39296,32434,35676
,Phonemic,,,1-710-176-1,{},,aire,39297,32435,35600
,Phonemic,,,1-720-176-1,{},,viento,39298,32436,36167
,Phonemic,,,1-730-176-1,{},,nube,39299,32437,36509
,Phonemic,,,1-740-176-1,{},,neblina,39300,32438,36673
,Phonemic,,,1-740-176-3,{},,niebla,39301,32438,35497
,Phonemic,,,1-750-176-1,{},,lluvia,39302,32439,35960
,Phonemic,,,1-760-176-1,{},,nieve,39303,32440,36977
,Phonemic,,,1-770-176-1,{},,hielo,39304,32441,36520
,Phonemic,,,1-780-176-1,{},,tiempo,39305,32442,37013
,Phonemic,,,1-810-176-1,{},,fuego,39306,32443,36312
,Phonemic,,,1-820-176-1,{},,llama,39307,32444,36735
,Phonemic,,,1-830-176-1,{},,humo,39308,32445,35878
,Phonemic,,,1-840-176-1,{},,cenizas,39309,32446,36575
,Phonemic,,,1-841-176-1,{},,brasas,39310,32447,36975
,Phonemic,,,1-851-176-1,{},,quemar,39311,32448,36875
,Phonemic,,,1-851-176-3,{},,quemarse,39312,32448,36005
,Phonemic,,,1-852-176-1,{},,arder,39313,32449,36185
,Phonemic,,,1-860-176-1,{},,encender,39314,32450,36854
,Phonemic,,,1-861-176-1,{},,apagar,39315,32451,36036
,Phonemic,,,1-861-176-3,{},,extinguir,39316,32451,36459
,Phonemic,,,1-870-176-1,{},,fósforo,39317,32452,35728
,Phonemic,,,1-870-176-3,{},,cerilla,39318,32452,36155
,Phonemic,,,1-880-176-1,{},,leɲa,39319,32453,35799
,Phonemic,,,1-890-176-1,{},,carbón,39320,32454,35619
,Phonemic,,,2-100-176-1,{},,persona,39321,32455,36177
,Phonemic,,,2-210-176-1,{},,hombre,39322,32456,35970
,Phonemic,,,2-220-176-1,{},,mujer,39323,32457,36635
,Phonemic,,,2-230-176-1,{},,varón,39324,32458,36149
,Phonemic,,,2-230-176-3,{},,macho,39325,32458,35879
,Phonemic,,,2-240-176-1,{},,hembra,39326,32459,35661
,Phonemic,,,2-250-176-1,{},,muchacho,39327,32460,36250
,Phonemic,,,2-251-176-1,{},,el joven,39328,32461,36524
,Phonemic,,,2-260-176-1,{},,muchacha,39329,32462,36249
,Phonemic,,,2-261-176-1,{},,la joven,39330,32463,36268
,Phonemic,,,2-270-176-1,{},,niɲo,39331,32464,35667
,Phonemic,,,2-280-176-1,{},,niɲo,39332,32465,35667
,Phonemic,,,2-280-176-3,{},,bebé,39333,32465,35875
,Phonemic,,,2-280-176-5,{},,nene,39334,32465,36351
,Phonemic,,,2-310-176-1,{},,marido,39335,32466,35502
,Phonemic,,,2-310-176-3,{},,esposo,39336,32466,35817
,Phonemic,,,2-320-176-1,{},,esposa,39337,32467,35818
,Phonemic,,,2-330-176-1,{},,casarse,39338,32468,36630
,Phonemic,,,2-340-176-1,{},,casamiento,39339,32469,35896
,Phonemic,,,2-340-176-3,{},,boda,39340,32469,36581
,Phonemic,,,2-341-176-1,{},,divorcio,39341,32470,35493
,Phonemic,,,2-350-176-1,{},,padre,39342,32471,35541
,Phonemic,,,2-360-176-1,{},,madre,39343,32472,36825
,Phonemic,,,2-370-176-1,{},,padres,39344,32473,37018
,Phonemic,,,2-380-176-1,{},,hombre casado,39345,32474,36916
,Phonemic,,,2-390-176-1,{},,mujer casada,39346,32475,36269
,Phonemic,,,2-410-176-1,{},,hijo,39347,32476,35712
,Phonemic,,,2-420-176-1,{},,hija,39348,32477,35715
,Phonemic,,,2-430-176-1,{},,hijo,39349,32478,35712
,Phonemic,,,2-430-176-3,{},,hija,39350,32478,35715
,Phonemic,,,2-440-176-1,{},,hermano,39351,32479,35452
,Phonemic,,,2-444-176-1,{},,hermano mayor,39352,32480,36991
,Phonemic,,,2-445-176-1,{},,hermano menor,39353,32481,35779
,Phonemic,,,2-450-176-1,{},,hermana,39354,32482,35451
,Phonemic,,,2-454-176-1,{},,hermana mayor,39355,32483,36030
,Phonemic,,,2-455-176-1,{},,hermana menor,39356,32484,36757
,Phonemic,,,2-456-176-1,{},,hermano/ hermana,39357,32485,36538
,Phonemic,,,2-458-176-1,{},,gemelos,39358,32486,35851
,Phonemic,,,2-458-176-3,{},,mellizo,39359,32486,36961
,Phonemic,,,2-460-176-1,{},,abuelo,39360,32487,36859
,Phonemic,,,2-461-176-1,{},,anciano,39361,32488,36444
,Phonemic,,,2-461-176-3,{},,hombre viejo,39362,32488,36902
,Phonemic,,,2-470-176-1,{},,abuela,39363,32489,36862
,Phonemic,,,2-471-176-1,{},,anciana,39364,32490,36445
,Phonemic,,,2-471-176-3,{},,mujer vieja,39365,32490,36669
,Phonemic,,,2-480-176-1,{},,nieto,39366,32491,36736
,Phonemic,,,2-490-176-1,{},,nieta,39367,32492,36734
,Phonemic,,,2-510-176-1,{},,tío,39368,32493,35572
,Phonemic,,,2-511-176-1,{},,hermano de la madre,39369,32494,36389
,Phonemic,,,2-512-176-1,{},,hermano del padre,39370,32495,36774
,Phonemic,,,2-520-176-1,{},,tía,39371,32496,35575
,Phonemic,,,2-521-176-1,{},,hermana de la madre,39372,32497,35538
,Phonemic,,,2-522-176-1,{},,hermana del padre,39373,32498,36586
,Phonemic,,,2-530-176-1,{},,sobrino,39374,32499,36776
,Phonemic,,,2-540-176-1,{},,sobrina,39375,32500,36781
,Phonemic,,,2-550-176-1,{},,primo/ prima,39376,32501,35551
,Phonemic,,,2-560-176-1,{},,antepasados,39377,32502,36840
,Phonemic,,,2-570-176-1,{},,descendientes,39378,32503,35926
,Phonemic,,,2-610-176-1,{},,suegro,39379,32504,36562
,Phonemic,,,2-611-176-1,{},,suegro,39380,32505,36562
,Phonemic,,,2-620-176-1,{},,suegra,39381,32506,36565
,Phonemic,,,2-621-176-1,{},,suegra,39382,32507,36565
,Phonemic,,,2-630-176-1,{},,yerno,39383,32508,36166
,Phonemic,,,2-631-176-1,{},,yerno,39384,32509,36166
,Phonemic,,,2-640-176-1,{},,nuera,39385,32510,36180
,Phonemic,,,2-641-176-1,{},,nuera,39386,32511,36180
,Phonemic,,,2-710-176-1,{},,padrastro,39387,32512,36574
,Phonemic,,,2-720-176-1,{},,madrastra,39388,32513,35459
,Phonemic,,,2-730-176-1,{},,hijastro,39389,32514,35950
,Phonemic,,,2-730-176-3,{},,entenado,39390,32514,36921
,Phonemic,,,2-740-176-1,{},,hijastra,39391,32515,35951
,Phonemic,,,2-740-176-3,{},,entenada,39392,32515,36920
,Phonemic,,,2-750-176-1,{},,huérfano/ huérfana,39393,32516,35539
,Phonemic,,,2-760-176-1,{},,viuda,39394,32517,35831
,Phonemic,,,2-770-176-1,{},,viudo,39395,32518,35826
,Phonemic,,,2-810-176-1,{},,parientes,39396,32519,35844
,Phonemic,,,2-810-176-3,{},,parentela,39397,32519,36738
,Phonemic,,,2-820-176-1,{},,familia,39398,32520,36688
,Phonemic,,,2-910-176-1,{},,yo,39399,32521,36428
,Phonemic,,,2-920-176-1,{},,tú,39400,32522,36289
,Phonemic,,,2-920-176-3,{},,usted,39401,32522,36277
,Phonemic,,,2-930-176-1,{},,él/ ella/ ello,39402,32523,36794
,Phonemic,,,2-940-176-1,{},,nosotros/ nosotras,39403,32524,36261
,Phonemic,,,2-941-176-1,{},,nosotros/ nosotras,39404,32525,36261
,Phonemic,,,2-942-176-1,{},,nosotros/ nosotras,39405,32526,36261
