confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Phonemic,,,1-100-709-1,{},,ila,388763,307760,349950
,Phonemic,,,1-100-709-3,{},,kuwalayam,388764,307760,349690
,Phonemic,,,1-100-709-5,{},,jagam,388765,307760,352108
,Phonemic,,,1-100-709-7,{},,jagattu,388766,307760,352634
,Phonemic,,,1-100-709-9,{},,jagati,388767,307760,351182
,Phonemic,,,1-210-709-1,{},,bhuumi,388768,307761,351863
,Phonemic,,,1-210-709-3,{},,neela,388769,307761,353011
,Phonemic,,,1-212-709-1,{},,iriNam,388770,307762,351761
,Phonemic,,,1-212-709-3,{},,uppucawDu,388771,307762,350682
,Phonemic,,,1-212-709-5,{},,ubbaneela,388772,307762,351621
,Phonemic,,,1-212-709-7,{},,erracawuDu,388773,307762,352049
,Phonemic,,,1-212-709-9,{},,garapaneela,388774,307762,351596
,Phonemic,,,1-212-709-11,{},,cawkaneela,388775,307762,351997
,Phonemic,,,1-212-709-13,{},,tuwwa,388776,307762,352747
,Phonemic,,,1-212-709-15,{},,duwwa,388777,307762,350700
,Phonemic,,,1-212-709-17,{},,dubba,388778,307762,352534
,Phonemic,,,1-213-709-1,{},,awakaram,388779,307763,352938
,Phonemic,,,1-213-709-3,{},,dummu,388780,307763,352077
,Phonemic,,,1-213-709-5,{},,duwwa,388781,307763,350700
,Phonemic,,,1-213-709-7,{},,duusaram,388782,307763,350109
,Phonemic,,,1-213-709-9,{},,dhuuLi,388783,307763,351828
,Phonemic,,,1-213-709-11,{},,duuLi,388784,307763,350718
,Phonemic,,,1-213-709-13,{},,paamśuwu,388785,307763,350502
,Phonemic,,,1-214-709-1,{},,aDusu,388786,307764,352928
,Phonemic,,,1-214-709-3,{},,dammu,388787,307764,351476
,Phonemic,,,1-214-709-5,{},,pankam,388788,307764,351986
,Phonemic,,,1-214-709-7,{},,banda,388789,307764,350124
,Phonemic,,,1-214-709-9,{},,burada,388790,307764,352679
,Phonemic,,,1-214-709-11,{},,rompi,388791,307764,351032
,Phonemic,,,1-215-709-1,{},,waaluka,388792,307765,349638
,Phonemic,,,1-215-709-3,{},,isuka,388793,307765,351015
,Phonemic,,,1-220-709-1,{},,koNDa,388794,307766,350411
