confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Phonemic,,,1-100-403-1,{},,lo:k.4,259546,197384,232351
,Phonemic,,,1-210-403-1,{},,phɛn.3 din.1,259355,197200,231789
,Phonemic,,,1-212-403-1,{},,din.1,259334,197179,232544
,Phonemic,,,1-213-403-1,{},,fun.3,259327,197172,232246
,Phonemic,,,1-214-403-1,{},,khi:.3 kho:n.2,259325,197170,231642
,Phonemic,,,1-215-403-1,{},,sa:i.2,259323,197168,231592
,Phonemic,,,1-220-403-1,{},,phu:.2 khau.1,259317,197164,231974
,Phonemic,,,1-222-403-1,{},,na:.3 pha:.1,259288,197136,232178
,Phonemic,,,1-230-403-1,{},,thoŋ.4,259280,197129,232436
,Phonemic,,,1-240-403-1,{},,hup.5 khau.1,259251,197101,232526
,Phonemic,,,1-250-403-1,{},,kɔ.5,259225,197077,232041
,Phonemic,,,1-260-403-1,{},,phɛn.3 din.1,259199,197052,231789
,Phonemic,,,1-270-403-1,{},,ta.5 liŋ.3,259179,197033,232590
,Phonemic,,,1-280-403-1,{},,tham.4 (tham.3),259155,197011,231903
,Phonemic,,,1-310-403-1,{},,na:m.4,259125,196984,232015
,Phonemic,,,1-320-403-1,{},,tha.4 le:.2,259100,196961,232313
,Phonemic,,,1-322-403-1,{},,khlɨ:n.4,259078,196940,231833
,Phonemic,,,1-323-403-1,{},,khlɨ:n.4,259079,196941,231833
,Phonemic,,,1-324-403-1,{},,fɔ:ŋ.2,259080,196942,231888
,Phonemic,,,1-329-403-1,{},,tha.4 le:.2,259076,196938,232313
,Phonemic,,,1-330-403-1,{},,tha.4 le:.2 sa:p.3,259075,196937,232364
,Phonemic,,,1-340-403-1,{},,ʔa:u.3,259045,196911,232516
,Phonemic,,,1-341-403-1,{},,tha.4 le:.2,259027,196893,232313
,Phonemic,,,1-342-403-1,{},,hin.1,259024,196890,232017
,Phonemic,,,1-343-403-1,{},,lɛ:m.1,259018,196886,232168
,Phonemic,,,1-350-403-1,{},,khlɨ:n.4,259015,196883,231833
,Phonemic,,,1-352-403-1,{},,na:m.4 lai.1,258994,196862,231843
,Phonemic,,,1-353-403-1,{},,na:m.4 bok.5,258991,196859,232456
,Phonemic,,,1-354-403-1,{},,na:m.4 khɨn.3,258987,196855,232212
,Phonemic,,,1-360-403-1,{},,huai.3,258988,196856,232209
,Phonemic,,,1-362-403-1,{},,na:m.4 mun.1,258969,196837,232271
,Phonemic,,,1-370-403-1,{},,na:m.4 phu.4,258968,196836,232024
,Phonemic,,,1-380-403-1,{},,nɔ:ŋ.1 na:m.4,258944,196812,232620
,Phonemic,,,1-390-403-1,{},,na:m.4 tok.5,258925,196794,232269
,Phonemic,,,1-410-403-1,{},,pa:.3,258912,196781,231568
,Phonemic,,,1-420-403-1,{},,ton.4 mai.4,258890,196760,231559
,Phonemic,,,1-430-403-1,{},,mai.4,258864,196734,232228
,Phonemic,,,1-440-403-1,{},,hin.1,258843,196714,232017
,Phonemic,,,1-450-403-1,{},,pɛ:n.3 din.1 wai.1,258814,196685,231848
,Phonemic,,,1-510-403-1,{},,tho:ŋ.4 fa:.4,258682,196566,231863
,Phonemic,,,1-520-403-1,{},,ta.5 wan.2,258660,196546,232002
,Phonemic,,,1-530-403-1,{},,dɨ:an.1 ca:u.4,258635,196524,232039
,Phonemic,,,1-540-403-1,{},,da:u.1,258623,196512,232408
,Phonemic,,,1-550-403-1,{},,fa:.4 lɛ:p.4,258605,196496,232203
,Phonemic,,,1-560-403-1,{},,fa:.4 lɔ:ŋ.4,258777,196652,232065
,Phonemic,,,1-570-403-1,{},,fa:.4 pha:.3,258715,196596,231949
,Phonemic,,,1-580-403-1,{},,pha:.2 ju.4,259060,196926,231947
,Phonemic,,,1-590-403-1,{},,luŋ.4 kin.1 na:m.4,258636,196525,232035
,Phonemic,,,1-610-403-1,{},,dɛ:t.3,258897,196767,232116
,Phonemic,,,1-620-403-1,{},,mɨ:t.4,259274,197123,232137
,Phonemic,,,1-630-403-1,{},,ŋau.2,259574,197412,232169
,Phonemic,,,1-640-403-1,{},,na:m.4 kha:ŋ.4,259595,197430,232297
,Phonemic,,,1-710-403-1,{},,ʔa:.1 ka:t.3,259671,197502,232598
,Phonemic,,,1-720-403-1,{},,lom.2,259689,197517,231526
,Phonemic,,,1-730-403-1,{},,me:k.4,259701,197529,231793
,Phonemic,,,1-740-403-1,{},,mɔ:k.3,259713,197541,231867
,Phonemic,,,1-750-403-1,{},,fon.1,259726,197554,232177
,Phonemic,,,1-760-403-1,{},,hi.5 ma.4,259740,197566,232352
,Phonemic,,,1-770-403-1,{},,na:m.4 khɛ:ŋ.1,259755,197579,232240
,Phonemic,,,1-780-403-1,{},,ʔa:.1 ka:t.3,259768,197592,232598
,Phonemic,,,1-810-403-1,{},,fai.2,259789,197613,231687
,Phonemic,,,1-820-403-1,{},,pe:u.1 fai.2,259812,197635,232554
,Phonemic,,,1-830-403-1,{},,khuan.2,259828,197650,232378
,Phonemic,,,1-840-403-1,{},,khi:.4 thau.4 (khi:.3 thau.3),259844,197664,232632
,Phonemic,,,1-841-403-1,{},,tha:n.3 fai.2,259857,197675,232332
,Phonemic,,,1-851-403-1,{},,phau.1,259869,197687,232347
,Phonemic,,,1-852-403-1,{},,luk.4,259872,197690,231730
,Phonemic,,,1-852-403-3,{},,mai.3,259873,197690,232589
,Phonemic,,,1-860-403-1,{},,kɔ:.3 fai.2,259884,197699,231926
,Phonemic,,,1-861-403-1,{},,dap.5,259891,197705,231939
,Phonemic,,,1-870-403-1,{},,mai.4 khi:t.3 fai.2,259892,197706,232219
,Phonemic,,,1-880-403-1,{},,fɨ:n.2,259897,197711,232103
,Phonemic,,,1-890-403-1,{},,tha:n.3,259904,197718,232048
,Phonemic,,,2-100-403-1,{},,khon.2,259547,197385,231744
,Phonemic,,,2-210-403-1,{},,phu:.3 cha:i.2,259352,197197,231982
,Phonemic,,,2-220-403-1,{},,phu:.3 jiŋ.1,259316,197163,231640
,Phonemic,,,2-230-403-1,{},,phu:.3 cha:i.2,259279,197128,231982
,Phonemic,,,2-240-403-1,{},,phu:.3 jiŋ.1,259250,197100,231640
,Phonemic,,,2-250-403-1,{},,dek.5 nɔ:i.4,259224,197076,232021
,Phonemic,,,2-251-403-1,{},,num.3,259204,197057,231547
,Phonemic,,,2-260-403-1,{},,dek.5 nɔ:i.4,259198,197051,232021
,Phonemic,,,2-261-403-1,{},,sa:u.1,259181,197035,232465
,Phonemic,,,2-270-403-1,{},,dek.5 nɔ:i.4,259178,197032,232021
,Phonemic,,,2-280-403-1,{},,dek.5 nɔ:i.4,259153,197009,232021
,Phonemic,,,2-310-403-1,{},,phua.1,259123,196982,232610
,Phonemic,,,2-320-403-1,{},,mi:a.2,259098,196959,231712
,Phonemic,,,2-330-403-1,{},,tɛ:ŋ.3 ŋa:n.2,259074,196936,231785
,Phonemic,,,2-340-403-1,{},,tɛ:ŋ.3 ŋa:n.2,259044,196910,231785
,Phonemic,,,2-341-403-1,{},,ja:.3,259025,196891,231990
,Phonemic,,,2-350-403-1,{},,phɔ.4,259014,196882,232567
,Phonemic,,,2-360-403-1,{},,mɛ.4,258986,196854,232394
,Phonemic,,,2-370-403-1,{},,phɔ.4 mɛ.4,258967,196835,232525
,Phonemic,,,2-380-403-1,{},,na:i.2,258940,196809,231970
,Phonemic,,,2-390-403-1,{},,na:ŋ.2,258924,196793,232216
,Phonemic,,,2-410-403-1,{},,lu:k.4 cha:i.2,258911,196780,231693
,Phonemic,,,2-420-403-1,{},,lu:k.4 sa:u.1,258889,196759,232443
,Phonemic,,,2-430-403-1,{},,la:n.1,258862,196732,232059
,Phonemic,,,2-440-403-1,{},,phi:.4 nɔ:ŋ.4,258841,196712,232626
,Phonemic,,,2-444-403-1,{},,phi:.4 cha:i.2,258816,196687,231830
,Phonemic,,,2-445-403-1,{},,no:ŋ.4 cha:i.2,258815,196686,232057
,Phonemic,,,2-450-403-1,{},,phi:.4 nɔ:ŋ.4,258810,196681,232626
,Phonemic,,,2-454-403-1,{},,phi:.4 sa:u.1,258779,196654,232184
,Phonemic,,,2-455-403-1,{},,nɔ:ŋ.4 sa:u.1,258778,196653,232437
,Phonemic,,,2-456-403-1,{},,phi:.4 nɔ:ŋ.4,258775,196650,232626
,Phonemic,,,2-458-403-1,{},,fa:.1 fɛ:t.3,258774,196649,232253
,Phonemic,,,2-460-403-1,{},,pu:.3,258772,196648,231860
,Phonemic,,,2-460-403-3,{},,ta:.1,258773,196648,232070
,Phonemic,,,2-461-403-1,{},,khon.2 thau.3,258754,196631,231684
,Phonemic,,,2-470-403-1,{},,ja:.4,258745,196623,231985
,Phonemic,,,2-470-403-3,{},,ja:i.2,258746,196623,231685
