confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Phonemic,,,1-100-710-1,{},,dzam bu gliṅ,394554,310287,355442
,Phonemic,,,1-210-710-1,{},,gliṅ,394555,310288,355346
,Phonemic,,,1-212-710-1,{},,dol sa,394556,310289,355655
,Phonemic,,,1-212-710-3,{},,źiṅ sa,394557,310289,355690
,Phonemic,,,1-213-710-1,{},,khyim sa,394558,310290,354854
,Phonemic,,,1-213-710-3,{},,rdul,394559,310290,354778
,Phonemic,,,1-215-710-1,{},,bye ma,394560,310291,355729
,Phonemic,,,1-220-710-1,{},,la,394561,310292,354957
,Phonemic,,,1-220-710-3,{},,ri,394562,310292,355051
,Phonemic,,,1-222-710-1,{},,g.yaṅ,394563,310293,355722
,Phonemic,,,1-222-710-3,{},,*g.yaṅs,394564,310293,354643
,Phonemic,,,1-230-710-1,{},,than ka,394565,310294,355788
,Phonemic,,,1-240-710-1,{},,luṅ khog,394566,310295,355304
,Phonemic,,,1-240-710-3,{},,luṅ pa,394567,310295,354639
,Phonemic,,,1-250-710-1,{},,glin phran,394568,310296,355458
,Phonemic,,,1-270-710-1,{},,chu 'gram,394569,310297,355549
,Phonemic,,,1-280-710-1,{},,brag phug,394570,310298,355578
,Phonemic,,,1-310-710-1,{},,chu,394571,310299,354817
,Phonemic,,,1-320-710-1,{},,rgya mtsho,394572,310300,355026
,Phonemic,,,1-322-710-1,{},,bol mo,394573,310301,354644
,Phonemic,,,1-323-710-1,{},,rtsub po,394574,310302,355557
,Phonemic,,,1-323-710-3,{},,rtsub,394575,310302,355808
,Phonemic,,,1-324-710-1,{},,chu lbu ba,394576,310303,355499
,Phonemic,,,1-324-710-3,{},,chu dbu ba,394577,310303,354845
,Phonemic,,,1-329-710-1,{},,rgya mtsho,394578,310304,355026
,Phonemic,,,1-330-710-1,{},,mtsho,394579,310305,354695
,Phonemic,,,1-340-710-1,{},,chu khug,394580,310306,354781
,Phonemic,,,1-350-710-1,{},,chu ldeg,394581,310307,355646
,Phonemic,,,1-360-710-1,{},,gtsang po,394582,310308,354763
,Phonemic,,,1-362-710-1,{},,gtsug,394583,310309,355168
,Phonemic,,,1-370-710-1,{},,khron pa,394584,310310,355350
,Phonemic,,,1-380-710-1,{},,dam,394585,310311,354975
,Phonemic,,,1-390-710-1,{},,chu phyar,394586,310312,354677
,Phonemic,,,1-390-710-3,{},,chu 'phyar,394587,310312,355441
,Phonemic,,,1-410-710-1,{},,śiṅ nags,394588,310313,355533
,Phonemic,,,1-430-710-1,{},,śiṅ,394589,310314,354749
,Phonemic,,,1-440-710-1,{},,rdo(-ba),394590,310315,355403
,Phonemic,,,1-450-710-1,{},,sa yoms,394591,310316,355253
,Phonemic,,,1-510-710-1,{},,gnam,394592,310317,355261
,Phonemic,,,1-520-710-1,{},,ñi ma,394593,310318,355045
,Phonemic,,,1-530-710-1,{},,zla (OT also sla),394594,310319,355043
,Phonemic,,,1-540-710-1,{},,skar ma,394595,310320,355457
