confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,CyrillTrans,,,1-100-162-1,{},,дунйал,21387,17868,19967
,CyrillTrans,,,1-100-162-3,{},,гІалам,21388,17868,19199
,CyrillTrans,,,1-210-162-1,{},,ракь,21389,17869,19403
,CyrillTrans,,,1-210-162-3,{},,хІукмат,21390,17869,19738
,CyrillTrans,,,1-212-162-1,{},,ракь,21391,17870,19403
,CyrillTrans,,,1-212-162-3,{},,мочи,21392,17870,19910
,CyrillTrans,,,1-213-162-1,{},,кьиди,21393,17871,18979
,CyrillTrans,,,1-214-162-1,{},,тутурлъи,21394,17872,19622
,CyrillTrans,,,1-215-162-1,{},,гибу,21395,17873,18841
,CyrillTrans,,,1-220-162-1,{},,хІон,21396,17874,19976
,CyrillTrans,,,1-220-162-3,{},,гупІ,21397,17874,19731
,CyrillTrans,,,1-222-162-1,{},,лъад,21398,17875,19600
,CyrillTrans,,,1-222-162-3,{},,хъохъ,21399,17875,18908
,CyrillTrans,,,1-222-162-5,{},,беки,21400,17875,18923
,CyrillTrans,,,1-230-162-1,{},,майдан,21401,17876,18970
,CyrillTrans,,,1-230-162-3,{},,мочи,21402,17876,19910
,CyrillTrans,,,1-240-162-1,{},,гога,21403,17877,19549
,CyrillTrans,,,1-250-162-1,{},,чІинкІиллъи,21404,17878,20116
,CyrillTrans,,,1-260-162-1,{},,дунйалес чІиму,21405,17879,19379
,CyrillTrans,,,1-260-162-3,{},,кантинет,21406,17879,18844
,CyrillTrans,,,1-270-162-1,{},,рагІал,21407,17880,19802
,CyrillTrans,,,1-270-162-3,{},,лилйо,21408,17880,19152
,CyrillTrans,,,1-280-162-1,{},,имху,21409,17881,20071
,CyrillTrans,,,1-310-162-1,{},,лъи,21410,17882,19616
,CyrillTrans,,,1-320-162-1,{},,ралъад,21411,17883,19526
,CyrillTrans,,,1-322-162-1,{},,гьилІаьси,21412,17884,19702
,CyrillTrans,,,1-323-162-1,{},,бизи-бутаьси,21413,17885,19932
,CyrillTrans,,,1-324-162-1,{},,муж,21414,17886,19049
,CyrillTrans,,,1-329-162-1,{},,ралъад,21415,17887,19526
,CyrillTrans,,,1-330-162-1,{},,йерезни,21416,17888,19013
,CyrillTrans,,,1-330-162-3,{},,гІалазан,21417,17888,19519
,CyrillTrans,,,1-350-162-1,{},,лабу,21418,17893,19619
,CyrillTrans,,,1-350-162-3,{},,карачел,21419,17893,18965
,CyrillTrans,,,1-352-162-1,{},,ралъад кьере айеслъи,21420,17894,19764
,CyrillTrans,,,1-352-162-3,{},,хизаза айеслъи,21421,17894,19867
,CyrillTrans,,,1-353-162-1,{},,ралъад хизаза айеслъи,21422,17895,18880
,CyrillTrans,,,1-354-162-1,{},,ралъад кьере айеслъи,21423,17896,19764
,CyrillTrans,,,1-360-162-1,{},,маду,21424,17897,19584
,CyrillTrans,,,1-360-162-3,{},,ихІу,21425,17897,19488
,CyrillTrans,,,1-362-162-1,{},,бІон,21426,17898,19203
,CyrillTrans,,,1-370-162-1,{},,кик,21427,17899,19834
,CyrillTrans,,,1-380-162-1,{},,къец,21428,17900,19965
,CyrillTrans,,,1-380-162-3,{},,кьотІу,21429,17900,19493
,CyrillTrans,,,1-390-162-1,{},,чок,21430,17901,19745
,CyrillTrans,,,1-410-162-1,{},,цихъ,21431,17902,20142
,CyrillTrans,,,1-420-162-1,{},,гъун,21432,17903,20016
,CyrillTrans,,,1-430-162-1,{},,хъаца,21433,17904,19287
,CyrillTrans,,,1-430-162-3,{},,цІарагІ,21434,17904,19518
,CyrillTrans,,,1-440-162-1,{},,гъІул,21435,17905,19117
,CyrillTrans,,,1-440-162-3,{},,лъад,21436,17905,19600
,CyrillTrans,,,1-440-162-5,{},,гуз,21437,17905,18896
,CyrillTrans,,,1-450-162-1,{},,кичуричу,21438,17906,20162
,CyrillTrans,,,1-510-162-1,{},,ас,21439,17907,19620
,CyrillTrans,,,1-520-162-1,{},,бухъ,21440,17908,20139
,CyrillTrans,,,1-530-162-1,{},,буци,21441,17909,19137
,CyrillTrans,,,1-540-162-1,{},,ца,21442,17910,19048
,CyrillTrans,,,1-550-162-1,{},,макълІу,21443,17911,19635
