confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Phonemic,,,1-100-159-1,{},,dunʸnʸe,18634,15657,16920
,Phonemic,,,1-210-159-1,{},,muzyem,18633,15656,16242
,Phonemic,,,1-212-159-1,{},,muzyem ~ sʸuy,18632,15655,17132
,Phonemic,,,1-213-159-1,{},,tuzon,18631,15654,16325
,Phonemic,,,1-214-159-1,{},,der̃i ~ nëd,18630,15653,16921
,Phonemic,,,1-215-159-1,{},,luo,18629,15652,16679
,Phonemic,,,1-220-159-1,{},,gur̃ezʸ,18628,15651,16199
,Phonemic,,,1-222-159-1,{},,meč yar̃,18627,15650,16501
,Phonemic,,,1-230-159-1,{},,busɩ ~ lud,18626,15649,16526
,Phonemic,,,1-240-159-1,{},,nʸožal ~ layɩg,18625,15648,16950
,Phonemic,,,1-250-159-1,{},,šor̃ muč,18624,15647,16765
,Phonemic,,,1-260-159-1,{},,matʸer̃ik,18623,15646,17267
,Phonemic,,,1-270-159-1,{},,yar̃dur̃,18622,15645,16637
,Phonemic,,,1-280-159-1,{},,pešʸer̃a,18621,15644,16499
,Phonemic,,,1-310-159-1,{},,vu,18620,15643,16889
,Phonemic,,,1-320-159-1,{},,zar̃ezʸ,18619,15642,17269
,Phonemic,,,1-322-159-1,{},,štʸilʸ,18618,15641,16757
,Phonemic,,,1-323-159-1,{},,šukɩr̃yasʸkisʸ ~ kuašetisʸ,18617,15640,16363
,Phonemic,,,1-324-159-1,{},,šukɩ,18616,15639,16239
,Phonemic,,,1-329-159-1,{},,okean,18615,15638,16444
,Phonemic,,,1-330-159-1,{},,tɩ,18614,15637,16338
,Phonemic,,,1-340-159-1,{},,zalʸiv,18613,15636,16602
,Phonemic,,,1-341-159-1,{},,laguna,18612,15635,17131
,Phonemic,,,1-342-159-1,{},,r̃if ~ vu ulɩsʸ skala,18611,15634,17056
,Phonemic,,,1-343-159-1,{},,mukož ~ munɩr̃,18610,15633,16192
,Phonemic,,,1-350-159-1,{},,tulkɩm,18609,15632,16403
,Phonemic,,,1-360-159-1,{},,šur̃,18608,15631,16189
,Phonemic,,,1-362-159-1,{},,vu ber̃gan,18607,15630,16667
,Phonemic,,,1-370-159-1,{},,ošmes,18606,15629,17047
,Phonemic,,,1-380-159-1,{},,nʸur̃ ~ kud,18605,15628,16509
,Phonemic,,,1-390-159-1,{},,vu usʸon,18604,15627,16504
,Phonemic,,,1-410-159-1,{},,nʸules ~ telʸ,18603,15626,17099
,Phonemic,,,1-420-159-1,{},,pispu,18602,15625,16688
,Phonemic,,,1-430-159-1,{},,lesʸtisʸkon pu,18601,15624,16115
,Phonemic,,,1-440-159-1,{},,iz,18600,15623,16877
