confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,phonetic,,,1-100-807-1,{},,piaŋ.B hak.A tɛʔ.A,412964,325675,371826
,phonetic,,,1-210-807-1,{},,hak.A tɛʔ.A,412965,325676,372389
,phonetic,,,1-212-807-1,{},,tɛʔ.A,412966,325677,372033
,phonetic,,,1-213-807-1,{},,mɔk.B tɛʔ.A,412967,325678,371732
,phonetic,,,1-214-807-1,{},,glauʔ.B,412968,325679,371510
,phonetic,,,1-215-807-1,{},,mhaik.A,412969,325680,371906
,phonetic,,,1-220-807-1,{},,gɔŋ.B,412970,325681,371197
,phonetic,,,1-222-807-1,{},,kah.A rɛh.B,412971,325682,371377
,phonetic,,,1-230-807-1,{},,toŋ.B,412972,325683,371437
,phonetic,,,1-240-807-1,{},,daɨʔ.A ŋɔt.B,412973,325684,372405
,phonetic,,,1-250-807-1,{},,kun.A,412974,325685,372178
,phonetic,,,1-260-807-1,{},,kah.A rauk.B,412975,325686,372293
,phonetic,,,1-270-807-1,{},,prauk.A rɔm.A,412976,325687,371872
,phonetic,,,1-280-807-1,{},,daɨʔ.A tham.A,412977,325688,371494
,phonetic,,,1-310-807-1,{},,rɔm.A,412978,325689,372116
,phonetic,,,1-320-807-1,{},,rɔm.A səgrit.A səgra.A,412979,325690,371879
,phonetic,,,1-322-807-1,{},,ŋim.B,412980,325691,371348
,phonetic,,,1-323-807-1,{},,pu.A pak.A rɔm.A,412981,325692,372235
,phonetic,,,1-324-807-1,{},,bai.B,412982,325693,372392
,phonetic,,,1-329-807-1,{},,rɔm.A səgrit.A səgra.A,412983,325694,371879
,phonetic,,,1-330-807-1,{},,nhɔŋ.A,412984,325695,371934
,phonetic,,,1-340-807-1,{},,hai.A ʔuaŋ.A,412985,325696,371414
,phonetic,,,1-341-807-1,{},,nhɔŋ.A koi.A rɔm.A lhauʔ.A,412986,325697,372279
,phonetic,,,1-343-807-1,{},,tauh.B rɔm.A,412987,325698,372229
,phonetic,,,1-360-807-1,{},,klɔŋ.A tiŋ.B,412988,325699,371681
,phonetic,,,1-360-807-2,{},,klɔŋ.A ʔiak.A,412989,325699,371878
,phonetic,,,1-362-807-1,{},,dɨ.B pai.A liŋ.B rɔm.A,412990,325700,372402
,phonetic,,,1-370-807-1,{},,rɔm.A kət.A,412991,325701,372215
,phonetic,,,1-370-807-2,{},,rɔm.A mɔ.A,412992,325701,372253
,phonetic,,,1-380-807-1,{},,daɨʔ.A biŋ.B,412993,325702,371889
,phonetic,,,1-390-807-1,{},,rɔm.A puah.B rɔm.A tat.A,412994,325703,372393
,phonetic,,,1-410-807-1,{},,tiak.B khauʔ.A,412995,325704,371747
,phonetic,,,1-420-807-1,{},,khauʔ.A,412996,325705,372074
,phonetic,,,1-430-807-1,{},,khauʔ.A siau.B,412997,325706,372080
,phonetic,,,1-440-807-1,{},,səmauʔ.B,412998,325707,372195
,phonetic,,,1-450-807-1,{},,kla.A rɨm.B,412999,325708,371939
,phonetic,,,1-510-807-1,{},,rau.B ma.A,413000,325709,372320
,phonetic,,,1-520-807-1,{},,səŋaiʔ.B,413001,325710,372009
,phonetic,,,1-530-807-1,{},,khiʔ.A,413002,325711,371446
,phonetic,,,1-540-807-1,{},,sim.A ʔuiŋ.A,413003,325712,372016
,phonetic,,,1-550-807-1,{},,khiap.A ćɔ.B,413004,325713,371536
,phonetic,,,1-560-807-1,{},,saih.A,413005,325714,372232
,phonetic,,,1-570-807-1,{},,khiap.A ćɔ.B,413006,325715,371536
,phonetic,,,1-580-807-1,{},,lhɛʔ.A lih.B mai.A bhaɨŋ.A tiŋ.B,413007,325716,372307
,phonetic,,,1-590-807-1,{},,səjɔŋ.B,413008,325717,371857
,phonetic,,,1-610-807-1,{},,koik.A,413009,325718,371587
,phonetic,,,1-620-807-1,{},,vhaik.A,413010,325719,371590
,phonetic,,,1-630-807-1,{},,vɨi.B,413011,325720,371894
,phonetic,,,1-640-807-1,{},,rɔm.A ćɛʔ.B,413012,325721,372161
,phonetic,,,1-710-807-1,{},,bhɔm.A,413013,325722,371848
,phonetic,,,1-720-807-1,{},,bhaɨŋ.A,413014,325723,372050
,phonetic,,,1-730-807-1,{},,pai.A ʔɔm.A,413015,325724,371791
,phonetic,,,1-740-807-1,{},,səmɔk.B,413016,325725,372354
,phonetic,,,1-750-807-1,{},,lhɛʔ.A,413017,325726,372128
,phonetic,,,1-760-807-1,{},,rha.A,413018,325727,372342
,phonetic,,,1-770-807-1,{},,kaiŋ.A sədap.A,413019,325728,372109
,phonetic,,,1-780-807-1,{},,praiʔ.B,413020,325729,372294
