confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,StandardOrth,,,1-100-182-1,{},,byd,49198,39350,46355
,StandardOrth,,,1-210-182-1,{},,daear,49199,39351,44826
,StandardOrth,,,1-210-182-3,{},,tir,49200,39351,45207
,StandardOrth,,,1-212-182-1,{},,pridd,49201,39352,44755
,StandardOrth,,,1-213-182-1,{},,llwch,49202,39353,45503
,StandardOrth,,,1-213-182-3,{},,pylor,49203,39353,44957
,StandardOrth,,,1-214-182-1,{},,llaid,49204,39354,45685
,StandardOrth,,,1-214-182-3,{},,mwd,49205,39354,44753
,StandardOrth,,,1-215-182-1,{},,tywod,49206,39355,46536
,StandardOrth,,,1-220-182-1,{},,mynydd,49207,39356,45605
,StandardOrth,,,1-220-182-3,{},,bryn,49208,39356,46034
,StandardOrth,,,1-220-182-5,{},,bre,49209,39356,44811
,StandardOrth,,,1-222-182-1,{},,clogwyn,49210,39357,45278
,StandardOrth,,,1-222-182-3,{},,dibyn,49211,39357,45232
,StandardOrth,,,1-230-182-1,{},,gwastad,49212,39358,44911
,StandardOrth,,,1-230-182-3,{},,maes,49213,39358,44821
,StandardOrth,,,1-230-182-5,{},,gwastatir,49214,39358,45775
,StandardOrth,,,1-240-182-1,{},,dyffryn,49215,39359,45464
,StandardOrth,,,1-240-182-3,{},,glyn,49216,39359,44943
,StandardOrth,,,1-240-182-5,{},,cwm,49217,39359,46381
,StandardOrth,,,1-250-182-1,{},,ynys,49218,39360,44778
,StandardOrth,,,1-260-182-1,{},,tir mawr,49219,39361,45270
,StandardOrth,,,1-270-182-1,{},,glan,49220,39362,45832
,StandardOrth,,,1-270-182-3,{},,tywyn,49221,39362,46014
,StandardOrth,,,1-270-182-5,{},,traeth,49222,39362,46169
,StandardOrth,,,1-270-182-7,{},,arfordir,49223,39362,46440
,StandardOrth,,,1-280-182-1,{},,ogof,49224,39363,45251
,StandardOrth,,,1-310-182-1,{},,dwfr/dŵr,49225,39364,45805
,StandardOrth,,,1-320-182-1,{},,môr,49226,39365,45383
,StandardOrth,,,1-322-182-1,{},,llonydd,49227,39366,45625
,StandardOrth,,,1-322-182-3,{},,tawel,49228,39366,45331
,StandardOrth,,,1-323-182-1,{},,garw,49229,39367,45670
,StandardOrth,,,1-324-182-1,{},,ewyn,49230,39368,45681
,StandardOrth,,,1-329-182-1,{},,cefnfor,49231,39369,46045
,StandardOrth,,,1-330-182-1,{},,llyn,49232,39370,46346
,StandardOrth,,,1-340-182-1,{},,morgainc,49233,39371,45349
,StandardOrth,,,1-340-182-3,{},,gwlff,49234,39371,45129
,StandardOrth,,,1-341-182-1,{},,merllyn,49235,39372,45729
,StandardOrth,,,1-341-182-3,{},,morlyn,49236,39372,45189
,StandardOrth,,,1-341-182-5,{},,lagŵn,49237,39372,45154
,StandardOrth,,,1-342-182-1,{},,creigres,49238,39373,44974
,StandardOrth,,,1-343-182-1,{},,penrhyn,49239,39374,45254
,StandardOrth,,,1-343-182-3,{},,pentir,49240,39374,46364
,StandardOrth,,,1-350-182-1,{},,ton,49241,39375,44939
,StandardOrth,,,1-350-182-3,{},,gwaneg,49242,39375,46420
,StandardOrth,,,1-352-182-1,{},,llanw,49243,39376,46068
,StandardOrth,,,1-353-182-1,{},,llanw isel,49244,39377,46457
,StandardOrth,,,1-354-182-1,{},,llanw uchel,49245,39378,46546
,StandardOrth,,,1-360-182-1,{},,afon,49246,39379,46019
