confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk,word_pk
,Phonemic,,,1-100-195-1,{},,velt,75495,55106,69831
,Phonemic,,,1-210-195-1,{},,erd,75496,55107,68981
,Phonemic,,,1-212-195-1,{},,grunt,75497,55108,69133
,Phonemic,,,1-213-195-1,{},,štojb,75498,55109,69546
,Phonemic,,,1-213-195-3,{},,porex,75499,55109,69163
,Phonemic,,,1-214-195-1,{},,blote,75500,55110,68617
,Phonemic,,,1-215-195-1,{},,zamd,75501,55111,68577
,Phonemic,,,1-220-195-1,{},,barg,75502,55112,69637
,Phonemic,,,1-220-195-3,{},,bergl,75503,55112,69362
,Phonemic,,,1-222-195-1,{},,feldz,75504,55113,69233
,Phonemic,,,1-230-195-1,{},,plejn,75505,55114,68980
,Phonemic,,,1-230-195-3,{},,feld,75506,55114,68931
,Phonemic,,,1-240-195-1,{},,tol,75507,55115,68669
,Phonemic,,,1-250-195-1,{},,indzl,75508,55116,68768
,Phonemic,,,1-260-195-1,{},,jaboše,75509,55117,69621
,Phonemic,,,1-270-195-1,{},,breg,75510,55118,69997
,Phonemic,,,1-280-195-1,{},,hejl,75511,55119,69747
,Phonemic,,,1-310-195-1,{},,vaser,75512,55120,69046
,Phonemic,,,1-320-195-1,{},,jam,75513,55121,69013
,Phonemic,,,1-322-195-1,{},,ruik,75514,55122,69623
,Phonemic,,,1-323-195-1,{},,umruik,75515,55123,69380
,Phonemic,,,1-324-195-1,{},,šam,75516,55124,69346
,Phonemic,,,1-329-195-1,{},,o'kean,75517,55125,69315
,Phonemic,,,1-330-195-1,{},,'ozere,75518,55126,68844
,Phonemic,,,1-340-195-1,{},,ajngos,75519,55127,69562
,Phonemic,,,1-341-195-1,{},,la'gun,75520,55128,69070
,Phonemic,,,1-342-195-1,{},,rif,75521,55129,69697
,Phonemic,,,1-343-195-1,{},,jaboše-cung,75522,55130,69426
,Phonemic,,,1-343-195-3,{},,kap,75523,55130,69596
,Phonemic,,,1-350-195-1,{},,xvalʸe,75524,55131,70032
,Phonemic,,,1-352-195-1,{},,jam-flejc,75525,55132,68770
,Phonemic,,,1-353-195-1,{},,onflejc,75526,55133,69178
,Phonemic,,,1-354-195-1,{},,opflejc,75527,55134,69290
,Phonemic,,,1-360-195-1,{},,tajx,75528,55135,69308
,Phonemic,,,1-360-195-3,{},,box,75529,55135,68995
,Phonemic,,,1-360-195-5,{},,ričke,75530,55135,69575
,Phonemic,,,1-362-195-1,{},,keslgrub,75531,55136,69208
,Phonemic,,,1-370-195-1,{},,kval,75532,55137,69394
,Phonemic,,,1-370-195-3,{},,brune(m),75533,55137,68725
,Phonemic,,,1-370-195-5,{},,'krenice,75534,55137,68939
,Phonemic,,,1-380-195-1,{},,zump,75535,55138,68775
,Phonemic,,,1-390-195-1,{},,'vaserfal,75536,55139,68824
,Phonemic,,,1-410-195-1,{},,vald,75537,55140,69442
,Phonemic,,,1-420-195-1,{},,bojm,75538,55141,69878
,Phonemic,,,1-430-195-1,{},,holc,75539,55142,68575
,Phonemic,,,1-440-195-1,{},,štejn,75540,55143,68816
,Phonemic,,,1-450-195-1,{},,'erd-citerniš,75541,55144,69833
,Phonemic,,,1-510-195-1,{},,himl,75542,55145,69451
,Phonemic,,,1-520-195-1,{},,zun,75543,55146,68880
,Phonemic,,,1-530-195-1,{},,levone,75544,55147,69753
,Phonemic,,,1-540-195-1,{},,štern,75545,55148,69979
,Phonemic,,,1-550-195-1,{},,blic,75546,55149,69974
,Phonemic,,,1-560-195-1,{},,duner,75547,55150,70137
,Phonemic,,,1-570-195-1,{},,blic,75548,55151,69974
,Phonemic,,,1-580-195-1,{},,šturem,75549,55152,69159
,Phonemic,,,1-590-195-1,{},,regn-bojgn,75550,55153,69136
,Phonemic,,,1-610-195-1,{},,lixt,75551,55154,68977
,Phonemic,,,1-620-195-1,{},,'fincterniš,75552,55155,69138
,Phonemic,,,1-630-195-1,{},,šotn,75553,55156,68950
,Phonemic,,,1-630-195-3,{},,sotn,75554,55156,68858
,Phonemic,,,1-640-195-1,{},,rose,75555,55157,69292
,Phonemic,,,1-640-195-3,{},,toj,75556,55157,68666
,Phonemic,,,1-710-195-1,{},,luft,75557,55158,69605
,Phonemic,,,1-720-195-1,{},,vint,75558,55159,69638
,Phonemic,,,1-730-195-1,{},,volkn,75559,55160,68599
,Phonemic,,,1-730-195-3,{},,xmare,75560,55160,69543
