ling,u.regexp,y.regexp,coronal.pre,coronal.post,palatal.pre,palatal.post,text.col,cleaning,notes
Albanian ,u([^\u0308]|$),u\u0308,[ntdszrθð\u0303],[ntdszrθð]|.\u0303,[jɲʸǰ\u030C\u0337],[jɲǰ]|.[ʸ\u030C\u0337],name,"clean <- function (x) {gsub(""'"", """", x)}","not standard IPA; [l] sometimes used to transcribe velar l, lʸ likely palatalised; some other non-standard characters - these probably refer to palatals / affricates, which are front; using unicode tricks to capture palatal / palatoalveolar and also ü, which all end up being encoded as two characters (base + diacritic) in R"
Basque ,u,,[tdsznlrc\u0337\u0323],[tdsznlrc]|.[\u0337\u0323],[ʸ\u030Cjɲ],[jɲ]|.[ʸ\u030C],name,"clean <- function (x) {unlist(lapply(strsplit(gsub(""(\\[|'|\\]|-|ʰ)"", """", x), ""~""), function (y) {y[1]}))}","tricky case: dialect with wordlist is Zuberoan, which has an extra [y] phoneme transcribed as ü… as far as I can see, this ü *typically* (though by no means always) corresponds to u in the Standard, which is what the formant values represent. Assuming that [ü] is simply [u] in the wordlist is really just a hack, but the best option given the data;"
Bengali ,[uū],,[tdsln],[tdsln],[śṣjycñ\u0301],[śṣjycñ]|.\u0301,name,"clean <- function (x) {gsub(""([tdcj])h"", ""\\1"", gsub(""(\\(|'|\\)|-|/)"", """", x))}","transliteration is an absolute mess, with more characters / diacritics than phonemes in Bengali; made an effort to match to closest phonemes; retroflex (usually marked by dot underneath, either fused with character or separate diacritic; rhotics are counted as retroflex too) sounds are not classified either as coronal or palatal (as they attract somewhat lower F2)"
Breton ,(?<![ae])ou,(?<![oe])u,[ndtzsl],[ndtzsl],[ijyɲ]|ch|lh,[ijyɲ]|ch|lh,name,"clean <- function (x) {unlist(lapply(strsplit(gsub(""(\\(|\\)|-| + )"", """", x), ""/""), function (y) {y[1]}))}","*not* phonemic transcription, but a mix of orthography and some phonetic symbols; u = ou but aou and eou are separate diphthongs; there are similar limitations on y = u; using very complicated look-behind assertions in regexps to deal with this..."
Bulgarian ,u,,[tdnszrl],[tdnszrl],[\u0337\u030Cj],j|.[\u0337\u030C],name,"clean <- function (x) {unlist(lapply(strsplit(gsub(""(\\[|\\(|\\)|'|\\])"", """", x), ""/""), function (y) {y[1]}))}","no complications, really, very similar to Albanian but with fewer special symbols"
Catalan ,(?<![\u0301aeiou])u(?![\u0308aeiou]),,[tdnszr]|(?<!l)l,[tdnszr]|l(?!l),[xj]|ll,[xj]|ll,name,"clean <- function (x) {unlist(lapply(strsplit(gsub(""(\\(|\\)|'|?)"", """", x), ""/""), function (y) {y[1]}))}",u complicated to avoid diphthongs; ll = palatal; l = coronal
Chong ,u:,,[lndsrt]|th,[lndsrt],[cjń]|ch,[cjń],name,"clean <- function (x) {gsub(""[A-Z.+>?]"", """", x)}","pretty straightforward IPA with some extra symbols (tones?); the language has a palatal nasal, and, by exclusion, it seems to be marked by ń"
Danish ,u:,y:,[tdlsn],[tdlsn],j,j,name,clean <- function (x) {x},"orthography, transcriptions generated via automatic transcriber (http://tom.brondsted.dk/text2phoneme/transcribeit.php); a subset checked against online dictionary (http://ordnet.dk/ddo_en)"
English ,u,,[tdnszl],[tdnszl],[jʃʧʤ],[jʃʧʤ],name,"clean <- function (x) {gsub(""[ˈˌ]"", """", x)}","orthography, automatic transcriptions (which look OK) generated via https://tophonetics.com for American English (as formant measurements are from GA)"
Estonian ,uu,u\u0308u\u0308,[ntsl\u0303r],[ntslr]|.\u0303,y,y,name,"clean <- function (x) {unlist(lapply(strsplit(gsub(""(\177|\\(|\\)|[?́]|)"", """", x), ""~""), function (y) {y[1]}))}","marked as phonemic, but seems sort of in-between, with some IPA and some orthography; looking at long vowels; \u0303 is a hack for [r]"
Finnish ,uu,u\u0308u\u0308,[ntsl\u0303r],[ntslr]|.\u0303,y,y,name,"clean <- function (x) {unlist(lapply(strsplit(gsub(""(\177|\\(|\\)|[?́]|)"", """", x), ""~""), function (y) {y[1]}))}",transcription looks identical to Estonian
French ,u,y,[tdnls],[tdnls],[ʃʒ],[ʃʒ],name,"clean <- function (x) {gsub(""[ˌˈ]"", """", x)}","orthography, transcriptions generated using espeak (http://espeak.sourceforge.net)"
German ,u:,y:,[tdsznl],[tdsznl],[jʃ],[jʃ],name,clean <- function (x) {x},"orthography, transcriptions generated via automatic transcriber (http://tom.brondsted.dk/text2phoneme/transcribeit.php), manual sanity check"
Greek ,u,,[tdsznlðr],[tdsznlðr],[i],[i],name,"clean <- function (x) {gsub(""( \\[.*$|'|\\(|\\)|/)"", """", x)}","seems like a broad transcription; palatalisation is not indicated, but probably not an issue, as it seems mostly allophonic"
Hausa ,(?<![a])u,,[tdɗsznlðr],[tdɗsznlðr],c|sh|y|j|J,c|sh|y|j|J,name,"clean <- function (x) {gsub(""(\\[|\\]|'|\\(.*\\))|[-]|/"", """", x)}","mostly phonemic transcription; for some reason, ˀ is only used after k; c is [tS], sh is [S]; vowel length is unmarked, so unfortunately the statistics also include short vowels"
