iso,language,corpus,epitran_code
amh,Amharic,am-words.txt,amh-Ethi
ben,Bengali,bn-words.txt,ben-Beng
cat,Catalan,ca-words.txt,cat-Latn
hau,Hausa,hau-words.txt,hau-Latn
hun,Hungarian,hu-words.txt,hun-Latn
ind,Indonesian ,id-words.txt,ind-Latn
ita,Italian,it-words.txt,ita-Latn
pan,Punjabi,pa-words.txt,pan-Guru
pol,Polish ,pl-words.txt,pol-Latn
rus,Russian,ru-words.txt,rus-Cyrl
sna,shona,sn-words.txt,sna-Latn
spa,Spanish,es-words.txt,spa-Latn
tur,Turkish,tr-words.txt,tur-Latn
uig,Uyghur,ug-Arab-words.txt,uig-Arab
ukr,Ukrainian,uk-words.txt,ukr-Cyrl
yor,Yoruba,yo-words.txt,yor-Latn
